Time,Down,Type,Yards,Details,Winnipeg,Hamilton
11:24,1,Rush,44,Chad Simpson rush for 44 yards for a TOUCHDOWN.,13,27
11:11,0,Made Extra Point,0,Sandro DeAngelis extra point is good.,14,27
11:11,0,Kickoff,24,Sandro DeAngelis kicks off to the Ham15. Onrea Jones return for 24 yards to Ham39. Tackled by Anthony Woodson.,14,27
11:05,1,Rush,3,C.J. Gable rush for 3 yards to the Ham42. Tackled by Kenny Mainor.,14,27
10:44,2,Pass,6,Henry Burris pass to Andy Fantuz for 6 yards to the Ham48. Tackled by Demond Washington.,14,27
10:05,3,Punt,4,Josh Bartel punts for 40 yards to Wpg22. Aaron Woods return for 4 yards to Wpg26. Tackled by Brandon Isaac.,14,27
09:11,1,Pass,19,Justin Goltz pass to Jade Etienne for 19 yards to the Wpg45. Tackled by Evan McCollough.,14,27
08:56,1,Offside,-5,Penalty: Offside on Winnipeg (Kito Poblah) -5 yards.,14,27
08:29,1,Interception,16,Justin Goltz pass intended for Terrence Edwards INTERCEPTED by Jamall Johnson and returned for 16 yards. Tackled by Justin Goltz.,14,27
08:12,1,Incomplete Pass,0,Henry Burris incomplete pass intended for C.J. Gable.,14,27
07:47,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Andy Fantuz defensed by Brandon Stewart.,14,27
07:23,3,Missed Field Goal,37,47 yard field goal attempt by Luca Congi is NO GOOD.  Missed field goal returned by Aaron Woods to the Wpg27. Tackled by Marc Beswick.,14,27
06:57,1,Rush,7,Chad Simpson rush for 7 yards to the Wpg34. Tackled by Evan McCollough.,14,27
06:31,2,Sack,-13,Sack at Wpg21 for a loss of 13 yards by Brandon Boudreaux.,14,27
05:56,3,Punt,7,Mike Renaud punts for 56 yards to Ham33. Onrea Jones return for 7 yards to Ham40. Tackled by Marty Markett.,14,27
05:36,1,Pass,11,Henry Burris pass to Andy Fantuz for 11 yards to the Ham51. Tackled by Demond Washington.,14,27
05:12,1,Rush,4,C.J. Gable rush for 4 yards to the Ham55. Tackled by Ian Wild.,14,27
04:38,2,Pass,22,Henry Burris pass to Bakari Grant for 22 yards to the Wpg33.,14,27
