Time,Down,Type,Yards,Details,Toronto,Montreal
13:19,3,Illegal Participation,13,Noel Prefontaine punts for 38 yards to Mtl40. Noel Devine return for 3 yards to Mtl43. Tackled by Jermaine Gabriel. Penalty: Illegal Participation on Toronto (Jermaine Gabriel) 10 yards.,31,3
12:56,1,Rush,10,rush for 10 yards to the Tor47. Tackled by Khalif Mitchell.,31,3
12:39,2,Rush,5,rush for 5 yards to the Tor42. Tackled by Marcus Ball.,31,3
12:07,1,Rush,3,rush for 3 yards to the Tor39. Tackled by Khalif Mitchell.,31,3
11:31,2,Pass,1,Anthony Calvillo pass to   for 1 yard to the Tor38. Tackled by Shane Horton.,31,3
10:50,3,Offside,5,Penalty: Offside on Toronto (Jalil Carter) 5 yards.,31,3
10:28,3,Rush,7,rush for 7 yards to the Tor26. Tackled by Alonzo Lawrence.,31,3
10:06,1,Incomplete Pass,0,Anthony Calvillo incomplete pass intended for Patrick Lavoie defensed by Matt Black.,31,3
09:29,2,Rush,6,Anthony Calvillo rush for 6 yards to the Tor20. Tackled by Marcus Ball.,31,3
09:02,3,Incomplete Pass,0,Anthony Calvillo incomplete pass intended for D.L. Moore defensed by Pat Watkins.,31,3
08:12,1,Unnecessary Roughness,8,Sack at Tor13 for a loss of 7 yards by John Bowman. Penalty: Unnecessary Roughness on Montreal (Chip Cox) 15 yards.,31,3
07:51,0,Unnecessary Roughness,15,Penalty: Unnecessary Roughness on Montreal (Mike Edem) 15 yards.,31,3
07:29,1,Rush,7,Curtis Steele rush for 7 yards to the Tor50. Tackled by Kyries Hebert.,31,3
07:11,2,Rush,11,Zach Collaros rush for 11 yards to the Mtl49.,31,3
06:30,1,Pass,19,Zach Collaros pass to Chad Owens for 19 yards to the Mtl30. Tackled by Mike Edem.,31,3
06:03,0,Holding,-10,Penalty: Holding on Toronto (Wayne Smith) -10 yards.,31,3
05:27,1,Rush,3,Zach Collaros rush for 3 yards to the Mtl37. Tackled by John Bowman.,31,3
05:07,2,Incomplete Pass,0,Zach Collaros incomplete pass intended for Quinn Porter.,31,3
03:56,3,Punt Single,0,Noel Prefontaine punts for 43 yards to Mtl0. No return (Single).,32,3
03:56,1,Rush,13,rush for 13 yards to the Mtl48. Tackled by Robert McCune.,32,3
03:37,1,Incomplete Pass,0,Anthony Calvillo incomplete pass intended for S.J. Green.,32,3
03:05,2,Incomplete Pass,0,Anthony Calvillo incomplete pass intended for S.J. Green defensed by Matt Black.,32,3
02:41,3,Punt,12,Sean Whyte punts for 46 yards to Tor16. Chad Owens return for 12 yards to Tor28.,32,3
02:18,1,Rush,8,Chad Owens rush for 8 yards to the Tor36. Tackled by Aaron Lavarias.,32,3
01:41,2,Rush,1,Zach Collaros rush for 1 yard to the Tor37. Tackled by Billy Parker.,32,3
01:07,3,Punt,3,Noel Prefontaine punts for 46 yards to Mtl27. Noel Devine return for 3 yards to Mtl30. Tackled by Jonathan Hood.,32,3
00:18,1,Pass,32,Anthony Calvillo pass to Arland Bruce for 32 yards to the Tor48. Tackled by Jamie Robinson.,32,3
15:00,1,Incomplete Pass,0,Anthony Calvillo incomplete pass intended for S.J. Green defensed by Jalil Carter.,32,3
14:26,2,Pass,48,Anthony Calvillo pass to Brandon London for 48 yards for a TOUCHDOWN.,32,9
14:08,0,Made Extra Point,0,Sean Whyte extra point is good.,32,10
14:08,0,Kickoff,14,Sean Whyte kicks off to the Tor8. Chad Owens return for 14 yards to Tor22. Tackled by Steven Lumbala.,32,10
14:02,1,Rush,-2,Curtis Steele rush for a loss of 2 yards to the Tor20. Tackled by Geoff Tisdale.,32,10
13:41,2,Pass,6,Zach Collaros pass to Chad Owens for 6 yards to the Tor26. Tackled by Geoff Tisdale.,32,10
