Time,Down,Type,Yards,Details,Toronto,Calgary
00:22,1,Rush,5,Drew Tate rush for 5 yards to the Cgy7. Tackled by David Lee.,15,18
15:00,0,Kickoff,33,Swayze Waters kicks off to the Cgy21. Larry Taylor return for 33 yards to Cgy54. Tackled by Matt Black.,15,18
14:51,1,Pass,4,Kevin Glenn pass to Alric Arnett for 4 yards to the Tor52. Tackled by Alonzo Lawrence.,15,18
14:27,2,Pass,10,Kevin Glenn pass to Kenny Stafford for 10 yards to the Tor42. Tackled by Jalil Carter.,15,18
14:01,1,Rush,25,Jon Cornish rush for 25 yards to the Tor17. Tackled by Matt Black.,15,18
12:54,1,Pass,17,Kevin Glenn pass to Marquay McDaniel for 17 yards for a TOUCHDOWN.,15,24
12:41,0,Made Extra Point,0,Rene Paredes extra point is good.,15,25
12:41,0,Kickoff,24,Rene Paredes kicks off to the Tor4. Trent Guy return for 24 yards to Tor28. Tackled by Yannick Carter.,15,25
12:33,1,Incomplete Pass,0,Zach Collaros incomplete pass intended for Andre Durie.,15,25
12:10,2,Pass,35,Zach Collaros pass to John Chiles for 35 yards to the Cgy47. Tackled by Deron Mayo.,15,25
11:39,1,Rush,19,Jerious Norwood rush for 19 yards to the Cgy28. Tackled by  .,15,25
10:33,1,Pass,28,Zach Collaros pass to Dontrelle Inman for 28 yards for a TOUCHDOWN.,21,25
10:19,0,Made Extra Point,0,Swayze Waters extra point is good.,22,25
10:19,0,Kickoff,56,Swayze Waters kicks off to the Cgy15. Larry Taylor return for 56 yards to Tor39. Tackled by Jalil Carter.,22,25
10:08,1,Rush,5,Jon Cornish rush for 5 yards to the Tor34. Tackled by Robert McCune.,22,25
09:43,2,Pass,14,Kevin Glenn pass to Jabari Arthur for 14 yards to the Tor20. Tackled by Ricardo Colclough.,22,25
09:00,1,Rush,14,Marquay McDaniel rush for 14 yards to the Tor6. Tackled by Robert McCune.,22,25
08:05,1,Interception,0,Kevin Glenn pass intended for Kenny Stafford INTERCEPTED by Pat Watkins. No return. Tackled by Kenny Stafford.,22,25
07:46,1,Pass,12,Zach Collaros pass to Andre Durie for 12 yards to the Tor37. Tackled by Demonte' Bolden.,22,25
07:27,1,Rush,7,Jerious Norwood rush for 7 yards to the Tor44. Tackled by Brandon Smith.,22,25
06:57,2,Pass,3,Zach Collaros pass to John Chiles for 3 yards to the Tor47. Tackled by  .,22,25
06:24,1,Rush,11,Andre Durie rush for 11 yards to the Cgy52. Tackled by Brandon Smith.,22,25
06:00,1,Rush,12,Jerious Norwood rush for 12 yards to the Cgy40. Tackled by Brandon Smith.,22,25
05:28,1,Pass,7,Zach Collaros pass to Andre Durie for 7 yards to the Cgy33. Tackled by Brandon Smith.,22,25
04:31,2,Incomplete Pass,0,Zach Collaros incomplete pass intended for Anthony Woodson.,22,25
03:42,3,Missed Field Goal,40,Swayze Waters 40 yard field goal attempt is GOOD.,25,25
03:42,0,Kickoff,24,Swayze Waters kicks off to the Cgy16. Larry Taylor return for 24 yards to Cgy40. Tackled by Jermaine Gabriel.,25,25
03:36,1,Rush,7,Jon Cornish rush for 7 yards to the Cgy47. Tackled by Marcus Ball.,25,25
02:57,2,Rush,5,Jon Cornish rush for 5 yards to the Cgy52. Tackled by Jonathan Williams.,25,25
02:16,1,Pass,12,Kevin Glenn pass to Larry Taylor for 12 yards to the Tor46. Tackled by Robert McCune.,25,25
01:30,0,Holding,-10,Penalty: Holding on Calgary (Brett Jones) -10 yards.,25,25
01:09,1,Illegal Procedure,-5,Penalty: Illegal Procedure on Calgary -5 yards.,25,25
00:49,1,Offside,-5,Penalty: Offside on Calgary (Marquay McDaniel) -5 yards.,25,25
00:30,1,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Jon Cornish.,25,25
00:08,2,Pass,23,Kevin Glenn pass to Marquay McDaniel for 23 yards to the Tor43. Tackled by Demetrice Morley.,25,25
15:00,3,Punt,0,Rob Maver punts for 38 yards to Tor5. No return.,25,25
14:42,1,Rush,3,Jerious Norwood rush for 3 yards to the Tor8. Tackled by Etienne Legare.,25,25
14:07,2,Pass,14,Zach Collaros pass to John Chiles for 14 yards to the Tor22. Tackled by Brandon Smith.,25,25
13:43,1,Pass,14,Zach Collaros pass to Andre Durie for 14 yards to the Tor36. Tackled by Deron Mayo.,25,25
13:07,1,Incomplete Pass,0,Zach Collaros incomplete pass intended for Andre Durie.,25,25
12:38,2,Sack,-7,Sack at Tor29 for a loss of 7 yards by Keon Raymond.,25,25
