Time,Down,Type,Yards,Details,Calgary,Toronto
05:48,1,Rush,3,Chad Owens rush for 3 yards to the Tor54. Tackled by Jamar Wall.,21,14
05:12,0,Holding,-10,Penalty: Holding on Toronto (Jarriel King) -10 yards.,21,14
04:48,2,Sack,-7,Sack at Tor37 for no gain by Charleston Hughes Recovered by Tor (Chad Owens),21,14
04:08,3,Punt,2,Noel Prefontaine punts for 38 yards to Cgy35. Larry Taylor return for 2 yards to Cgy37. Tackled by Jermaine Gabriel.,21,14
03:56,1,Rush,10,Anthony Parker rush for 10 yards to the Cgy47. Tackled by Pat Watkins.,21,14
03:14,2,Rush,2,Bo Levi Mitchell rush for 2 yards to the Cgy49. Tackled by Robert McCune.,21,14
02:43,1,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Tim Hawthorne.,21,14
02:14,2,Pass,9,Kevin Glenn pass to Marquay McDaniel for 9 yards to the Tor52. Tackled by Alonzo Lawrence.,21,14
01:27,3,Rush,4,Bo Levi Mitchell rush for 4 yards to the Tor48. Tackled by Jalil Carter.,21,14
01:06,1,Rush,4,Matt Walter rush for 4 yards to the Tor44. Tackled by Major Culbert.,21,14
00:18,2,Pass,9,Kevin Glenn pass to Marquay McDaniel for 9 yards to the Tor35. Tackled by Jalil Carter.,21,14
00:02,1,Pass,8,Kevin Glenn pass to Rob Cote for 8 yards to the Tor27. Tackled by Matt Black.,21,14
15:00,2,Rush,4,Matt Walter rush for 4 yards to the Tor23. Tackled by Khalif Mitchell.,21,14
14:32,1,Sack,-1,Sack at Tor24 for a loss of 1 yard by Khalif Mitchell.,21,14
13:54,2,Rush,9,Bo Levi Mitchell rush for 9 yards to the Tor15. Tackled by Robert McCune.,21,14
13:12,3,Field Goal Single,35,35 yard field goal attempt by Rene Paredes is NO GOOD (Single).,22,14
13:12,1,Unnecessary Roughness,88,"Zach Collaros pass to Chad Owens for 37 yards to the Cgy38. FUMBLE, recovered by Cgy (Jonathan Hefney) and returned for 36 yards. Tackled by John Chiles. Penalty: Unnecessary Roughness on Toronto (John Chiles) 15 yards.",22,14
12:43,1,Pass,7,Bo Levi Mitchell pass to Jabari Arthur for 7 yards to the Tor14. Tackled by Jamie Robinson.,22,14
12:02,2,Rush,3,Jonathan Williams rush for 3 yards to the Tor11. Tackled by Jalil Carter.,22,14
10:56,1,Rush,11,Bo Levi Mitchell rush for 11 yards for a TOUCHDOWN.,28,14
10:42,0,Made Extra Point,0,Rene Paredes extra point is good.,29,14
10:42,0,Kickoff,22,Rene Paredes kicks off to the Tor9. Chad Owens return for 22 yards to Tor31. Tackled by Justin Phillips.,29,14
10:34,1,Pass,4,Zach Collaros pass to John Chiles for 4 yards to the Tor35. Tackled by Juwan Simpson.,29,14
10:00,2,Pass,3,Zach Collaros pass to Chad Owens for 3 yards to the Tor38. Tackled by Fred Bennett.,29,14
09:26,3,Punt,8,Noel Prefontaine punts for 40 yards to Cgy32. Larry Taylor return for 8 yards to Cgy40. Tackled by Quinn Porter.,29,14
09:12,1,Rush,1,Jonathan Williams rush for 1 yard to the Cgy41. Tackled by Major Culbert.,29,14
08:36,2,Pass,3,Bo Levi Mitchell pass to Jabari Arthur for 3 yards to the Cgy44. Tackled by Major Culbert.,29,14
08:02,3,Punt,3,Rob Maver punts for 48 yards to Tor18. Chad Owens return for 3 yards to Tor21. Tackled by Eric Fraser.,29,14
07:39,1,Pass,20,Zach Collaros pass to Jason Barnes for 20 yards to the Tor41. Tackled by Keon Raymond.,29,14
07:02,1,Incomplete Pass,0,Zach Collaros incomplete pass intended for Chad Owens.,29,14
06:47,2,Offside,-5,Penalty: Offside on Toronto (Andre Durie) -5 yards.,29,14
06:31,2,Pass,11,Zach Collaros pass to Chad Owens for 11 yards to the Tor47. Tackled by Cordarro Law.,29,14
05:51,3,Interception,0,Noel Prefontaine pass intended for Quinn Porter INTERCEPTED by Juwan Simpson. No return. Tackled by James Yurichuk.,29,14
05:30,1,Rush,5,Jonathan Williams rush for 5 yards to the Cgy50. Tackled by Robert McCune.,29,14
04:55,2,Pass,6,Bo Levi Mitchell pass to Jonathan Williams for 6 yards to the Tor54. Tackled by Auston English.,29,14
04:11,1,Rush,6,Jonathan Williams rush for 6 yards to the Tor48. Tackled by Pat Watkins.,29,14
03:44,2,Rush,7,Matt Walter rush for 7 yards to the Tor41. Tackled by Robert McCune.,29,14
03:00,1,Illegal Block,15,Matt Walter rush for 25 yards to the Tor16. Tackled by Jermaine Gabriel. Penalty: Illegal Block on Calgary (Brad Sinopoli) -10 yards.,29,14
02:44,1,Rush,2,Jonathan Williams rush for 2 yards to the Tor24. Tackled by Pat Watkins.,29,14
