Time,Down,Type,Yards,Details,Hamilton,Toronto
09:34,0,Made Extra Point,0,Luca Congi extra point is good.,24,24
10:34,0,Chop Block,33,Luca Congi kicks off to the Tor15. Chad Owens return for 18 yards to Tor33. Tackled by Emanuel Davis. Penalty: Chop Block on Hamilton (Courtney Stephen) 15 yards.,24,24
10:28,1,Pass,7,Ricky Ray pass to Chad Owens for 7 yards to the Tor55. Tackled by Eric Norwood.,24,24
09:57,2,Incomplete Pass,0,Ricky Ray incomplete pass intended for Dontrelle Inman.,24,24
09:31,3,Punt,0,Swayze Waters punts for 53 yards to Ham2. No return.,24,24
09:14,1,Illegal Procedure,-1,Penalty: Illegal Procedure on Hamilton (Marc Dile) -1 yards.,24,24
09:03,1,Pass,14,Henry Burris pass to Andy Fantuz for 14 yards to the Ham15. Tackled by Demetrice Morley.,24,24
08:39,1,Pass,8,Henry Burris pass to Greg Ellingson for 8 yards to the Ham23. Tackled by Alonzo Lawrence.,24,24
08:01,2,Rush,2,C.J. Gable rush for 2 yards to the Ham25. Tackled by Cleyon Laing.,24,24
07:30,3,Rush,2,Dan LeFevour rush for 2 yards to the Ham27. Tackled by  .,24,24
07:00,1,Pass,4,Henry Burris pass to C.J. Gable for 4 yards to the Ham31. Tackled by Khalif Mitchell.,24,24
06:15,2,Incomplete Pass,0,Henry Burris incomplete pass intended for  .,24,24
05:44,3,Punt,8,Josh Bartel punts for 48 yards to Tor31. Chad Owens return for 8 yards to Tor39. Tackled by  .,24,24
05:29,1,Pass,5,Ricky Ray pass to Chad Owens for 5 yards to the Tor44. Tackled by Dee Webb.,24,24
05:05,2,Incomplete Pass,0,Ricky Ray incomplete pass intended for Spencer Watt defensed by Emanuel Davis.,24,24
04:39,3,Punt,5,Swayze Waters punts for 56 yards to Ham10. Brandon Banks return for 5 yards to Ham15. Tackled by Curtis Steele.,24,24
04:13,1,Pass,12,Henry Burris pass to Andy Fantuz for 12 yards to the Ham27. Tackled by Jamie Robinson.,24,24
03:40,1,Pass,8,Henry Burris pass to C.J. Gable for 8 yards to the Ham35. Tackled by Alonzo Lawrence.,24,24
03:01,2,Pass,7,Henry Burris pass to Andy Fantuz for 7 yards to the Ham42. Tackled by Demetrice Morley.,24,24
02:29,1,Pass,47,Henry Burris pass to Bakari Grant for 47 yards to the Tor21. Tackled by Pat Watkins.,24,24
01:46,1,Offside,5,Penalty: Offside on Toronto (Demetrice Morley) 5 yards.,24,24
01:10,1,Rush,3,C.J. Gable rush for 3 yards to the Tor13. Tackled by Shane Horton.,24,24
00:37,2,Sack,-3,Sack at Tor16 for a loss of 3 yards by David Lee.,24,24
00:00,3,Missed Field Goal,23,Luca Congi 23 yard field goal attempt is GOOD.,27,24
15:00,1,Pass,20,Ricky Ray pass to Chad Owens for 20 yards to the Tor55. Tackled by Emanuel Davis.,27,24
14:40,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for John Chiles.,27,24
14:06,2,Incomplete Pass,0,Ricky Ray incomplete pass intended for Spencer Watt.,27,24
13:42,3,Punt,4,Swayze Waters punts for 48 yards to Ham7. Brandon Banks return for 4 yards to Ham11. Tackled by James Yurichuk.,27,24
13:29,1,Rush,6,Henry Burris rush for 6 yards to the Ham17. Tackled by Marcus Ball.,27,24
12:59,2,Rush,7,C.J. Gable rush for 7 yards to the Ham24. Tackled by Demetrice Morley.,27,24
12:16,1,Offside,-5,Penalty: Offside on Hamilton (Andy Fantuz) -5 yards.,27,24
11:51,1,Pass,13,Henry Burris pass to Greg Ellingson for 13 yards to the Ham32. Tackled by David Lee.,27,24
11:15,2,Rush,6,C.J. Gable rush for 6 yards to the Ham38. Tackled by Khalif Mitchell.,27,24
10:33,1,Pass,15,Henry Burris pass to C.J. Gable for 15 yards to the Ham53. Tackled by Jermaine Gabriel.,27,24
09:46,1,Pass,4,Henry Burris pass to Andy Fantuz for 4 yards to the Tor53. Tackled by Marcus Ball.,27,24
09:07,2,Incomplete Pass,0,Henry Burris incomplete pass intended for John Delahunt.,27,24
08:35,3,No Yards,21,Josh Bartel punts for 36 yards to Tor17. Penalty: No Yards on Hamilton (Neil King) -15 yards.,27,24
08:23,1,Pass,2,Ricky Ray pass to Jerious Norwood for 2 yards to the Tor34. Tackled by Simoni Lawrence.,27,24
07:50,2,Rush,6,Ricky Ray rush for 6 yards to the Tor40. Tackled by Brandon Isaac.,27,24
07:13,3,Punt,7,Swayze Waters punts for 39 yards to Ham31. Brandon Banks return for 7 yards to Ham38. Tackled by Jonathan Hood.,27,24
06:55,1,Rush,14,Henry Burris rush for 14 yards to the Ham52. Tackled by Demetrice Morley.,27,24
06:32,1,Sack,-9,Sack at Ham43 for a loss of 9 yards by Khalif Mitchell.,27,24
05:33,2,Pass,26,Henry Burris pass to Bakari Grant for 26 yards to the Tor41. Tackled by Pat Watkins.,27,24
04:56,1,Offside,-5,Penalty: Offside on Hamilton (Greg Ellingson) -5 yards.,27,24
04:26,1,Pass,8,Henry Burris pass to Samuel Giguere for 8 yards to the Tor38. Tackled by Alonzo Lawrence.,27,24
04:04,0,Holding,-10,Penalty: Holding on Hamilton (John Delahunt) -10 yards.,27,24
03:37,0,Pass Interference,10,Penalty: Pass Interference on Toronto (Demetrice Morley) 10 yards.,27,24
03:02,1,Rush,1,Dan LeFevour rush for 1 yard to the Tor37. Tackled by Shane Horton.,27,24
