Time,Down,Type,Yards,Details,Saskatchewan,Toronto
10:29,1,Pass,4,Darian Durant pass to Eron Riley for 4 yards to the Tor50. Tackled by Marcus Ball.,7,11
09:50,0,Rush,7,"FUMBLE Darian Durant rush for 7 yards to the Tor43., recovered by Ssk (Kory Sheets).",7,11
08:58,1,Rush,19,Kory Sheets rush for 19 yards to the Tor24. Tackled by Matt Black.,7,11
08:24,0,Pass Interference,-10,Penalty: Pass Interference on Toronto (Jamie Robinson) -10 yards.,7,11
07:58,1,Roughing Passer,12,Darian Durant pass to Jock Sanders for 9 yards to the Tor5. Tackled by Robert McCune. Penalty: Roughing Passer on Toronto (Kiante Tripp) 3 yards.,7,11
07:30,1,Rush,2,Kory Sheets rush for 2 yards for a TOUCHDOWN.,13,11
07:21,0,Made Extra Point,0,Chris Milo extra point is good.,14,11
07:21,0,Kickoff,18,Ricky Schmitt kicks off to the Tor4. Chad Owens return for 18 yards to Tor22. Tackled by Samuel Hurl.,14,11
07:15,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for Jeff Johnson defensed by Renauld Williams.,14,11
06:45,2,Pass,7,Ricky Ray pass to Andre Durie for 7 yards to the Tor29. Tackled by John Chick.,14,11
06:18,3,Punt,5,Noel Prefontaine punts for 42 yards to Ssk39. Jock Sanders return for 5 yards to Ssk44. Tackled by Julian Feoli-Gudino.,14,11
05:58,1,Rush,3,Kory Sheets rush for 3 yards to the Ssk47. Tackled by Shane Horton.,14,11
05:10,2,Pass,18,Darian Durant pass to Kory Sheets for 18 yards to the Tor45. Tackled by Janzen Jackson.,14,11
04:36,1,Rush,4,Jock Sanders rush for 4 yards to the Tor41. Tackled by Jonathan Williams.,14,11
03:59,0,Holding,-10,Penalty: Holding on Saskatchewan (Chris Best) -10 yards.,14,11
03:45,2,Pass,3,Darian Durant pass to Kory Sheets for 3 yards to the Tor48. Tackled by Brandon Isaac.,14,11
03:13,3,Illegal Block,0,Ricky Schmitt punts for 43 yards to Tor5. Chad Owens return for 5 yards to Tor10. Penalty: Illegal Block on Toronto (Shane Horton) -5 yards.,14,11
02:50,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for Dontrelle Inman.,14,11
02:35,2,Roughing Passer,20,Ricky Ray pass to Chad Kackert for 5 yards to the Tor10. Tackled by Renauld Williams. Penalty: Roughing Passer on Saskatchewan (John Chick) 15 yards.,14,11
02:28,1,Rush,1,Chad Kackert rush for 1 yard to the Tor26. Tackled by Keith Shologan.,14,11
02:06,2,Incomplete Pass,0,Ricky Ray incomplete pass intended for Chad Owens.,14,11
01:59,3,Illegal Block,-8,Noel Prefontaine punts for 37 yards to Ssk47. Jock Sanders return for 2 yards to Ssk49. Penalty: Illegal Block on Saskatchewan (Tristan Black) -10 yards.,14,11
01:49,1,Incomplete Pass,0,Darian Durant incomplete pass intended for Taj Smith defensed by Pat Watkins.,14,11
01:41,2,Incomplete Pass,0,Darian Durant incomplete pass intended for Rob Bagg.,14,11
01:34,3,Punt,0,Ricky Schmitt punts for 37 yards to Tor34. No return.,14,11
01:26,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for Spencer Watt.,14,11
01:20,2,Sack,-2,Sack at Tor32 for a loss of 2 yards by Renauld Williams.,14,11
01:11,3,Punt,8,Noel Prefontaine punts for 37 yards to Ssk41. Jock Sanders return for 8 yards to Ssk49. Tackled by James Yurichuk.,14,11
00:50,1,Pass,61,Darian Durant pass to Taj Smith for 61 yards for a TOUCHDOWN.,20,11
00:50,0,Made Extra Point,0,Chris Milo extra point is good.,21,11
00:50,0,Holding,26,Ricky Schmitt kicks off to the Tor3. Chad Owens return for 21 yards to Tor24. Penalty: Unnecessary Roughness on Saskatchewan ( ) 15 yards. Penalty: Holding on Toronto (Herve Tonye-Tonye) -10 yards.,21,11
00:41,1,Pass,9,Ricky Ray pass to Chad Owens for 9 yards to the Tor38. Tackled by  .,21,11
00:31,2,Pass,8,Ricky Ray pass to Dontrelle Inman for 8 yards to the Tor46. Tackled by Ricky Foley.,21,11
00:21,1,Pass,11,Ricky Ray pass to Andre Durie for 11 yards to the Ssk53.,21,11
00:11,1,Pass,16,Ricky Ray pass to Jason Barnes for 16 yards to the Ssk37. Tackled by Renauld Williams.,21,11
00:00,1,Missed Field Goal,44,Noel Prefontaine 44 yard field goal attempt is GOOD.,21,14
15:00,0,Kickoff,11,Noel Prefontaine kicks off to the Ssk17. Jock Sanders return for 11 yards to Ssk28. Tackled by Spencer Watt.,21,14
14:37,1,Rush,7,Kory Sheets rush for 7 yards to the Ssk35. Tackled by Pat Watkins.,21,14
14:27,2,Rush,13,Kory Sheets rush for 13 yards to the Ssk48. Tackled by Marcus Ball.,21,14
13:31,1,Rush,10,Jock Sanders rush for 10 yards to the Tor52. Tackled by Jalil Carter.,21,14
13:07,2,Rush,4,Jock Sanders rush for 4 yards to the Tor48. Tackled by Jalil Carter.,21,14
12:18,1,Pass,4,Darian Durant pass to Weston Dressler for 4 yards to the Tor44. Tackled by Brandon Isaac.,21,14
11:38,2,Incomplete Pass,0,Darian Durant incomplete pass intended for Chris Getzlaf.,21,14
11:09,3,Punt Single,0,Ricky Schmitt punts for 56 yards to Tor0. No return (Single).,22,14
11:09,1,Pass,9,Ricky Ray pass to Dontrelle Inman for 9 yards to the Tor44. Tackled by Weldon Brown.,22,14
10:25,2,Rush,1,Zach Collaros rush for 1 yard to the Tor45. Tackled by Weldon Brown.,22,14
09:40,1,Rush,2,Chad Kackert rush for 2 yards to the Tor47. Tackled by Tearrius George.,22,14
09:07,2,Incomplete Pass,0,Ricky Ray incomplete pass intended for Dontrelle Inman.,22,14
08:50,3,Punt,23,Noel Prefontaine punts for 46 yards to Ssk17. Jock Sanders return for 23 yards to Ssk40. Tackled by Jermaine Gabriel.,22,14
08:09,1,Pass,70,Darian Durant pass to Taj Smith for 70 yards for a TOUCHDOWN.,28,14
07:53,0,Made Extra Point,0,Chris Milo extra point is good.,29,14
07:53,0,Kickoff,28,Ricky Schmitt kicks off to the Tor3. Chad Owens return for 28 yards to Tor31. Tackled by Tristan Black.,29,14
07:45,1,Sack,-1,Sack at Tor30 for a loss of 1 yard by Weldon Brown.,29,14
07:00,2,Pass,14,Ricky Ray pass to Chad Owens for 14 yards to the Tor44. Tackled by Weldon Brown.,29,14
06:22,1,Pass,7,Ricky Ray pass to Chad Owens for 7 yards to the Tor51. Tackled by Prince Miller.,29,14
05:33,2,Rush,3,Chad Kackert rush for 3 yards to the Tor54. Tackled by Keith Shologan.,29,14
04:45,1,Rush,4,Chad Kackert rush for 4 yards to the Ssk52. Tackled by Renauld Williams.,29,14
04:21,2,Incomplete Pass,0,Ricky Ray incomplete pass intended for Dontrelle Inman defensed by Tyron Brackenridge.,29,14
04:01,3,Punt,8,Noel Prefontaine punts for 45 yards to Ssk7. Jock Sanders return for 8 yards to Ssk15. Tackled by Jamie Robinson.,29,14
03:48,1,Rush,5,Kory Sheets rush for 5 yards to the Ssk20. Tackled by Shane Horton.,29,14
03:01,2,Pass,6,Darian Durant pass to Weston Dressler for 6 yards to the Ssk26. Tackled by Janzen Jackson.,29,14
02:23,1,Pass,10,Darian Durant pass to Taj Smith for 10 yards to the Ssk36. Tackled by Pat Watkins.,29,14
02:06,1,Rush,5,Kory Sheets rush for 5 yards to the Ssk41. Tackled by David Lee.,29,14
01:32,2,Illegal Participation,24,Darian Durant pass to Chris Getzlaf for 14 yards to the Ssk55. Tackled by Jamie Robinson. Penalty: Illegal Participation on Toronto (Janzen Jackson) 10 yards.,29,14
01:10,1,Rush,7,Kory Sheets rush for 7 yards to the Tor38. Tackled by Robert McCune.,29,14
00:29,2,Rush,6,Kory Sheets rush for 6 yards to the Tor32. Tackled by Janzen Jackson.,29,14
00:01,1,Rush,7,Kory Sheets rush for 7 yards to the Tor25. Tackled by Robert McCune.,29,14
15:00,2,Rush,15,Kory Sheets rush for 15 yards to the Tor10. Tackled by Jamie Robinson.,29,14
14:01,1,Rush,5,Kory Sheets rush for 5 yards to the Tor5. Tackled by Cleyon Laing.,29,14
13:23,2,Sack,-9,Sack at Tor14 for a loss of 9 yards by Jonathan Williams.,29,14
12:46,3,Missed Field Goal,21,Chris Milo 21 yard field goal attempt is GOOD.,32,14
12:46,1,Pass,11,Ricky Ray pass to Chad Kackert for 11 yards to the Tor46. Tackled by Graig Newman.,32,14
12:07,1,Rush,9,Chad Kackert rush for 9 yards to the Tor55. Tackled by Craig Butler.,32,14
11:26,2,Rush,1,Zach Collaros rush for 1 yard to the Ssk54. Tackled by Jermaine McElveen.,32,14
10:59,1,Pass,6,Ricky Ray pass to Spencer Watt for 6 yards to the Ssk48. Tackled by  .,32,14
10:06,2,Pass,48,Ricky Ray pass to Chad Kackert for 48 yards for a TOUCHDOWN.,32,20
09:59,0,Made Extra Point,0,Noel Prefontaine extra point is good.,32,21
09:59,0,Kickoff,22,Noel Prefontaine kicks off to the Ssk13. Jock Sanders return for 22 yards to Ssk35. Tackled by Spencer Watt.,32,21
09:44,1,Rush,4,Kory Sheets rush for 4 yards to the Ssk39. Tackled by Cleyon Laing.,32,21
09:00,2,Rush,1,Kory Sheets rush for 1 yard to the Ssk40. Tackled by Kiante Tripp.,32,21
08:29,3,Punt,6,Ricky Schmitt punts for 47 yards to Tor23. Chad Owens return for 6 yards to Tor29. Tackled by Paul Woldu.,32,21
08:18,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for Jason Barnes.,32,21
08:06,2,Incomplete Pass,0,Ricky Ray incomplete pass intended for Dontrelle Inman defensed by  .,32,21
07:39,3,Punt,12,Noel Prefontaine punts for 47 yards to Ssk34. Jock Sanders return for 12 yards to Ssk46. Tackled by James Yurichuk.,32,21
07:17,1,Pass,9,Drew Willy pass to Scott McHenry for 9 yards to the Ssk55. Tackled by Pat Watkins.,32,21
06:29,2,Rush,9,Kory Sheets rush for 9 yards to the Tor46. Tackled by Janzen Jackson.,32,21
06:17,1,Rush,4,Kory Sheets rush for 4 yards to the Tor42. Tackled by Cleyon Laing.,32,21
05:24,2,Rush,-1,Kory Sheets rush for a loss of 1 yard to the Tor43. Tackled by Jonathan Williams.,32,21
04:54,3,Illegal Block,1,Ricky Schmitt punts for 43 yards to Tor0. Chad Owens return for 1 yard to Tor1. Penalty: Illegal Block on Toronto (Mister Alexander) 0 yards.,32,21
04:44,1,Unnecessary Roughness,18,Ricky Ray pass to Dontrelle Inman for 33 yards to the Tor34. Penalty: Unnecessary Roughness on Toronto (Chris Van Zeyl) -15 yards.,32,21
04:21,1,Pass,18,Ricky Ray pass to Chad Owens for 18 yards to the Tor37. Tackled by Dwight Anderson.,32,21
03:52,1,Pass,5,Ricky Ray pass to Spencer Watt for 5 yards to the Tor42. Tackled by  .,32,21
03:24,2,Incomplete Pass,0,Ricky Ray incomplete pass intended for Chad Owens.,32,21
03:11,3,Incomplete Pass,0,Ricky Ray incomplete pass intended for Chad Owens.,32,21
03:02,1,Rush,5,Kory Sheets rush for 5 yards to the Tor37. Tackled by Robert McCune.,32,21
02:15,2,Rush,37,Kory Sheets rush for 37 yards for a TOUCHDOWN.,38,21
02:15,0,Made Extra Point,0,Chris Milo extra point is good.,39,21
02:15,0,Kickoff,0,Ricky Schmitt kicks off to the Tor8. Juaquin Iglesias - no return.,39,21
02:12,1,Pass,14,Zach Collaros pass to Chad Owens for 14 yards to the Tor22. Tackled by Graig Newman.,39,21
01:52,1,Incomplete Pass,0,Zach Collaros incomplete pass intended for Juaquin Iglesias.,39,21
01:39,2,Pass,35,Zach Collaros pass to Juaquin Iglesias for 35 yards to the Ssk53. Tackled by Tyron Brackenridge.,39,21
01:34,1,Sack,-8,Sack at Tor49 for a loss of 8 yards by Graig Newman.,39,21
01:23,2,Pass,23,Zach Collaros pass to Juaquin Iglesias for 23 yards to the Ssk38. Tackled by Prince Miller.,39,21
01:11,1,Incomplete Pass,0,Zach Collaros incomplete pass intended for Juaquin Iglesias.,39,21
01:06,2,Incomplete Pass,0,Zach Collaros incomplete pass intended for Jason Barnes.,39,21
00:45,3,Rush,15,Zach Collaros rush for 15 yards to the Ssk23. Tackled by Craig Butler.,39,21
00:40,1,Pass,7,Zach Collaros pass to Juaquin Iglesias for 7 yards to the Ssk16. Tackled by Prince Miller.,39,21
00:35,2,Pass,14,Zach Collaros pass to Andre Durie for 14 yards to the Ssk2. Tackled by Craig Butler.,39,21
00:23,1,Rush,2,Zach Collaros rush for 2 yards for a TOUCHDOWN.,39,27
00:23,0,Made Extra Point,0,Noel Prefontaine extra point is good.,39,28
00:23,0,Kickoff,-4,"Noel Prefontaine kicks off to the Tor48. Chris Getzlaf return for a loss of 4 yards to Tor52., recovered by Tor (Zander Robinson).",39,28
00:20,1,Sack,-7,Sack at Tor45 for a loss of 7 yards by Ricky Foley.,39,28
00:01,2,Time Count,0,Penalty: Time Count on Toronto (Zach Collaros) 0 yards.,39,28
00:01,3,Pass,14,Zach Collaros pass to Jason Barnes for 14 yards to the Ssk51.,39,28
