Time,Down,Type,Yards,Details,Toronto,BC
07:40,1,Rush,5,Chad Kackert rush for 5 yards to the BC45. Tackled by Eric Taylor.,0,13
07:02,2,Pass,7,Ricky Ray pass to Chad Owens for 7 yards to the BC38. Tackled by Adam Bighill.,0,13
06:19,1,Pass,3,Ricky Ray pass to Chad Owens for 3 yards to the BC35. Tackled by Dante Marsh.,0,13
05:41,2,Incomplete Pass,0,Ricky Ray incomplete pass intended for Spencer Watt.,0,13
04:54,3,Missed Field Goal,42,Noel Prefontaine 42 yard field goal attempt is GOOD.,3,13
04:54,0,Kickoff,9,Noel Prefontaine kicks off to the BC18. Korey Williams return for 9 yards to BC27. Tackled by Jonathan Hood.,3,13
04:48,1,Rush,10,Andrew Harris rush for 10 yards to the BC37. Tackled by Marcus Ball.,3,13
04:11,2,Rush,3,Thomas DeMarco rush for 3 yards to the BC40. Tackled by Marcus Ball.,3,13
03:38,1,Incomplete Pass,0,Travis Lulay incomplete pass intended for Andrew Harris.,3,13
03:11,2,Pass,14,Travis Lulay pass to Nick Moore for 14 yards to the BC54. Tackled by Marcus Ball.,3,13
02:46,1,Rush,23,Andrew Harris rush for 23 yards to the Tor33. Tackled by Marcus Ball.,3,13
02:27,1,Incomplete Pass,0,Travis Lulay incomplete pass intended for Courtney Taylor defensed by Matt Black.,3,13
02:02,2,Pass,8,Travis Lulay pass to Andrew Harris for 8 yards to the Tor25. Tackled by Marcus Ball.,3,13
01:24,3,Field Goal Single,43,43 yard field goal attempt by Hugh O'Neill is NO GOOD (Single).,3,14
01:24,1,Pass,12,Ricky Ray pass to Chad Owens for 12 yards to the Tor47.,3,14
01:18,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for Chad Owens.,3,14
01:13,2,Incomplete Pass,0,Ricky Ray incomplete pass intended for Jason Barnes.,3,14
01:02,3,Punt,9,Noel Prefontaine punts for 51 yards to BC12. Korey Williams return for 9 yards to BC21. Tackled by Janzen Jackson.,3,14
00:49,1,Incomplete Pass,0,Travis Lulay incomplete pass intended for Courtney Taylor.,3,14
00:44,2,Incomplete Pass,0,Travis Lulay incomplete pass intended for Courtney Taylor.,3,14
00:38,3,Punt,15,Hugh O'Neill punts for 50 yards to Tor39. Chad Owens return for 15 yards to Tor54. Tackled by Anton McKenzie.,3,14
00:24,1,Pass,6,Ricky Ray pass to Chad Kackert for 6 yards to the BC50. Tackled by Solomon Elimimian.,3,14
00:17,2,Incomplete Pass,0,Ricky Ray incomplete pass intended for Jason Barnes defensed by Cord Parks.,3,14
00:03,3,Punt,0,Noel Prefontaine punts for 44 yards to BC6. Korey Williams return for no gain to BC6. Tackled by Nekos Brown.,3,14
15:00,0,Kickoff,10,Noel Prefontaine kicks off to the BC17. Korey Williams return for 10 yards to BC27. Tackled by Shane Horton.,3,14
14:51,1,Incomplete Pass,0,Travis Lulay incomplete pass intended for Nick Moore.,3,14
14:26,2,Sack,-5,Sack at BC22 for a loss of 5 yards by Jonathan Williams.,3,14
13:40,3,Punt,1,Hugh O'Neill punts for 41 yards to Tor47. Chad Owens return for 1 yard to Tor48. Tackled by Jason Arakgi.,3,14
13:23,0,Holding,-10,Penalty: Holding on Toronto (Tony Washington) -10 yards.,3,14
13:12,1,Pass,5,Ricky Ray pass to Jason Barnes for 5 yards to the Tor43. Tackled by Cord Parks.,3,14
12:34,2,Incomplete Pass,0,Ricky Ray incomplete pass intended for Andre Durie.,3,14
12:13,3,Punt,1,Noel Prefontaine punts for 41 yards to BC26. Korey Williams return for 1 yard to BC27. Tackled by Matt Black.,3,14
11:57,1,Rush,13,Emmanuel Arceneaux rush for 13 yards to the BC40. Tackled by Jamie Robinson.,3,14
11:37,1,Rush,10,Andrew Harris rush for 10 yards to the BC50. Tackled by Jamie Robinson.,3,14
10:59,1,Pass,3,Travis Lulay pass to Andrew Harris for 3 yards to the BC53. Tackled by Pat Watkins.,3,14
10:17,2,Pass,12,Travis Lulay pass to Paris Jackson for 12 yards to the Tor45. Tackled by Antareis Bryan.,3,14
09:38,1,Pass,7,Travis Lulay pass to Paris Jackson for 7 yards to the Tor38. Tackled by Pat Watkins.,3,14
08:52,2,Pass,10,Travis Lulay pass to Andrew Harris for 10 yards to the Tor28. Tackled by Jalil Carter.,3,14
08:25,1,Rush,4,Andrew Harris rush for 4 yards to the Tor24. Tackled by Brandon Isaac.,3,14
07:39,2,Offside,5,Penalty: Offside on Toronto (Marcus Ball) 5 yards.,3,14
07:16,2,Incomplete Pass,0,Travis Lulay incomplete pass intended for Nick Moore.,3,14
06:51,3,Rush,4,Thomas DeMarco rush for 4 yards to the Tor15. Tackled by Robert McCune.,3,14
06:37,1,Rush,-2,Andrew Harris rush for a loss of 2 yards to the Tor17. Tackled by David Lee.,3,14
06:00,2,Incomplete Pass,0,Travis Lulay incomplete pass intended for Marco Iannuzzi defensed by Pat Watkins.,3,14
05:17,3,Missed Field Goal,24,Hugh O'Neill 24 yard field goal attempt is GOOD.,3,17
05:17,1,Pass,14,Ricky Ray pass to Spencer Watt for 14 yards to the Tor49. Tackled by Ryan Phillips.,3,17
04:34,1,Pass,1,Ricky Ray pass to Chad Kackert for 1 yard to the Tor50. Tackled by Jason Arakgi.,3,17
03:57,2,Incomplete Pass,0,Ricky Ray incomplete pass intended for Jason Barnes.,3,17
03:35,3,Punt,0,Noel Prefontaine punts for 46 yards to BC14. Korey Williams return for no gain to BC14. Tackled by James Yurichuk.,3,17
03:20,1,Interception,10,Travis Lulay pass intended for Nick Moore INTERCEPTED by Jalil Carter and returned for 10 yards. Tackled by Rolly Lumbala.,3,17
02:53,1,Pass,8,Ricky Ray pass to Chad Kackert for 8 yards to the BC12. Tackled by Lin-J Shell.,3,17
02:10,2,Rush,-1,Chad Kackert rush for a loss of 1 yard to the BC13. Tackled by Solomon Elimimian.,3,17
01:29,3,Pass,6,Ricky Ray pass to Chad Owens for 6 yards to the BC7. Tackled by Dante Marsh.,3,17
01:07,1,Rush,2,Chad Kackert rush for 2 yards to the BC5. Tackled by Lin-J Shell.,3,17
00:25,2,Incomplete Pass,0,Ricky Ray incomplete pass intended for Andre Durie.,3,17
00:07,3,Missed Field Goal,12,Noel Prefontaine 12 yard field goal attempt is GOOD.,6,17
00:07,0,Kickoff,18,Noel Prefontaine kicks off to the BC15. Korey Williams return for 18 yards to BC33. Tackled by Shane Horton.,6,17
00:02,1,Pass,2,Travis Lulay pass to Paris Jackson for 2 yards to the BC35. Tackled by Pat Watkins.,6,17
15:00,2,Time Count,-5,Penalty: Time Count on BC (Travis Lulay) -5 yards.,6,17
14:40,2,Pass,6,Travis Lulay pass to Emmanuel Arceneaux for 6 yards to the BC36. Tackled by Marcus Ball.,6,17
14:15,3,Fumble,2,"Hugh O'Neill rush for 2 yards to the BC38. FUMBLE, recovered by Tor (Matt Black). Tackled by Hugh O'Neill.",6,17
13:59,1,Pass,9,Ricky Ray pass to Andre Durie for 9 yards to the BC29. Tackled by Dante Marsh.,6,17
13:20,2,Rush,-1,Chad Kackert rush for a loss of 1 yard to the BC30. Tackled by Keron Williams.,6,17
12:13,3,Missed Field Goal,37,Noel Prefontaine 37 yard field goal attempt is GOOD.,9,17
12:13,0,Kickoff,0,Noel Prefontaine kicks off to the BC23. Korey Williams - no return.,9,17
12:01,1,Rush,7,Andrew Harris rush for 7 yards to the BC30. Tackled by Robert McCune.,9,17
11:35,2,Rush,3,Andrew Harris rush for 3 yards to the BC33. Tackled by Jalil Carter.,9,17
11:00,3,Rush,3,Thomas DeMarco rush for 3 yards to the BC36. Tackled by Robert McCune.,9,17
10:20,1,Sack,-2,Sack at BC34 for a loss of 2 yards by Brandon Isaac.,9,17
09:37,2,Rush,3,Travis Lulay rush for 3 yards to the BC37. Tackled by Robert McCune.,9,17
08:46,3,No Yards,26,Hugh O'Neill punts for 41 yards to Tor32. Penalty: No Yards on BC (Josh Bell) -15 yards.,9,17
08:31,1,Pass,4,Ricky Ray pass to Andre Durie for 4 yards to the Tor51. Tackled by Cord Parks.,9,17
07:53,2,Sack,-4,Sack at Tor44 for no gain by Eric Taylor Recovered by BC (Korey Banks) and returned for 3 yards. Tackled by Chris Van Zeyl,9,17
07:29,1,Pass,9,Travis Lulay pass to Paris Jackson for 9 yards to the Tor32. Tackled by Jamie Robinson.,9,17
06:38,2,Rush,23,Andrew Harris rush for 23 yards to the Tor9. Tackled by Matt Black.,9,17
06:00,1,Rush,-3,Emmanuel Arceneaux rush for a loss of 3 yards to the Tor12. Tackled by Jamie Robinson.,9,17
05:14,2,Roughing Passer,8,Travis Lulay pass to Andrew Harris for 5 yards to the Tor7. Tackled by Pat Watkins. Penalty: Roughing Passer on Toronto (Khalif Mitchell) 3 yards.,9,17
04:24,1,Rush,4,Andrew Harris rush for 4 yards for a TOUCHDOWN.,9,23
04:14,0,Made Extra Point,0,Hugh O'Neill extra point is good.,9,24
04:14,0,Kickoff,19,Hugh O'Neill kicks off to the Tor22. Chad Owens return for 19 yards to Tor41. Tackled by Rolly Lumbala.,9,24
04:11,1,Pass,7,Ricky Ray pass to Chad Kackert for 7 yards to the Tor48. Tackled by Anton McKenzie.,9,24
03:40,2,Incomplete Pass,0,Ricky Ray incomplete pass intended for Andre Durie.,9,24
03:35,3,Rush,1,Ricky Ray rush for 1 yard to the Tor49. Tackled by Anton McKenzie.,9,24
03:16,1,Rush,1,Andrew Harris rush for 1 yard to the Tor48. Tackled by Marcus Ball.,9,24
03:00,2,Incomplete Pass,0,Travis Lulay incomplete pass intended for Courtney Taylor.,9,24
02:40,3,Illegal Block,29,Hugh O'Neill punts for 34 yards to Tor14. Penalty: No Yards on BC (Lin-J Shell) -15 yards. Penalty: Illegal Block on Toronto 10 yards.,9,24
02:26,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for Andre Durie.,9,24
02:22,2,Pass,10,Ricky Ray pass to Trent Guy for 10 yards to the Tor29.,9,24
02:15,1,Pass,2,Ricky Ray pass to Chad Kackert for 2 yards to the Tor31. Tackled by Korey Banks.,9,24
02:10,2,Pass,25,Ricky Ray pass to Chad Owens for 25 yards to the BC54. Tackled by Josh Bell.,9,24
02:00,1,Pass,10,Ricky Ray pass to Andre Durie for 10 yards to the BC44.,9,24
01:49,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for Chad Kackert.,9,24
01:45,2,Pass,11,Ricky Ray pass to Chad Owens for 11 yards to the BC33. Tackled by Solomon Elimimian.,9,24
