Time,Down,Type,Yards,Details,Montreal,Toronto
09:12,1,Rush,6,rush for 6 yards to the Tor54. Tackled by Jalil Carter.,17,8
08:30,2,Rush,-2,rush for a loss of 2 yards to the Mtl54. Tackled by Alonzo Lawrence.,17,8
08:03,3,Punt,0,Sean Whyte punts for 32 yards to Tor24. No return.,17,8
07:43,1,Rush,3,Curtis Steele rush for 3 yards to the Tor27. Tackled by Alan-Michael Cash.,17,8
07:08,2,Rush,2,Zach Collaros rush for 2 yards to the Tor29. Tackled by Marc-Olivier Brouillette.,17,8
06:50,3,Holding,51,Noel Prefontaine punts for 41 yards to Mtl40. Penalty: Holding on Montreal (B.J. Scott) 10 yards.,17,8
06:14,1,Pass,12,Tanner Marsh pass to Arland Bruce for 12 yards to the Mtl42. Tackled by Ricardo Colclough.,17,8
05:43,1,Rush,4,Jerome Messam rush for 4 yards to the Mtl46. Tackled by Jonathan Williams.,17,8
05:10,2,Incomplete Pass,0,Tanner Marsh incomplete pass intended for Arland Bruce.,17,8
04:42,3,Punt,0,Sean Whyte punts for 50 yards to Tor14. No return.,17,8
04:24,1,Pass,17,Zach Collaros pass to Chad Owens for 17 yards to the Tor31. Tackled by Byron Parker.,17,8
04:02,1,Pass,4,Zach Collaros pass to Andre Durie for 4 yards to the Tor35. Tackled by Jerald Brown.,17,8
03:39,2,Pass,12,Zach Collaros pass to Chad Owens for 12 yards to the Tor47. Tackled by Byron Parker.,17,8
03:02,1,Pass,27,Zach Collaros pass to John Chiles for 27 yards to the Mtl36. Tackled by Chip Cox.,17,8
02:32,1,Rush,-3,Chad Owens rush for a loss of 3 yards to the Mtl39. Tackled by Byron Parker.,17,8
01:56,2,Pass,16,Zach Collaros pass to John Chiles for 16 yards to the Mtl23. Tackled by Byron Parker.,17,8
01:10,1,Pass,0,Zach Collaros pass to Chad Owens for no gain to the Mtl23. Tackled by Billy Parker.,17,8
00:27,2,Fumble,5,"Zach Collaros pass to Dontrelle Inman for 5 yards to the Mtl18. FUMBLE, recovered by Mtl (Byron Parker).",17,8
00:05,1,Pass,47,Tanner Marsh pass to Duron Carter for 47 yards to the Tor45. Tackled by Pat Watkins.,17,8
15:00,1,Rush,29,Jerome Messam rush for 29 yards to the Tor16. Tackled by Matt Black.,17,8
14:29,1,Rush,6,Jerome Messam rush for 6 yards to the Tor10. Tackled by Jalil Carter.,17,8
13:50,2,Rush,3,Jerome Messam rush for 3 yards to the Tor7. Tackled by Khalif Mitchell.,17,8
13:10,3,Missed Field Goal,14,Sean Whyte 14 yard field goal attempt is GOOD.,20,8
13:10,0,Illegal Block,3,Sean Whyte kicks off to the Tor14. John Chiles return for 13 yards to Tor27. Penalty: Illegal Block on Toronto (Jonathan Hood) -10 yards.,20,8
12:51,1,Incomplete Pass,0,Zach Collaros incomplete pass intended for Zander Robinson.,20,8
12:44,2,Incomplete Pass,0,Zach Collaros incomplete pass intended for Jason Barnes.,20,8
12:22,3,Punt,3,Noel Prefontaine punts for 50 yards to Mtl43. Tyron Carrier return for 3 yards to Mtl46. Tackled by Jason Pottinger.,20,8
12:08,1,Incomplete Pass,0,Tanner Marsh incomplete pass intended for S.J. Green.,20,8
11:56,2,Sack,-10,Sack at Mtl36 for a loss of 10 yards by Marcus Ball.,20,8
11:33,3,Punt,5,Sean Whyte punts for 36 yards to Tor38. Chad Owens return for 5 yards to Tor43. Tackled by Nicolas Boulay.,20,8
11:10,1,Pass,6,Zach Collaros pass to Andre Durie for 6 yards to the Tor49. Tackled by Chip Cox.,20,8
10:40,2,Incomplete Pass,0,Zach Collaros incomplete pass intended for Andre Durie.,20,8
10:01,3,Punt Single,68,Noel Prefontaine punts for 68 yards to Mtl0 (Single) (Single).,20,9
10:01,1,Offside,-5,Penalty: Offside on Montreal (Duron Carter) -5 yards.,20,9
09:45,1,Pass,10,Tanner Marsh pass to S.J. Green for 10 yards to the Mtl40.,20,9
09:20,2,Offside,5,Penalty: Offside on Toronto (Matt Black) 5 yards.,20,9
08:52,1,Rush,1,Jerome Messam rush for 1 yard to the Mtl46. Tackled by Khalif Mitchell.,20,9
08:16,2,Pass,4,Tanner Marsh pass to Jerome Messam for 4 yards to the Mtl50. Tackled by Marcus Ball.,20,9
07:52,3,Punt,1,Sean Whyte punts for 45 yards to Tor15. Chad Owens return for 1 yard to Tor16.,20,9
