Time,Down,Type,Yards,Details,Toronto,Edmonton
11:10,3,Fumble,7,"Grant Shaw punts for 44 yards to Tor25. Branden Smith return for 6 yards to Tor31. FUMBLE, recovered by Edm (J.C. Sherritt) and returned for 1 yard. Tackled by James Yurichuk.",24,31
10:41,1,Rush,10,Pat White rush for 10 yards to the Tor20. Tackled by Jalil Carter.,24,31
10:24,1,Rush,2,Pat White rush for 2 yards to the Tor18. Tackled by Shea Emry.,24,31
10:00,2,Incomplete Pass,0,Matt Nichols incomplete pass intended for Nate Coehoorn.,24,31
09:11,3,Missed Field Goal,26,Grant Shaw 26 yard field goal attempt is GOOD.,24,34
09:11,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for Jason Barnes.,24,34
09:00,2,Illegal Procedure,-5,Penalty: Illegal Procedure on Toronto (Tyler Holmes) -5 yards.,24,34
08:40,2,Pass,8,Ricky Ray pass to Darvin Adams for 8 yards to the Tor38. Tackled by Rennie Curran.,24,34
08:05,3,Punt,0,Swayze Waters punts for 50 yards to Edm22. No return.,24,34
07:56,1,Incomplete Pass,0,Matt Nichols incomplete pass intended for A.J. Guyton.,24,34
07:36,2,Incomplete Pass,0,Matt Nichols incomplete pass intended for Shamawd Chambers.,24,34
07:14,3,Punt,6,Grant Shaw punts for 55 yards to Tor33. Branden Smith return for 6 yards to Tor39. Tackled by Corbin Sharun.,24,34
06:53,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for Spencer Watt.,24,34
06:32,2,Pass,6,Ricky Ray pass to Curtis Steele for 6 yards to the Tor45. Tackled by Eddie Steele.,24,34
06:10,3,Unnecessary Roughness,20,Swayze Waters punts for 47 yards to Edm18. A.J. Guyton return for 5 yards to Edm23. Tackled by Jalil Carter. Penalty: Unnecessary Roughness on Toronto (Jeremiah Johnson) 15 yards.,24,34
05:42,1,Rush,1,Kendial Lawrence rush for 1 yard to the Edm39. Tackled by Shea Emry.,24,34
05:03,2,Pass,2,Matt Nichols pass to Nate Coehoorn for 2 yards to the Edm41. Tackled by Jermaine Gabriel.,24,34
04:38,3,Punt,-2,Grant Shaw punts for 57 yards to Tor12. Mike Bradwell return for a loss of 2 yards to Tor10. Tackled by Eric Samuels.,24,34
04:07,1,Pass,6,Ricky Ray pass to Jason Barnes for 6 yards to the Tor16. Tackled by Dexter McCoil.,24,34
03:34,2,Pass,8,Ricky Ray pass to Jason Barnes for 8 yards to the Tor24. Tackled by Marcell Young.,24,34
03:02,1,Rush,11,Ricky Ray rush for 11 yards to the Tor35. Tackled by Eddie Steele.,24,34
02:36,1,Pass,10,Ricky Ray pass to Curtis Steele for 10 yards to the Tor45. Tackled by Eddie Steele.,24,34
02:27,1,Pass,9,Ricky Ray pass to Curtis Steele for 9 yards to the Tor54. Tackled by Patrick Watkins.,24,34
02:20,2,Pass,12,Ricky Ray pass to Mike Bradwell for 12 yards to the Edm44. Tackled by Patrick Watkins.,24,34
02:12,1,Pass,6,Ricky Ray pass to Jeremiah Johnson for 6 yards to the Edm38. Tackled by Rennie Curran.,24,34
02:05,2,Incomplete Pass,0,Ricky Ray incomplete pass intended for Jason Barnes.,24,34
01:44,3,Missed Field Goal,45,Swayze Waters 45 yard field goal attempt is GOOD.,27,34
01:44,1,Rush,12,Kendial Lawrence rush for 12 yards to the Edm47. Tackled by Jermaine Gabriel.,27,34
01:29,1,Pass,13,Matt Nichols pass to Adarius Bowman for 13 yards to the Tor50. Tackled by Jermaine Gabriel.,27,34
01:17,1,Rush,4,Kendial Lawrence rush for 4 yards to the Tor46. Tackled by Logan Harrell.,27,34
01:06,2,Sack,-8,Sack at Tor54 for a loss of 8 yards by Logan Harrell.,27,34
00:45,3,Punt,8,Grant Shaw punts for 57 yards to Tor0. Branden Smith return for 8 yards to Tor5. Tackled by Mike Miller.,27,34
00:11,1,Interception,19,Ricky Ray pass intended for Jason Barnes INTERCEPTED and returned for 19 yards for a TOUCHDOWN.,27,40
00:12,0,Made Extra Point,0,Grant Shaw extra point is good.,27,41
00:12,0,Kickoff,25,Grant Shaw kicks off to the Tor0. Jeremiah Johnson return for 25 yards to Tor25. Tackled by Corbin Sharun.,27,41
00:01,1,Fumble,25,"Trevor Harris pass to Darvin Adams for 9 yards to the Tor34. FUMBLE, recovered by Edm (Alonzo Lawrence) and returned for 16 yards.",27,41
