Time,Down,Type,Yards,Details,Calgary,Toronto
02:52,2,Incomplete Pass,0,Ricky Ray incomplete pass intended for Curtis Steele.,3,6
02:23,3,Holding,55,Swayze Waters punts for 45 yards to Cgy24. Penalty: Holding on Calgary (Yannick Carter) 10 yards.,3,6
01:56,1,Rush,2,Jock Sanders rush for 2 yards to the Cgy16. Tackled by Antwaun Molden.,3,6
01:21,2,Pass,30,Bo Levi Mitchell pass to Marquay McDaniel for 30 yards to the Cgy46. Tackled by Antwaun Molden.,3,6
00:57,1,Rush,6,Jock Sanders rush for 6 yards to the Cgy52. Tackled by Vincent Agnew.,3,6
00:00,2,Pass,58,Bo Levi Mitchell pass to Anthony Parker for 58 yards for a TOUCHDOWN.,9,6
00:00,0,Made Extra Point,0,Rene Paredes extra point is good.,10,6
15:00,0,Kickoff,24,Rene Paredes kicks off to the Tor10. Curtis Steele return for 24 yards to Tor34. Tackled by Lin-J Shell.,10,6
14:49,1,Rush,7,Jeremiah Johnson rush for 7 yards to the Tor41. Tackled by Jamar Wall.,10,6
14:07,2,Rush,6,Ricky Ray rush for 6 yards to the Tor47. Tackled by Juwan Simpson.,10,6
13:30,1,Pass,8,Ricky Ray pass to Mike Bradwell for 8 yards to the Tor55. Tackled by Fred Bennett.,10,6
12:59,2,Offside,5,Penalty: Offside on Calgary (DeQuin Evans) 5 yards.,10,6
12:35,1,Pass,2,Ricky Ray pass to Anthony Coombs for 2 yards to the Cgy48. Tackled by Lin-J Shell.,10,6
12:04,2,Roughing Passer,18,Ricky Ray pass to Spencer Watt for 3 yards to the Cgy45. Tackled by Jamar Wall. Penalty: Roughing Passer on Calgary (Juwan Simpson) 15 yards.,10,6
11:25,1,Pass,3,Ricky Ray pass to Mike Bradwell for 3 yards to the Cgy27. Tackled by Jamar Wall.,10,6
11:02,2,Incomplete Pass,0,Ricky Ray incomplete pass intended for Chad Owens.,10,6
10:43,3,Missed Field Goal,121,46 yard field goal attempt by Swayze Waters is NO GOOD.  Missed field goal returned by Jock Sanders to the Tor8. Tackled by Trevor Harris.,10,6
09:49,1,Pass,8,Bo Levi Mitchell pass to Jeff Fuller for 8 yards for a TOUCHDOWN.,16,6
09:38,0,Made Extra Point,0,Rene Paredes extra point is good.,17,6
09:38,0,Kickoff,22,Rene Paredes kicks off to the Tor13. Branden Smith return for 22 yards to Tor35. Tackled by Lin-J Shell.,17,6
09:20,1,Pass,8,Ricky Ray pass to Chad Owens for 8 yards to the Tor43. Tackled by Jock Sanders.,17,6
08:58,2,Rush,5,Jeremiah Johnson rush for 5 yards to the Tor48. Tackled by Josh Bell.,17,6
08:12,1,Rush,4,Jeremiah Johnson rush for 4 yards to the Tor52. Tackled by Deron Mayo.,17,6
07:36,2,Rush,4,Ricky Ray rush for 4 yards to the Cgy54. Tackled by Buddy Jackson.,17,6
06:50,3,Punt,8,Swayze Waters punts for 46 yards to Cgy8. Jock Sanders return for 8 yards to Cgy16. Tackled by Trevor Harris.,17,6
06:36,1,Rush,4,Matt Walter rush for 4 yards to the Cgy20. Tackled by Shane Horton.,17,6
06:05,2,Pass,7,Bo Levi Mitchell pass to Marquay McDaniel for 7 yards to the Cgy27. Tackled by Antwaun Molden.,17,6
05:03,1,Rush,8,Bo Levi Mitchell rush for 8 yards to the Cgy35. Tackled by Dwight Anderson.,17,6
04:54,2,Rush,3,Matt Walter rush for 3 yards to the Cgy38. Tackled by Shane Horton.,17,6
04:12,0,Illegal Contact,10,Penalty: Illegal Contact on Toronto (Jalil Carter) 10 yards.,17,6
03:30,1,Rush,3,Matt Walter rush for 3 yards to the Cgy51. Tackled by Logan Harrell.,17,6
03:02,2,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Joe West.,17,6
02:45,3,Punt,9,Rob Maver punts for 47 yards to Tor12. Terrell Sinkfield return for 9 yards to Tor21. Tackled by  .,17,6
02:25,1,Pass,7,Ricky Ray pass to Darvin Adams for 7 yards to the Tor28. Tackled by Fred Bennett.,17,6
02:13,2,Pass,18,Ricky Ray pass to Curtis Steele for 18 yards to the Tor46. Tackled by Buddy Jackson.,17,6
02:02,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for Mike Bradwell defensed by Fred Bennett.,17,6
01:52,2,Pass,6,Ricky Ray pass to Anthony Coombs for 6 yards to the Tor52. Tackled by Lin-J Shell.,17,6
01:45,3,Fumble,2,"Swayze Waters punts for 45 yards to Cgy13. Jock Sanders return for no gain to Cgy13. FUMBLE, recovered by Tor (Shane Herbert) and returned for 2 yards. Tackled by Brandon Smith.",17,6
01:17,1,Time Count,0,Penalty: Time Count on Toronto (Ricky Ray) 0 yards.,17,6
01:16,2,Pass,7,Ricky Ray pass to Anthony Coombs for 7 yards to the Cgy4. Tackled by Jamar Wall.,17,6
00:47,3,Missed Field Goal,11,Swayze Waters 11 yard field goal attempt is GOOD.,17,9
00:47,1,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Jeff Fuller defensed by Matthew Ware.,17,9
00:40,2,Rush,16,Matt Walter rush for 16 yards to the Cgy51. Tackled by Vincent Agnew.,17,9
00:25,1,Rush,5,Bo Levi Mitchell rush for 5 yards to the Tor54.,17,9
00:17,2,Pass,15,Bo Levi Mitchell pass to Matt Walter for 15 yards to the Tor39. Tackled by Shane Horton.,17,9
00:11,1,Rush,1,Matt Walter rush for 1 yard to the Tor38. Tackled by Cleyon Laing.,17,9
00:06,2,Missed Field Goal,20,53 yard field goal attempt by Rene Paredes is NO GOOD.  Missed field goal returned by Chad Owens to the Tor5. Tackled by Ben D'Aguilar.,17,9
15:00,0,Kickoff,19,Swayze Waters kicks off to the Cgy4. Jock Sanders return for 19 yards to Cgy23. Tackled by Jalil Carter.,17,9
14:53,1,Rush,17,Anthony Parker rush for 17 yards to the Cgy40. Tackled by Shea Emry.,17,9
14:15,1,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Jock Sanders.,17,9
13:41,2,Pass,27,Bo Levi Mitchell pass to Brad Sinopoli for 27 yards to the Tor43. Tackled by Dwight Anderson.,17,9
13:04,0,Face Mask,15,Penalty: Face Mask on Toronto (Antwaun Molden) 15 yards.,17,9
12:33,1,Rush,8,Matt Walter rush for 8 yards to the Tor20. Tackled by Jalil Carter.,17,9
12:01,2,Offside,5,Penalty: Offside on Toronto (Thaddeus Gibson) 5 yards.,17,9
11:12,1,Pass,15,Bo Levi Mitchell pass to Jeff Fuller for 15 yards for a TOUCHDOWN.,23,9
10:56,0,Made Extra Point,0,Rene Paredes extra point is good.,24,9
10:56,0,Kickoff,50,Rene Paredes kicks off to the Tor7. Curtis Steele return for 50 yards to Cgy53. Tackled by Rene Paredes.,24,9
10:32,1,Pass,8,Ricky Ray pass to Spencer Watt for 8 yards to the Cgy45. Tackled by Charleston Hughes.,24,9
10:02,2,Rush,4,Jeremiah Johnson rush for 4 yards to the Cgy41. Tackled by Charleston Hughes.,24,9
09:30,1,Pass,23,Ricky Ray pass to Anthony Coombs for 23 yards to the Cgy18. Tackled by Buddy Jackson.,24,9
09:06,1,Pass,3,Ricky Ray pass to Chad Owens for 3 yards to the Cgy15. Tackled by Brandon Smith.,24,9
08:44,2,Incomplete Pass,0,Ricky Ray incomplete pass intended for John Chiles defensed by Buddy Jackson.,24,9
08:02,3,Missed Field Goal,22,Swayze Waters 22 yard field goal attempt is GOOD.,24,12
08:02,1,Pass,9,Bo Levi Mitchell pass to Jeff Fuller for 9 yards to the Cgy44. Tackled by Jalil Carter.,24,12
07:34,2,Rush,1,Drew Tate rush for 1 yard to the Cgy45. Tackled by Logan Harrell.,24,12
06:58,3,Rush,1,Drew Tate rush for 1 yard to the Cgy46. Tackled by Logan Harrell.,24,12
06:34,1,Unnecessary Roughness,18,Jock Sanders rush for 3 yards to the Cgy49. Tackled by Logan Harrell. Penalty: Unnecessary Roughness on Toronto (Jermaine Gabriel) 15 yards.,24,12
05:46,0,Pass Interference,33,Penalty: Pass Interference on Toronto (Dwight Anderson) 33 yards.,24,12
05:10,1,Pass,13,Bo Levi Mitchell pass to Marquay McDaniel for 13 yards for a TOUCHDOWN.,30,12
04:49,0,Made Extra Point,0,Rene Paredes extra point is good.,31,12
04:49,0,Kickoff,16,Rene Paredes kicks off to the Tor10. Branden Smith return for 16 yards to Tor26. Tackled by Jeff Hecht.,31,12
04:28,1,Pass,38,Ricky Ray pass to Chad Owens for 38 yards to the Cgy46. Tackled by Buddy Jackson.,31,12
04:08,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for Chad Owens defensed by Charleston Hughes.,31,12
03:48,2,Illegal Procedure,-5,Penalty: Illegal Procedure on Toronto (SirVincent Rogers) -5 yards.,31,12
03:41,2,Pass,7,Ricky Ray pass to Darvin Adams for 7 yards to the Cgy44. Tackled by Lin-J Shell.,31,12
02:51,3,Missed Field Goal,51,Swayze Waters 51 yard field goal attempt is GOOD.,31,15
02:51,1,Rush,-1,Matt Walter rush for a loss of 1 yard to the Cgy34. Tackled by Antwaun Molden.,31,15
02:22,2,Pass,8,Bo Levi Mitchell pass to Brad Sinopoli for 8 yards to the Cgy42. Tackled by Antwaun Molden.,31,15
01:46,3,Punt,7,Rob Maver punts for 43 yards to Tor25. Chad Owens return for 7 yards to Tor32. Tackled by Tim St. Pierre.,31,15
01:08,0,Offside,-5,Penalty: Intentional Grounding on Toronto (Ricky Ray) -10 yards. Penalty: Offside on Calgary (DeQuin Evans) 5 yards.,31,15
00:53,1,Pass,5,Ricky Ray pass to Anthony Coombs for 5 yards to the Tor32. Tackled by  .,31,15
00:13,2,Sack,-1,Sack at Tor31 for a loss of 1 yard by  .,31,15
15:00,3,Punt,26,Swayze Waters punts for 57 yards to Cgy22. Jock Sanders return for 26 yards to Cgy48. Tackled by James Yurichuk.,31,15
14:42,1,Rush,3,Bo Levi Mitchell rush for 3 yards to the Cgy51.,31,15
13:45,2,Offside,5,Penalty: Offside on Toronto (Tristan Okpalaugo) 5 yards.,31,15
13:30,2,Rush,4,Drew Tate rush for 4 yards to the Tor50.,31,15
13:00,0,Pass Interference,16,Penalty: Pass Interference on Toronto (Matthew Ware) 16 yards.,31,15
12:34,1,Rush,2,Matt Walter rush for 2 yards to the Tor32. Tackled by Vincent Agnew.,31,15
12:00,2,Pass,12,Bo Levi Mitchell pass to Anthony Parker for 12 yards to the Tor20. Tackled by Logan Harrell.,31,15
11:33,0,Illegal Contact,10,Penalty: Illegal Contact on Toronto (Shea Emry) 10 yards.,31,15
10:59,1,Rush,5,Matt Walter rush for 5 yards to the Tor5. Tackled by Jermaine Gabriel.,31,15
10:46,2,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Rob Cote.,31,15
09:53,3,Missed Field Goal,13,Rene Paredes 13 yard field goal attempt is GOOD.,34,15
09:53,1,Pass,9,Ricky Ray pass to Chad Owens for 9 yards to the Tor44. Tackled by Lin-J Shell.,34,15
09:35,2,Pass,9,Ricky Ray pass to Chad Owens for 9 yards to the Tor53. Tackled by Lin-J Shell.,34,15
09:08,1,Pass,8,Ricky Ray pass to Anthony Coombs for 8 yards to the Cgy49. Tackled by  .,34,15
08:37,2,Rush,3,Ricky Ray rush for 3 yards to the Cgy46. Tackled by Quinn Smith.,34,15
08:04,0,Holding,-10,Penalty: Holding on Toronto (Jarriel King) -10 yards.,34,15
07:46,1,Fumble,1,"Sack at Tor54 for no gain by Charleston Hughes. FUMBLE, recovered by Cgy (Fred Bennett) and returned for 1 yard. Tackled by Jarriel King.",34,15
07:25,1,Pass,13,Bo Levi Mitchell pass to Jeff Fuller for 13 yards to the Tor40.,34,15
07:01,1,Rush,5,Matt Walter rush for 5 yards to the Tor35. Tackled by Vincent Agnew.,34,15
06:19,2,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Anthony Parker.,34,15
05:57,3,No Yards,17,22 yard field goal attempt by Rene Paredes is NO GOOD. Field goal attempt is BLOCKED by Logan Harrell. Penalty: No Yards on Calgary -5 yards.,34,15
05:42,1,Rush,20,Jeremiah Johnson rush for 20 yards to the Tor38. Tackled by Brandon Smith.,34,15
05:28,0,Holding,-10,Penalty: Holding on Toronto (SirVincent Rogers) -10 yards.,34,15
05:15,1,Pass,0,Ricky Ray pass to Jeremiah Johnson for no gain to the Tor28. Tackled by Micah Johnson.,34,15
04:40,2,Pass,15,Ricky Ray pass to Darvin Adams for 15 yards to the Tor43. Tackled by Juwan Simpson.,34,15
04:19,3,Pass,7,Ricky Ray pass to Chad Owens for 7 yards to the Tor50. Tackled by Fred Bennett.,34,15
03:49,1,Pass,7,Ricky Ray pass to Mike Bradwell for 7 yards to the Cgy53. Tackled by Lin-J Shell.,34,15
03:09,2,Rush,7,Jeremiah Johnson rush for 7 yards to the Cgy46. Tackled by Corey Mace.,34,15
02:54,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for John Chiles.,34,15
02:41,2,Sack,-7,Sack at Cgy53 for a loss of 7 yards by Juwan Simpson.,34,15
02:28,3,Incomplete Pass,0,Ricky Ray incomplete pass intended for John Chiles.,34,15
02:19,1,Rush,2,Jock Sanders rush for 2 yards to the Cgy55. Tackled by Vincent Agnew.,34,15
02:06,2,Rush,2,Jock Sanders rush for 2 yards to the Tor53. Tackled by Shea Emry.,34,15
01:52,3,Punt,11,Rob Maver punts for 40 yards to Tor13. Chad Owens return for 11 yards to Tor24. Tackled by Yannick Carter.,34,15
01:30,1,Pass,16,Trevor Harris pass to Chad Owens for 16 yards to the Tor40. Tackled by Brandon Smith.,34,15
01:19,1,Pass,2,Trevor Harris pass to Jeremiah Johnson for 2 yards to the Tor42. Tackled by  .,34,15
01:02,0,Rush,5,"FUMBLE Trevor Harris rush for 5 yards to the Tor47., recovered by Tor (Jeff Keeping).",34,15
00:38,3,Pass,7,Trevor Harris pass to Jeremiah Johnson for 7 yards to the Tor54. Tackled by Karl McCartney.,34,15
00:25,1,Pass,3,Trevor Harris pass to Spencer Watt for 3 yards to the Cgy53. Tackled by Fred Bennett.,34,15
00:20,2,Pass,13,Trevor Harris pass to Darvin Adams for 13 yards to the Cgy40. Tackled by Lin-J Shell.,34,15
00:02,1,Pass,30,Trevor Harris pass to Jeremiah Johnson for 30 yards to the Cgy10. Tackled by Buddy Jackson.,34,15
