Time,Down,Type,Yards,Details,Toronto,Winnipeg
01:25,1,Pass,15,Ricky Ray pass to Andre Durie for 15 yards to the Tor40. Tackled by Ian Wild.,7,24
01:10,1,Pass,5,Ricky Ray pass to Chad Owens for 5 yards to the Tor45. Tackled by Ejiro Kuale.,7,24
01:00,2,Sack,-7,Sack at Tor38 for a loss of 7 yards by Jason Vega.,7,24
00:46,3,Punt,25,Swayze Waters punts for 55 yards to Wpg17. Aaron Woods return for 25 yards to Wpg42. Tackled by James Yurichuk.,7,24
00:15,1,Pass,15,Drew Willy pass to Nick Moore for 15 yards to the Tor53. Tackled by Jalil Carter.,7,24
00:11,1,Sack,-4,Sack at Wpg53 for a loss of 4 yards by Jalil Carter.,7,24
00:01,2,Incomplete Pass,0,Drew Willy incomplete pass intended for Nick Moore.,7,24
15:00,0,Kickoff,25,Lirim Hajrullahu kicks off to the Tor2. Branden Smith return for 25 yards to Tor27. Tackled by Don Unamba.,7,24
14:55,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for Chad Owens defensed by Demond Washington.,7,24
14:45,2,Pass,5,Ricky Ray pass to Spencer Watt for 5 yards to the Tor32. Tackled by Matt Bucknor.,7,24
14:06,3,Punt,15,Swayze Waters punts for 45 yards to Wpg33. Aaron Woods return for 15 yards to Wpg48. Tackled by Jamie Robinson.,7,24
13:48,1,Pass,14,Drew Willy pass to Julian Feoli-Gudino for 14 yards to the Tor48. Tackled by Matt Black.,7,24
13:28,1,Rush,14,Nic Grigsby rush for 14 yards to the Tor34. Tackled by Matthew Ware.,7,24
12:46,1,Pass,12,Drew Willy pass to Julian Feoli-Gudino for 12 yards to the Tor22. Tackled by Shea Emry.,7,24
12:06,1,Rush,3,Nic Grigsby rush for 3 yards to the Tor19. Tackled by Shane Horton.,7,24
11:26,0,Pass Interference,18,Penalty: Pass Interference on Toronto (Brandon Underwood) 18 yards.,7,24
10:55,1,Rush,1,Robert Marve rush for 1 yard for a TOUCHDOWN.,7,30
10:42,0,Made Extra Point,0,Lirim Hajrullahu extra point is good.,7,31
10:42,0,Kickoff,21,Lirim Hajrullahu kicks off to the Tor12. Branden Smith return for 21 yards to Tor33. Tackled by Ian Wild.,7,31
10:35,1,Pass,9,Ricky Ray pass to Chad Owens for 9 yards to the Tor42. Tackled by Bruce Johnson.,7,31
09:55,2,Rush,4,Jeremiah Johnson rush for 4 yards to the Tor46. Tackled by Jake Thomas.,7,31
