Time,Down,Type,Yards,Details,Saskatchewan,Toronto
13:30,1,Pass,6,Ricky Ray pass to Alexandre Dupuis for 6 yards to the Tor21. Tackled by Terrell Maze.,1,17
13:00,2,Pass,10,Ricky Ray pass to Jason Barnes for 10 yards to the Tor31. Tackled by Tristan Jackson.,1,17
12:29,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for Darvin Adams defensed by Dwight Anderson.,1,17
12:06,2,Roughing Passer,20,Ricky Ray pass to Andre Durie for 5 yards to the Tor36. Tackled by Samuel Hurl. Penalty: Roughing Passer on Saskatchewan (Ricky Foley) 15 yards.,1,17
11:39,1,Rush,28,Anthony Coombs rush for 28 yards to the Ssk31. Tackled by Tyron Brackenridge.,1,17
11:24,1,Pass,12,Ricky Ray pass to Chad Owens for 12 yards to the Ssk19. Tackled by Tyron Brackenridge.,1,17
10:51,1,Pass,5,Ricky Ray pass to Chad Owens for 5 yards to the Ssk14. Tackled by Tristan Jackson.,1,17
09:36,2,Pass,14,Ricky Ray pass to Jason Barnes for 14 yards for a TOUCHDOWN.,1,23
09:23,0,Made Extra Point,0,Swayze Waters extra point is good.,1,24
09:23,0,Kickoff,22,Swayze Waters kicks off to the Ssk8. Marshay Green return for 22 yards to Ssk30. Tackled by Ivan Brown.,1,24
09:16,1,Sack,-5,Sack at Ssk25 for a loss of 5 yards by Cleyon Laing.,1,24
08:36,2,Time Count,-5,Penalty: Time Count on Saskatchewan (Darian Durant) -5 yards.,1,24
08:18,2,Pass,9,Darian Durant pass to Anthony Allen for 9 yards to the Ssk29. Tackled by Antwaun Molden.,1,24
07:32,3,Punt,2,Josh Bartel punts for 41 yards to Tor40. Chad Owens return for 2 yards to Tor42. Tackled by Dylan Ainsworth.,1,24
07:25,1,Pass,22,Ricky Ray pass to Andre Durie for 22 yards to the Ssk46. Tackled by Trevor Guyton.,1,24
06:55,1,Rush,6,Anthony Coombs rush for 6 yards to the Ssk40. Tackled by David Lee.,1,24
06:19,2,Sack,-6,Sack at Ssk46 for a loss of 6 yards by Tearrius George.,1,24
05:23,3,Punt Single,0,Swayze Waters punts for 48 yards to Ssk0. No return (Single).,1,25
05:23,1,Rush,16,Darian Durant rush for 16 yards to the Ssk51.,1,25
04:38,1,Pass,59,Darian Durant pass to Taj Smith for 59 yards for a TOUCHDOWN.,7,25
04:29,0,Made Extra Point,0,Chris Milo extra point is good.,8,25
04:29,0,Kickoff,26,Chris Milo kicks off to the Tor7. Branden Smith return for 26 yards to Tor33. Tackled by Kevin Regimbald.,8,25
04:16,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for John Chiles defensed by Rod Williams.,8,25
03:51,2,Pass,5,Ricky Ray pass to Curtis Steele for 5 yards to the Tor38. Tackled by Tyron Brackenridge.,8,25
03:20,3,Punt,7,Swayze Waters punts for 46 yards to Ssk26. Marshay Green return for 7 yards to Ssk33. Tackled by Brendan Gillanders.,8,25
03:04,1,Pass,39,Darian Durant pass to Ryan Smith for 39 yards to the Tor38. Tackled by Branden Smith.,8,25
02:46,1,Pass,29,Darian Durant pass to Rob Bagg for 29 yards to the Tor9. Tackled by Antwaun Molden.,8,25
01:44,1,Pass,9,Darian Durant pass to Anthony Allen for 9 yards for a TOUCHDOWN.,14,25
01:36,0,Made Extra Point,0,Chris Milo extra point is good.,15,25
01:36,0,Kickoff OOB,30,Chris Milo kicks off to the Tor24. Penalty: Kickoff OOB on Saskatchewan (Chris Milo) -21 yards.,15,25
01:35,1,Pass,10,Ricky Ray pass to Chad Owens for 10 yards to the Tor55. Tackled by Samuel Hurl.,15,25
01:14,1,Pass,15,Ricky Ray pass to Chad Owens for 15 yards to the Ssk40. Tackled by Rod Williams.,15,25
00:39,1,Rush,9,Anthony Coombs rush for 9 yards to the Ssk31. Tackled by Macho Harris.,15,25
00:06,2,Rush,-2,Anthony Coombs rush for a loss of 2 yards to the Ssk33. Tackled by John Chick.,15,25
14:40,3,Missed Field Goal,40,Swayze Waters 40 yard field goal attempt is GOOD.,15,28
14:40,1,Rush,2,Anthony Allen rush for 2 yards to the Ssk37. Tackled by Cleyon Laing.,15,28
14:10,2,Pass,14,Darian Durant pass to   for 14 yards to the Ssk51. Tackled by Cleyon Laing.,15,28
13:40,1,Incomplete Pass,0,Darian Durant incomplete pass intended for  .,15,28
13:22,2,Pass,11,Darian Durant pass to Anthony Allen for 11 yards to the Tor48. Tackled by Vincent Agnew.,15,28
12:41,1,Incomplete Pass,0,Darian Durant incomplete pass intended for Brett Swain.,15,28
12:23,2,Sack,-8,Sack at Ssk54 for a loss of 8 yards by Jalil Carter.,15,28
11:55,3,Punt,45,Josh Bartel punts for 40 yards to Tor16. Chad Owens return for 45 yards to Ssk49. Tackled by Mark LeGree.,15,28
11:42,1,Rush,13,Andre Durie rush for 13 yards to the Ssk36. Tackled by Brian Peters.,15,28
11:15,1,Rush,4,Curtis Steele rush for 4 yards to the Ssk32. Tackled by Dwight Anderson.,15,28
10:40,2,Rush,12,Ricky Ray rush for 12 yards to the Ssk20. Tackled by Trevor Guyton.,15,28
10:09,1,Pass,7,Ricky Ray pass to Chad Owens for 7 yards to the Ssk12. Tackled by Weldon Brown.,15,28
09:23,2,Rush,8,Ricky Ray rush for 8 yards to the Ssk5. Tackled by Samuel Hurl.,15,28
08:26,1,Pass,5,Ricky Ray pass to Mike Bradwell for 5 yards for a TOUCHDOWN.,15,34
08:26,0,Incomplete Pass,0,Ricky Ray incomplete pass intended for John Chiles.,15,34
08:05,0,Kickoff,19,Swayze Waters kicks off to the Ssk7. Tristan Jackson return for 19 yards to Ssk26. Tackled by Curtis Steele.,15,34
07:59,1,Sack,-9,Sack at Ssk17 for a loss of 9 yards by Jalil Carter.,15,34
07:10,2,Pass,0,Darian Durant pass to Anthony Allen for no gain to the Ssk17. Tackled by Antwaun Molden.,15,34
06:40,3,Punt,21,Josh Bartel punts for 46 yards to Tor47. Chad Owens return for 21 yards to Ssk42. Tackled by Spencer Moore.,15,34
06:16,1,Rush,19,Curtis Steele rush for 19 yards to the Ssk23. Tackled by Tristan Jackson.,15,34
05:40,1,Pass,6,Ricky Ray pass to Chad Owens for 6 yards to the Ssk17. Tackled by John Chick.,15,34
04:27,2,Rush,17,Curtis Steele rush for 17 yards for a TOUCHDOWN.,15,40
04:05,0,Made Extra Point,0,Swayze Waters extra point is good.,15,41
04:05,0,Objectionable Conduct,18,Swayze Waters kicks off to the Ssk12. Tristan Jackson return for 28 yards to Ssk40. Tackled by Anthony Woodson. Penalty: Objectionable Conduct on Saskatchewan (Tristan Jackson) -10 yards.,15,41
03:42,1,Pass,33,Darian Durant pass to Brett Swain for 33 yards to the Tor47. Tackled by Antwaun Molden.,15,41
03:20,1,Incomplete Pass,0,Darian Durant incomplete pass intended for Ryan Smith.,15,41
02:56,0,Pass Interference,43,Penalty: Pass Interference on Toronto (Jermaine Gabriel) 43 yards.,15,41
02:22,1,Interception,108,Darian Durant pass intended for Anthony Allen INTERCEPTED and returned for 108 yards for a TOUCHDOWN.,15,47
02:47,0,Made Extra Point,0,Swayze Waters extra point is good.,15,48
02:22,0,Kickoff,22,Swayze Waters kicks off to the Ssk2. Marshay Green return for 22 yards to Ssk24. Tackled by Shane Horton.,15,48
02:15,1,Rush,12,Anthony Allen rush for 12 yards to the Ssk36. Tackled by Logan Harrell.,15,48
02:07,1,Rush,6,Anthony Allen rush for 6 yards to the Ssk42. Tackled by Antwaun Molden.,15,48
01:46,2,Pass,16,Tino Sunseri pass to Rob Bagg for 16 yards to the Tor52. Tackled by  .,15,48
01:20,1,Sack,-7,Sack at Ssk51 for a loss of 7 yards by Tristan Okpalaugo.,15,48
00:52,2,Pass,11,Tino Sunseri pass to Anthony Allen for 11 yards to the Tor48. Tackled by Vincent Agnew.,15,48
00:32,3,Pass,9,Tino Sunseri pass to   for 9 yards to the Tor39. Tackled by Jalil Carter.,15,48
00:16,1,Rush,9,Tino Sunseri rush for 9 yards to the Tor30. Tackled by Logan Harrell.,15,48
00:03,2,Incomplete Pass,0,Tino Sunseri incomplete pass intended for Taj Smith defensed by Vincent Agnew.,15,48
