Time,Down,Type,Yards,Details,Toronto,BC
14:52,1,Pass,2,Ricky Ray pass to Chad Owens for 2 yards to the Tor41. Tackled by J.R. LaRose.,21,9
14:07,2,Sack,-5,Sack at Tor36 for a loss of 5 yards by Khreem Smith.,21,9
13:19,0,Fumble,0,", recovered by Tor (Tim Brown). Swayze Waters punts for 44 yards to BC30. FUMBLE Tim Brown return for no gain to BC30. Tackled by Jake Reinhart.",21,9
13:02,1,Rush,1,Andrew Harris rush for 1 yard to the BC31. Tackled by Gregory Jones.,21,9
12:27,2,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Marco Iannuzzi defensed by Jalil Carter.,21,9
12:15,3,Punt,2,Ricky Schmitt punts for 52 yards to Tor27. Branden Smith return for 2 yards to Tor29. Tackled by Mike Benson.,21,9
11:57,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for Mike Bradwell.,21,9
11:43,2,Pass,10,Ricky Ray pass to Steve Slaton for 10 yards to the Tor39. Tackled by Solomon Elimimian.,21,9
10:38,3,Unnecessary Roughness,16,Mitchell Gale rush for 1 yard to the Tor40. Tackled by Solomon Elimimian. Penalty: Unnecessary Roughness on BC (Solomon Elimimian) 15 yards.,21,9
10:16,0,Pass Interference,26,Penalty: Pass Interference on BC (Keynan Parker) 26 yards.,21,9
09:33,1,Rush,29,Steve Slaton rush for 29 yards for a TOUCHDOWN.,27,9
09:12,0,Made Extra Point,0,Swayze Waters extra point is good.,28,9
09:12,0,Illegal Block,7,Swayze Waters kicks off to the BC11. Stefan Logan return for 17 yards to BC28. Penalty: Illegal Block on BC (Adam Bighill) -10 yards.,28,9
09:06,1,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Bryan Burnham.,28,9
08:46,2,Sack,-9,Sack at BC9 for a loss of 9 yards by Shea Emry.,28,9
08:02,3,Punt,8,Ricky Schmitt punts for 53 yards to Tor48. Branden Smith return for 8 yards to BC54. Tackled by Torri Williams.,28,9
07:45,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for LaVon Brazill defensed by Eric Taylor.,28,9
07:21,2,Sack,-1,Sack at Tor55 for a loss of 1 yard by Khreem Smith.,28,9
06:25,3,Punt,4,Swayze Waters punts for 49 yards to BC6. Stefan Logan return for 4 yards to BC10. Tackled by Jermaine Gabriel.,28,9
06:08,1,Rush,28,Andrew Harris rush for 28 yards to the BC38. Tackled by Jamie Robinson.,28,9
05:24,1,Rush,2,Stefan Logan rush for 2 yards to the BC40. Tackled by Delano Johnson.,28,9
04:47,2,Illegal Procedure,-5,Penalty: Illegal Procedure on BC (Dean Valli) -5 yards.,28,9
04:40,2,Pass,5,Kevin Glenn pass to Andrew Harris for 5 yards to the BC40. Tackled by Alex Suber.,28,9
03:48,3,Punt,16,Ricky Schmitt punts for 52 yards to Tor18. LaVon Brazill return for 16 yards to Tor34. Tackled by Torri Williams.,28,9
03:28,1,Pass,3,Ricky Ray pass to Spencer Watt for 3 yards to the Tor37. Tackled by Solomon Elimimian.,28,9
02:52,2,Pass,8,Ricky Ray pass to LaVon Brazill for 8 yards to the Tor45. Tackled by Cord Parks.,28,9
02:04,1,Rush,3,Steve Slaton rush for 3 yards to the Tor48. Tackled by Eric Taylor.,28,9
01:23,2,Incomplete Pass,0,Ricky Ray incomplete pass intended for Chad Owens.,28,9
01:01,0,Running into Kicker,-10,Penalty: Running into Kicker on BC (Torri Williams) -10 yards.,28,9
00:32,1,Pass,4,Ricky Ray pass to Chad Owens for 4 yards to the BC48. Tackled by Ryan Phillips.,28,9
00:02,2,Pass,-1,Ricky Ray pass to Andre Durie for a loss of 1 yard to the BC49. Tackled by Josh Johnson.,28,9
15:00,3,Punt,3,Swayze Waters punts for 50 yards to BC0. Stefan Logan return for 3 yards to BC2. Tackled by Matthew Ware.,28,9
14:31,1,Pass,8,Kevin Glenn pass to Shawn Gore for 8 yards to the BC10. Tackled by Shea Emry.,28,9
13:53,0,Holding,-5,Penalty: Holding on BC (Rolly Lumbala) -5 yards.,28,9
13:27,0,Pass Interference,10,Penalty: Pass Interference on Toronto (Jermaine Gabriel) 10 yards.,28,9
13:06,1,Delay of Game,-2,Sack at BC3 for a loss of 12 yards by Vincent Agnew. Penalty: Delay of Game on Toronto 10 yards.,28,9
12:33,2,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Shawn Gore.,28,9
11:51,3,Safety,-13,Safety,30,9
11:51,0,Kickoff,16,Ricky Schmitt kicks off to the Tor11. Anthony Woodson return for 16 yards to Tor27. Tackled by Bo Lokombo.,30,9
11:45,1,Rush,7,Steve Slaton rush for 7 yards to the Tor34. Tackled by Khreem Smith.,30,9
11:05,2,Sack,-7,Sack at Tor27 for a loss of 7 yards by Khreem Smith.,30,9
10:16,0,Fumble,2,", recovered by Tor (Stefan Logan). Swayze Waters punts for 35 yards to BC48. FUMBLE Stefan Logan return for 2 yards to BC50. Tackled by Vincent Agnew.",30,9
09:49,1,Pass,25,Kevin Glenn pass to Andrew Harris for 25 yards to the Tor35. Tackled by Jamie Robinson.,30,9
09:34,1,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Marco Iannuzzi.,30,9
09:23,2,Pass,17,Kevin Glenn pass to Emmanuel Arceneaux for 17 yards to the Tor18. Tackled by Jamie Robinson.,30,9
09:09,1,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Bryan Burnham defensed by Jamie Robinson.,30,9
08:53,2,Pass,5,Kevin Glenn pass to Emmanuel Arceneaux for 5 yards to the Tor13. Tackled by Gregory Jones.,30,9
07:57,3,Pass,13,Kevin Glenn pass to Bryan Burnham for 13 yards for a TOUCHDOWN.,30,15
07:42,0,Made Extra Point,0,Paul McCallum extra point is good.,30,16
07:42,0,Kickoff,28,Ricky Schmitt kicks off to the Tor6. Curtis Steele return for 28 yards to Tor34. Tackled by Jason Arakgi.,30,16
07:34,1,Rush,2,Curtis Steele rush for 2 yards to the Tor36. Tackled by Khreem Smith.,30,16
07:00,2,Pass,29,Ricky Ray pass to Chad Owens for 29 yards to the BC45. Tackled by J.R. LaRose.,30,16
06:12,1,Rush,3,Steve Slaton rush for 3 yards to the BC42. Tackled by Solomon Elimimian.,30,16
05:33,2,Pass,0,Ricky Ray pass to Steve Slaton for no gain to the BC42. Tackled by Solomon Elimimian.,30,16
04:21,3,Missed Field Goal,50,Swayze Waters 50 yard field goal attempt is GOOD.,33,16
04:21,1,Pass,5,Kevin Glenn pass to Andrew Harris for 5 yards to the BC40. Tackled by Dexter Davis.,33,16
03:54,2,Pass,16,Kevin Glenn pass to Bryan Burnham for 16 yards to the Tor54. Tackled by Shea Emry.,33,16
03:21,1,Pass,9,Kevin Glenn pass to Emmanuel Arceneaux for 9 yards to the Tor45. Tackled by Jermaine Gabriel.,33,16
03:04,2,Rush,1,Andrew Harris rush for 1 yard to the Tor44. Tackled by Gregory Jones.,33,16
02:59,1,Pass,6,Kevin Glenn pass to Shawn Gore for 6 yards to the Tor38. Tackled by Alex Suber.,33,16
02:50,2,Pass,25,Kevin Glenn pass to Emmanuel Arceneaux for 25 yards to the Tor13. Tackled by Branden Smith.,33,16
02:36,1,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Stefan Logan.,33,16
02:33,2,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Emmanuel Arceneaux.,33,16
02:30,3,Pass,12,Kevin Glenn pass to Emmanuel Arceneaux for 12 yards to the Tor1. Tackled by Vincent Agnew.,33,16
02:23,1,Offside,0,Penalty: Offside on Toronto (Aston Whiteside) 0 yards.,33,16
02:11,1,Rush,0,John Beck rush for no gain to the Tor1. Tackled by Delano Johnson.,33,16
01:49,2,Rush,1,John Beck rush for 1 yard for a TOUCHDOWN.,33,22
01:49,0,Made Extra Point,0,Paul McCallum extra point is good.,33,23
01:49,0,Kickoff,9,Paul McCallum kicks off to the BC44.,33,23
01:49,1,Rush,13,Curtis Steele rush for 13 yards to the BC31. Tackled by Torri Williams.,33,23
01:44,1,Rush,5,Curtis Steele rush for 5 yards to the BC26. Tackled by Solomon Elimimian.,33,23
00:53,2,Rush,26,Curtis Steele rush for 26 yards for a TOUCHDOWN.,39,23
00:53,0,Made Extra Point,0,Swayze Waters extra point is good.,40,23
00:53,0,Kickoff,19,Swayze Waters kicks off to the BC8. Stefan Logan return for 19 yards to BC27. Tackled by Curtis Steele.,40,23
00:49,1,Pass,17,John Beck pass to Emmanuel Arceneaux for 17 yards to the BC44. Tackled by Jalil Carter.,40,23
00:41,1,Pass,14,John Beck pass to Marco Iannuzzi for 14 yards to the Tor52. Tackled by Alex Suber.,40,23
00:33,1,Incomplete Pass,0,John Beck incomplete pass intended for Andrew Harris.,40,23
00:17,2,Incomplete Pass,0,John Beck incomplete pass intended for Marco Iannuzzi.,40,23
00:11,3,Incomplete Pass,0,John Beck incomplete pass intended for Bryan Burnham defensed by Matthew Ware.,40,23
