Time,Down,Type,Yards,Details,Winnipeg,Toronto
06:45,1,Offside,-5,Penalty: Offside on Toronto (Robert Gill) -5 yards.,7,7
06:16,0,Intentional Grounding,-9,Penalty: Intentional Grounding on Toronto (Ricky Ray) -9 yards.,7,7
05:52,2,Objectionable Conduct,18,Ricky Ray pass to Robert Gill for 8 yards to the Tor25. Tackled by Demond Washington. Penalty: Objectionable Conduct on Winnipeg (Demond Washington) 10 yards.,7,7
05:25,3,Punt,61,Swayze Waters punts for 53 yards to Wpg22.   return for 61 yards to Tor27. Tackled by Vincent Agnew.,7,7
04:57,1,Rush,6,Nic Grigsby rush for 6 yards to the Tor21. Tackled by Jalil Carter.,7,7
04:15,2,Pass,21,Drew Willy pass to Rory Kohlert for 21 yards for a TOUCHDOWN.,13,7
03:53,0,Made Extra Point,0,Lirim Hajrullahu extra point is good.,14,7
03:53,0,Kickoff,39,Lirim Hajrullahu kicks off to the Tor10. Robert Gill return for 39 yards to Tor49. Tackled by Dan West.,14,7
03:40,1,Pass,15,Ricky Ray pass to Steve Slaton for 15 yards to the Wpg46. Tackled by Don Unamba.,14,7
03:11,1,Rush,3,Steve Slaton rush for 3 yards to the Wpg43. Tackled by Desia Dunn.,14,7
02:36,2,Pass,15,Ricky Ray pass to Terrell Sinkfield for 15 yards to the Wpg28. Tackled by Desia Dunn.,14,7
02:15,1,Pass,2,Ricky Ray pass to Robert Gill for 2 yards to the Wpg26. Tackled by Matt Bucknor.,14,7
01:53,2,Pass,11,Ricky Ray pass to Maurice Mann for 11 yards to the Wpg15. Tackled by Chris Randle.,14,7
01:21,1,Pass,15,Ricky Ray pass to Maurice Mann for 15 yards for a TOUCHDOWN.,14,13
01:21,0,Made Extra Point,0,Swayze Waters extra point is good.,14,14
01:21,0,Kickoff,23,Swayze Waters kicks off to the Wpg2.   return for 23 yards to Wpg25. Tackled by Curtis Steele.,14,14
01:14,1,Sack,-7,Sack at Wpg18 for a loss of 7 yards by Tristan Okpalaugo.,14,14
01:02,2,Time Count,0,Penalty: Time Count on Winnipeg (Drew Willy) 0 yards.,14,14
00:47,3,Punt,0,Lirim Hajrullahu punts for 26 yards to Wpg44. No return.,14,14
00:43,1,Unnecessary Roughness,23,Ricky Ray pass to Mike Bradwell for 8 yards to the Wpg36. Tackled by Desia Dunn. Penalty: Unnecessary Roughness on Winnipeg (Desia Dunn) 15 yards.,14,14
00:35,1,Pass,3,Ricky Ray pass to Mike Bradwell for 3 yards to the Wpg18. Tackled by Desia Dunn.,14,14
00:28,2,Pass,12,Ricky Ray pass to Mike Bradwell for 12 yards to the Wpg6. Tackled by Ian Wild.,14,14
00:03,1,Pass,6,Ricky Ray pass to Zander Robinson for 6 yards for a TOUCHDOWN.,14,20
00:03,0,Made Extra Point,0,Swayze Waters extra point is good.,14,21
00:03,0,Kickoff,28,Swayze Waters kicks off to the Wpg15.   return for 28 yards to Wpg43. Tackled by Gregory Jones.,14,21
15:00,0,Illegal Block,5,Swayze Waters kicks off to the Wpg11.   return for 15 yards to Wpg26. Penalty: Illegal Block on Winnipeg (Dan West) -10 yards.,14,21
14:45,1,Rush,1,Nic Grigsby rush for 1 yard to the Wpg17. Tackled by Shane Horton.,14,21
14:19,2,Pass,7,Drew Willy pass to Rory Kohlert for 7 yards to the Wpg24. Tackled by Nick Rosamonda.,14,21
13:34,3,Punt,9,Lirim Hajrullahu punts for 49 yards to Tor37. Mike Bradwell return for 9 yards to Tor46. Tackled by Ian Wild.,14,21
13:18,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for Robert Gill.,14,21
12:55,2,Time Count,-5,Penalty: Time Count on Toronto (Ricky Ray) -5 yards.,14,21
12:32,2,Sack,-9,Sack at Tor32 for a loss of 9 yards by Jason Vega.,14,21
12:18,3,No Yards,28,Swayze Waters punts for 33 yards to Wpg45. Penalty: No Yards on Toronto (Gregory Jones) -5 yards.,14,21
12:02,1,Pass,6,Drew Willy pass to Paris Cotton for 6 yards to the Tor54. Tackled by Jermaine Gabriel.,14,21
11:29,2,Incomplete Pass,0,Drew Willy incomplete pass intended for Romby Bryant defensed by Jermaine Gabriel.,14,21
11:10,3,Punt,4,Lirim Hajrullahu punts for 45 yards to Tor9. Mike Bradwell return for 4 yards to Tor13. Tackled by Ian Wild.,14,21
10:42,1,Fumble,7,"Steve Slaton rush for 7 yards to the Tor20. FUMBLE, recovered by Wpg (Desia Dunn). Tackled by Chris Van Zeyl.",14,21
10:26,1,Objectionable Conduct,3,Sack at Tor27 for a loss of 7 yards by Cleyon Laing. Penalty: Objectionable Conduct on Toronto (Cleyon Laing) 10 yards.,14,21
09:58,2,Rush,6,Drew Willy rush for 6 yards to the Tor11. Tackled by Shane Horton.,14,21
09:31,3,Rush,3,Robert Marve rush for 3 yards to the Tor8. Tackled by Shea Emry.,14,21
08:28,1,Rush,8,Nic Grigsby rush for 8 yards for a TOUCHDOWN.,20,21
08:06,0,Made Extra Point,0,Lirim Hajrullahu extra point is good.,21,21
08:06,0,Illegal Block,5,Lirim Hajrullahu kicks off to the Tor6. Robert Gill return for 15 yards to Tor21. Penalty: Illegal Block on Toronto (Anthony Woodson) -10 yards.,21,21
07:49,1,Objectionable Conduct,24,Ricky Ray pass to Robert Gill for 14 yards to the Tor25. Tackled by Ian Wild. Penalty: Objectionable Conduct on Winnipeg (Romby Bryant) 10 yards.,21,21
07:34,1,Pass,4,Ricky Ray pass to Steve Slaton for 4 yards to the Tor39. Tackled by Desia Dunn.,21,21
07:01,2,Incomplete Pass,0,Ricky Ray incomplete pass intended for Spencer Watt.,21,21
06:28,3,Unnecessary Roughness,33,Swayze Waters punts for 53 yards to Wpg18. Penalty: No Yards on Toronto (Gregory Jones) -5 yards. Penalty: Unnecessary Roughness on Toronto (Thomas Miles) -15 yards.,21,21
06:08,1,Pass,2,Drew Willy pass to Clarence Denmark for 2 yards to the Wpg40. Tackled by Dwight Anderson.,21,21
05:44,2,Incomplete Pass,0,Drew Willy incomplete pass intended for Aaron Kelly.,21,21
05:15,3,Punt,6,Lirim Hajrullahu punts for 36 yards to Tor34. Mike Bradwell return for 6 yards to Tor40. Tackled by  .,21,21
04:58,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for Steve Slaton.,21,21
04:37,2,Pass,9,Ricky Ray pass to Spencer Watt for 9 yards to the Tor49. Tackled by Matt Bucknor.,21,21
04:07,3,Rush,1,Mitchell Gale rush for 1 yard to the Tor50. Tackled by Maurice Leggett.,21,21
03:45,1,Fumble,12,"Steve Slaton rush for 12 yards to the Wpg48. FUMBLE, recovered by Wpg (Maurice Leggett). Tackled by Terrell Sinkfield.",21,21
02:58,1,Rush,1,Nic Grigsby rush for 1 yard to the Wpg49. Tackled by Shea Emry.,21,21
02:34,0,Illegal Block,-10,Penalty: Illegal Block on Winnipeg (Cordaro Howard) -10 yards.,21,21
01:59,2,Fumble,10,"Drew Willy pass to Romby Bryant for 10 yards to the Wpg49. FUMBLE, recovered by Tor (Cleyon Laing). Tackled by Cordaro Howard.",21,21
01:34,1,Pass,10,Ricky Ray pass to Robert Gill for 10 yards to the Wpg39. Tackled by Jake Thomas.,21,21
01:10,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for Zander Robinson defensed by Teague Sherman.,21,21
00:33,2,Pass,14,Ricky Ray pass to Spencer Watt for 14 yards to the Wpg25. Tackled by Bryant Turner Jr..,21,21
00:02,1,Rush,9,Curtis Steele rush for 9 yards to the Wpg16. Tackled by Teague Sherman.,21,21
15:00,2,Rush,1,Mitchell Gale rush for 1 yard to the Wpg15. Tackled by Teague Sherman.,21,21
14:02,1,Pass,15,Ricky Ray pass to Curtis Steele for 15 yards for a TOUCHDOWN.,21,27
13:43,0,Made Extra Point,0,Swayze Waters extra point is good.,21,28
13:43,0,Kickoff,25,Swayze Waters kicks off to the Wpg9.   return for 25 yards to Wpg34. Tackled by Thomas Miles.,21,28
13:33,0,Illegal Block,-10,Penalty: Illegal Block on Winnipeg (Cordaro Howard) -10 yards.,21,28
13:04,1,Pass,-5,Drew Willy pass to Nic Grigsby for a loss of 5 yards to the Wpg19. Tackled by Tristan Okpalaugo.,21,28
12:22,2,Sack,-12,Sack at Wpg7 for a loss of 12 yards by Aston Whiteside.,21,28
11:44,3,Punt,11,Lirim Hajrullahu punts for 54 yards to Tor49. Mike Bradwell return for 11 yards to Wpg50. Tackled by Don Unamba.,21,28
11:35,1,Rush,19,Curtis Steele rush for 19 yards to the Wpg31. Tackled by Teague Sherman.,21,28
11:04,1,Rush,3,Curtis Steele rush for 3 yards to the Wpg28. Tackled by Zach Anderson.,21,28
10:20,0,Pass Interference,14,Penalty: Pass Interference on Winnipeg (Matt Bucknor) 14 yards.,21,28
09:46,1,Rush,3,Curtis Steele rush for 3 yards to the Wpg11. Tackled by Ian Wild.,21,28
09:14,2,Incomplete Pass,0,Ricky Ray incomplete pass intended for Mike Bradwell.,21,28
08:19,3,Missed Field Goal,18,Swayze Waters 18 yard field goal attempt is GOOD.,21,31
08:19,1,Incomplete Pass,0,Drew Willy incomplete pass intended for Clarence Denmark.,21,31
08:09,2,Objectionable Conduct,-2,Drew Willy pass to Romby Bryant for 8 yards to the Wpg43. Tackled by Jalil Carter. Penalty: Objectionable Conduct on Winnipeg (Romby Bryant) -10 yards.,21,31
07:40,3,Punt,2,Lirim Hajrullahu punts for 45 yards to Tor32. Mike Bradwell return for 2 yards to Tor34. Tackled by Jesse Briggs.,21,31
07:26,0,Holding,-10,Penalty: Holding on Toronto (Terrell Sinkfield) -10 yards.,21,31
07:10,1,Pass,3,Ricky Ray pass to Robert Gill for 3 yards to the Tor27. Tackled by Maurice Leggett.,21,31
06:37,2,Pass,18,Ricky Ray pass to Mike Bradwell for 18 yards to the Tor45. Tackled by Maurice Leggett.,21,31
06:05,1,Rush,18,Curtis Steele rush for 18 yards to the Wpg47. Tackled by Demond Washington.,21,31
05:35,1,Rush,7,Curtis Steele rush for 7 yards to the Wpg40. Tackled by Matt Bucknor.,21,31
04:53,2,Rush,7,Curtis Steele rush for 7 yards to the Wpg33. Tackled by Chris Randle.,21,31
04:09,1,Rush,0,Curtis Steele rush for no gain to the Wpg33. Tackled by Maurice Leggett.,21,31
03:25,2,Pass,33,Ricky Ray pass to Spencer Watt for 33 yards for a TOUCHDOWN.,21,37
03:04,0,Made Extra Point,0,Swayze Waters extra point is good.,21,38
03:04,0,Kickoff,37,Swayze Waters kicks off to the Wpg11.   return for 37 yards to Wpg48. Tackled by Darvin Adams.,21,38
02:54,1,Pass,6,Drew Willy pass to Clarence Denmark for 6 yards to the Wpg54. Tackled by Jalil Carter.,21,38
02:42,2,Sack,-9,Sack at Wpg45 for a loss of 9 yards by Dwight Anderson.,21,38
02:31,3,Pass,14,Drew Willy pass to Romby Bryant for 14 yards to the Tor51. Tackled by Shea Emry.,21,38
02:16,1,Pass,8,Drew Willy pass to Clarence Denmark for 8 yards to the Tor43. Tackled by Shea Emry.,21,38
02:10,2,Incomplete Pass,0,Drew Willy incomplete pass intended for Clarence Denmark.,21,38
02:06,3,Pass,8,Drew Willy pass to Romby Bryant for 8 yards to the Tor35. Tackled by Jalil Carter.,21,38
02:00,1,Sack,-6,Sack at Tor41 for a loss of 6 yards by Dwight Anderson.,21,38
01:47,2,Rush,7,Drew Willy rush for 7 yards to the Tor34. Tackled by Jermaine Gabriel.,21,38
01:32,3,Incomplete Pass,0,Drew Willy incomplete pass intended for Cory Watson.,21,38
01:19,1,Rush,5,Anthony Woodson rush for 5 yards to the Tor39. Tackled by Ian Wild.,21,38
01:13,2,Rush,1,Anthony Woodson rush for 1 yard to the Tor40. Tackled by Teague Sherman.,21,38
00:49,3,Punt,0,Swayze Waters punts for 38 yards to Wpg32. No return.,21,38
00:41,1,Pass,5,Drew Willy pass to Cory Watson for 5 yards to the Wpg37. Tackled by Branden Smith.,21,38
00:34,2,Pass,5,Drew Willy pass to Clarence Denmark for 5 yards to the Wpg42. Tackled by Dwight Anderson.,21,38
00:23,3,Offside,5,Penalty: Offside on Toronto (Tristan Okpalaugo) 5 yards.,21,38
00:18,1,Incomplete Pass,0,Drew Willy incomplete pass intended for Aaron Kelly defensed by Shane Horton.,21,38
00:12,2,Pass,48,Drew Willy pass to Clarence Denmark for 48 yards to the Tor15. Tackled by Dwight Anderson.,21,38
00:03,1,Incomplete Pass,0,Drew Willy incomplete pass intended for Aaron Kelly.,21,38
