Time,Down,Type,Yards,Details,Ottawa,Toronto
05:21,2,Face Mask,-15,Trevor Harris incomplete pass intended for John Chiles. Penalty: Face Mask on Toronto (Chris Van Zeyl) -15 yards.,5,23
04:59,3,Punt,12,Swayze Waters punts for 54 yards to Ott7. Jamill Smith return for 12 yards to Ott19. Tackled by Isaiah Green.,5,23
04:32,1,Pass,77,Danny O'Brien pass to Khalil Paden for 77 yards to the Tor14. Tackled by Branden Smith.,5,23
04:11,1,Incomplete Pass,0,Danny O'Brien incomplete pass intended for Matt Carter defensed by Branden Smith.,5,23
03:51,2,Pass,7,Danny O'Brien pass to Roy Finch for 7 yards to the Tor7. Tackled by Tristan Okpalaugo.,5,23
03:09,3,Incomplete Pass,0,Danny O'Brien incomplete pass intended for Khalil Paden.,5,23
03:08,1,Rush,3,Anthony Woodson rush for 3 yards to the Tor10. Tackled by Damaso Munoz.,5,23
02:46,2,Rush,1,Anthony Woodson rush for 1 yard to the Tor11. Tackled by Moton Hopkins.,5,23
02:26,3,Punt,-9,Swayze Waters punts for 43 yards to Tor54. Jamill Smith return for a loss of 9 yards to Ott47. Tackled by Nick Rosamonda.,5,23
02:12,1,Incomplete Pass,0,Danny O'Brien incomplete pass intended for Wallace Miles.,5,23
02:06,2,Pass,5,Danny O'Brien pass to Patrick Lavoie for 5 yards to the Ott52. Tackled by Shea Emry.,5,23
02:01,3,Incomplete Pass,0,Danny O'Brien incomplete pass intended for Wallace Miles.,5,23
01:39,1,Incomplete Pass,0,Trevor Harris incomplete pass intended for Chad Owens defensed by Abdul Kanneh.,5,23
01:34,2,Rush,1,Anthony Woodson rush for 1 yard to the Ott51. Tackled by Damaso Munoz.,5,23
01:28,3,Punt,10,Swayze Waters punts for 54 yards to Ott0. Jamill Smith return for 10 yards to Ott7. Tackled by Shane Herbert.,5,23
00:59,1,Incomplete Pass,0,Danny O'Brien incomplete pass intended for Wallace Miles.,5,23
00:53,2,Pass,10,Danny O'Brien pass to Wallace Miles for 10 yards to the Ott17. Tackled by Isaiah Green.,5,23
00:47,1,Roughing Passer,27,Danny O'Brien pass to Khalil Paden for 12 yards to the Ott29. Tackled by James Yurichuk. Penalty: Roughing Passer on Toronto (Ivan Brown) 15 yards.,5,23
00:31,1,Incomplete Pass,0,Danny O'Brien incomplete pass intended for Patrick Lavoie.,5,23
00:26,2,Pass,9,Danny O'Brien pass to Patrick Lavoie for 9 yards to the Ott53. Tackled by James Yurichuk.,5,23
00:20,3,Rush,2,Danny O'Brien rush for 2 yards to the Ott55. Tackled by Logan Harrell.,5,23
