Time,Down,Type,Yards,Details,Calgary,Ottawa
04:12,0,Kickoff,38,Rene Paredes kicks off to the Ott4. Jamill Smith return for 38 yards to Ott42. Tackled by Karl McCartney.,25,7
04:04,1,Pass,4,Thomas DeMarco pass to Dobson Collins for 4 yards to the Ott46. Tackled by Deron Mayo.,25,7
03:43,2,Incomplete Pass,0,Thomas DeMarco incomplete pass intended for Khalil Paden.,25,7
03:15,3,Incomplete Pass,0,Thomas DeMarco incomplete pass intended for Marcus Henry defensed by Deron Mayo.,25,7
03:01,1,Pass,11,Drew Tate pass to Hugh Charles for 11 yards to the Ott35. Tackled by Travis Brown.,25,7
02:36,1,Unnecessary Roughness,20,Hugh Charles rush for 5 yards to the Ott30. Tackled by Jasper Simmons. Penalty: Unnecessary Roughness on Ottawa (Brandon Lang) 15 yards.,25,7
02:10,1,Rush,15,Hugh Charles rush for 15 yards for a TOUCHDOWN.,31,7
02:10,0,Made Extra Point,0,Rene Paredes extra point is good.,32,7
02:10,0,Kickoff,23,Rene Paredes kicks off to the Ott12. Jamill Smith return for 23 yards to Ott35. Tackled by Karl McCartney.,32,7
02:03,1,Incomplete Pass,0,Thomas DeMarco incomplete pass intended for Marcus Henry.,32,7
01:57,2,Pass,10,Thomas DeMarco pass to Dobson Collins for 10 yards to the Ott45. Tackled by Buddy Jackson.,32,7
01:51,3,Rush,1,Thomas DeMarco rush for 1 yard to the Ott46. Tackled by Junior Turner.,32,7
01:47,1,Pass,5,Thomas DeMarco pass to Jamill Smith for 5 yards to the Ott51. Tackled by Buddy Jackson.,32,7
01:32,2,Incomplete Pass,0,Thomas DeMarco incomplete pass intended for Dobson Collins.,32,7
01:16,0,Pass Interference,50,Penalty: Pass Interference on Calgary (Buddy Jackson) 15 yards. Penalty: Pass Interference on Calgary 20 yards. Penalty: Pass Interference on Calgary (Buddy Jackson) 15 yards.,32,7
01:11,0,Roughing Passer,15,Penalty: Roughing Passer on Calgary (Junior Turner) 15 yards.,32,7
01:06,1,Sack,-16,Sack at Cgy45 for a loss of 16 yards by Charleston Hughes.,32,7
01:01,2,Incomplete Pass,0,Danny O'Brien incomplete pass intended for Jamill Smith.,32,7
00:41,3,Punt,4,Brett Maher punts for 41 yards to Cgy4. Sederrik Cunningham return for 4 yards to Cgy8. Tackled by  .,32,7
