Time,Down,Type,Yards,Details,Winnipeg,Ottawa
00:35,1,Pass,6,Henry Burris pass to Matt Carter for 6 yards to the Wpg43. Tackled by Don Unamba.,20,39
00:01,2,Pass,11,Henry Burris pass to Marcus Henry for 11 yards to the Wpg32. Tackled by Johnny Sears Jr..,20,39
15:00,1,Pass,8,Henry Burris pass to Patrick Lavoie for 8 yards to the Wpg24. Tackled by Johnny Sears Jr..,20,39
14:19,2,Rush,0,Jonathan Williams rush for no gain to the Wpg24. Tackled by Teague Sherman.,20,39
13:18,3,Missed Field Goal,31,Brett Maher 31 yard field goal attempt is GOOD.,20,42
13:18,1,Sack,0,Sack at Wpg35 for no gain by Justin Capicciotti.,20,42
12:49,2,Illegal Procedure,-5,Penalty: Illegal Procedure on Winnipeg (Devin Tyler) -5 yards.,20,42
12:39,2,Pass,14,Drew Willy pass to Brett Carter for 14 yards to the Wpg44. Tackled by Brandyn Thompson.,20,42
12:09,3,Rush,1,Drew Willy rush for 1 yard to the Wpg45. Tackled by Travis Brown.,20,42
11:31,1,Pass,8,Drew Willy pass to Nic Grigsby for 8 yards to the Wpg53. Tackled by Travis Brown.,20,42
11:02,2,Rush,1,Nic Grigsby rush for 1 yard to the Wpg54. Tackled by Jasper Simmons.,20,42
10:37,3,Illegal Procedure,-5,Penalty: Illegal Procedure on Winnipeg (Jarvis Jones) -5 yards.,20,42
10:31,3,Punt,0,Lirim Hajrullahu punts for 41 yards to Ott20. No return.,20,42
10:23,1,Fumble,0,"Henry Burris pass to Patrick Lavoie for no gain to the Ott20. FUMBLE, recovered by Wpg (Chris Randle). Tackled by Dobson Collins.",20,42
09:59,1,Rush,3,Nic Grigsby rush for 3 yards to the Ott17. Tackled by Jerrell Gavins.,20,42
09:20,2,Sack,-8,Sack at Ott25 for a loss of 8 yards by Zack Evans.,20,42
08:33,3,Sack,-1,Sack at Ott26 for a loss of 1 yard by Andrew Marshall.,20,42
08:08,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Dobson Collins.,20,42
07:41,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Dobson Collins.,20,42
07:14,3,Punt,9,Brett Maher punts for 54 yards to Wpg30. Johnny Sears Jr. return for 9 yards to Wpg39. Tackled by Damaso Munoz.,20,42
06:58,1,Pass,9,Drew Willy pass to Clarence Denmark for 9 yards to the Wpg48. Tackled by Travis Brown.,20,42
06:22,2,Rush,9,Nic Grigsby rush for 9 yards to the Ott53. Tackled by Antoine Pruneau.,20,42
06:00,1,Rush,10,Drew Willy rush for 10 yards to the Ott43. Tackled by Abdul Kanneh.,20,42
05:37,2,Rush,1,Drew Willy rush for 1 yard to the Ott42. Tackled by Travis Brown.,20,42
05:12,1,Pass,8,Drew Willy pass to Clarence Denmark for 8 yards to the Ott34. Tackled by Antoine Pruneau.,20,42
04:42,0,Illegal Contact,10,Penalty: Illegal Contact on Ottawa (Jerrell Gavins) 10 yards.,20,42
04:24,1,Unnecessary Roughness,50,Drew Willy pass intended for Rory Kohlert INTERCEPTED and returned for 65 yards. Tackled by Romby Bryant. Penalty: Unnecessary Roughness on Ottawa (Jasper Simmons) -15 yards.,20,42
04:08,1,Rush,7,Jonathan Williams rush for 7 yards to the Wpg33. Tackled by Jesse Briggs.,20,42
03:33,2,Rush,0,Jonathan Williams rush for no gain to the Wpg33. Tackled by Bryant Turner Jr..,20,42
03:10,3,Incomplete Pass,0,Henry Burris incomplete pass intended for Marcus Henry defensed by Johnny Sears Jr..,20,42
03:06,1,Incomplete Pass,0,Drew Willy incomplete pass intended for Aaron Kelly.,20,42
02:40,2,Pass,32,Drew Willy pass to Rory Kohlert for 32 yards to the Ott45. Tackled by Brandyn Thompson.,20,42
02:19,1,Sack,-5,Sack at Ott50 for a loss of 5 yards by Moton Hopkins.,20,42
02:06,2,Interception,11,Drew Willy pass intended for Aaron Kelly INTERCEPTED and returned for 11 yards. Tackled by Brett Carter.,20,42
01:51,1,Rush,7,Jonathan Williams rush for 7 yards to the Ott53. Tackled by Maurice Leggett.,20,42
01:33,2,Rush,4,Jonathan Williams rush for 4 yards to the Wpg53. Tackled by Teague Sherman.,20,42
01:21,1,Rush,7,Jonathan Williams rush for 7 yards to the Wpg46. Tackled by Don Unamba.,20,42
01:00,2,Rush,5,Jonathan Williams rush for 5 yards to the Wpg41. Tackled by Johnny Sears Jr..,20,42
