Time,Down,Type,Yards,Details,Saskatchewan,Ottawa
13:27,2,Pass,37,Darian Durant pass to Brett Swain for 37 yards to the Ssk55. Tackled by T.J. Hill.,32,7
12:40,1,Rush,0,Will Ford rush for no gain to the Ssk55. Tackled by Travis Brown.,32,7
12:20,2,Incomplete Pass,0,Darian Durant incomplete pass intended for Chaz Schilens.,32,7
11:46,3,Punt,0,Josh Bartel punts for 29 yards to Ott26. No return.,32,7
11:35,1,Pass,3,Henry Burris pass to Dobson Collins for 3 yards to the Ott29. Tackled by Tristan Jackson.,32,7
11:06,2,Illegal Procedure,-5,Penalty: Illegal Procedure on Ottawa (Jeraill McCuller) -5 yards.,32,7
10:50,2,Rush,10,Henry Burris rush for 10 yards to the Ott34. Tackled by Brian Peters.,32,7
10:15,3,Punt,3,Brett Maher punts for 46 yards to Ssk30. Tristan Jackson return for 3 yards to Ssk33. Tackled by Jason Pottinger.,32,7
09:56,1,Rush,23,Will Ford rush for 23 yards to the Ott54. Tackled by T.J. Hill.,32,7
09:21,1,Rush,3,Will Ford rush for 3 yards to the Ott51. Tackled by Jasper Simmons.,32,7
08:50,0,Pass Interference,35,Penalty: Pass Interference on Ottawa (T.J. Hill) 35 yards.,32,7
08:29,1,Rush,4,Will Ford rush for 4 yards to the Ott12. Tackled by Brandon Lang.,32,7
07:58,2,Time Count,-5,Penalty: Time Count on Saskatchewan (Darian Durant) -5 yards.,32,7
07:33,2,Incomplete Pass,0,Darian Durant incomplete pass intended for Brett Swain.,32,7
07:22,0,Illegal Block,-10,Penalty: Illegal Block on Saskatchewan (Chris Best) -10 yards.,32,7
06:36,3,Missed Field Goal,34,Chris Milo 34 yard field goal attempt is GOOD.,35,7
06:36,1,Pass,14,Henry Burris pass to Patrick Lavoie for 14 yards to the Ott49. Tackled by Brian Peters.,35,7
05:58,1,Rush,-1,Chevon Walker rush for a loss of 1 yard to the Ott48. Tackled by Weldon Brown.,35,7
05:18,2,Sack,-3,Sack at Ott45 for a loss of 3 yards by David Lee.,35,7
04:44,3,Punt,11,Brett Maher punts for 52 yards to Ssk13. Tristan Jackson return for 11 yards to Ssk24. Tackled by Jason Pottinger.,35,7
04:28,1,Pass,2,Darian Durant pass to Taj Smith for 2 yards to the Ssk26. Tackled by Reggie Jones.,35,7
03:56,2,Pass,6,Darian Durant pass to Brett Swain for 6 yards to the Ssk32. Tackled by Seth Williams.,35,7
03:36,3,Punt,0,Josh Bartel punts for 43 yards to Ott35. Tim Maypray return for no gain to Ott35. Tackled by Mark LeGree.,35,7
03:15,1,Pass,5,Henry Burris pass to Chevon Walker for 5 yards to the Ott40. Tackled by Brian Peters.,35,7
02:42,2,Pass,14,Henry Burris pass to Marcus Henry for 14 yards to the Ott54. Tackled by Tristan Jackson.,35,7
02:08,1,Rush,4,Chevon Walker rush for 4 yards to the Ssk52. Tackled by Derek Walker.,35,7
01:35,2,Rush,1,D.J. Harper rush for 1 yard to the Ssk51. Tackled by Trevor Guyton.,35,7
00:54,3,Rush,11,Henry Burris rush for 11 yards to the Ssk40. Tackled by Macho Harris.,35,7
00:20,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Jamill Smith defensed by Tristan Jackson.,35,7
15:00,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Marcus Henry.,35,7
14:47,3,Unnecessary Roughness,36,45 yard field goal attempt by Brett Maher is NO GOOD.  Missed field goal returned by Tristan Jackson to the Ssk16. Tackled by Jeraill McCuller. Penalty: Unnecessary Roughness on Ottawa (Jeraill McCuller) 15 yards.,35,7
14:21,1,Rush,9,Jerome Messam rush for 9 yards to the Ssk40. Tackled by Antoine Pruneau.,35,7
13:54,2,Rush,1,Jerome Messam rush for 1 yard to the Ssk41. Tackled by Justin Capicciotti.,35,7
13:12,3,Punt,7,Josh Bartel punts for 38 yards to Ott31. Tim Maypray return for 7 yards to Ott38. Tackled by Samuel Hurl.,35,7
12:55,0,Illegal Participation,-10,Penalty: Illegal Participation on Ottawa (Matt Carter) -10 yards.,35,7
12:35,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Wallace Miles defensed by Tristan Jackson.,35,7
12:13,2,Illegal Procedure,-5,Penalty: Illegal Procedure on Ottawa (J'Micheal Deane) -5 yards.,35,7
11:51,2,Pass,53,Henry Burris pass to Dobson Collins for 53 yards to the Ssk34. Tackled by Macho Harris.,35,7
11:20,1,Pass,4,Henry Burris pass to Wallace Miles for 4 yards to the Ssk30. Tackled by Derek Walker.,35,7
10:41,2,Sack,-5,Sack at Ssk35 for a loss of 5 yards by Ricky Foley.,35,7
09:37,3,Illegal Procedure,-5,Penalty: Illegal Procedure on Ottawa (Matthew Albright) -5 yards.,35,7
09:35,3,Incomplete Pass,0,Henry Burris incomplete pass intended for Wallace Miles.,35,7
09:14,1,Pass,42,Darian Durant pass to Rob Bagg for 42 yards to the Ott28.,35,7
09:00,1,Rush,4,Jerome Messam rush for 4 yards to the Ott24. Tackled by Brandon Lang.,35,7
08:30,2,Sack,-11,Sack at Ott35 for a loss of 11 yards by Justin Capicciotti.,35,7
07:49,3,Missed Field Goal,42,Chris Milo 42 yard field goal attempt is GOOD.,38,7
07:49,1,Pass,15,Thomas DeMarco pass to Matt Carter for 15 yards to the Ott50. Tackled by Tristan Jackson.,38,7
07:33,1,Pass,15,Thomas DeMarco pass to Marcus Henry for 15 yards to the Ssk45. Tackled by Weldon Brown.,38,7
06:58,1,Pass,40,Thomas DeMarco pass to Jamill Smith for 40 yards to the Ssk5. Tackled by Terrell Maze.,38,7
06:06,1,Pass,5,Thomas DeMarco pass to Jamill Smith for 5 yards for a TOUCHDOWN.,38,13
05:44,0,Made Extra Point,0,Brett Maher extra point is good.,38,14
05:44,0,Kickoff OOB,30,Brett Maher kicks off to the Ssk29. Penalty: Kickoff OOB on Ottawa (Brett Maher) -16 yards.,38,14
05:44,1,Rush,-2,Will Ford rush for a loss of 2 yards to the Ssk43. Tackled by Brandon Lang.,38,14
05:06,0,Holding,-10,Penalty: Holding on Saskatchewan (Chris Best) -10 yards.,38,14
04:42,2,Rush,3,Will Ford rush for 3 yards to the Ssk36. Tackled by Jerrell Gavins.,38,14
04:13,3,No Yards,37,Josh Bartel punts for 42 yards to Ott32. Penalty: No Yards on Saskatchewan -5 yards.,38,14
03:43,1,Pass,9,Thomas DeMarco pass to Jamill Smith for 9 yards to the Ott46. Tackled by Brian Peters.,38,14
03:15,2,Rush,-2,Chevon Walker rush for a loss of 2 yards to the Ott44. Tackled by John Chick.,38,14
02:59,3,Punt,1,Brett Maher punts for 54 yards to Ssk12. Tristan Jackson return for 1 yard to Ssk13. Tackled by James Green.,38,14
02:47,1,Rush,4,Will Ford rush for 4 yards to the Ssk17. Tackled by Brandon Lang.,38,14
02:42,2,Rush,8,Will Ford rush for 8 yards to the Ssk25. Tackled by Jasper Simmons.,38,14
02:17,1,Rush,-1,Will Ford rush for a loss of 1 yard to the Ssk24. Tackled by Justin Capicciotti.,38,14
01:52,2,Incomplete Pass,0,Tino Sunseri incomplete pass intended for Taj Smith.,38,14
01:26,3,Illegal Block,55,Josh Bartel punts for 45 yards to Ott41. Penalty: Illegal Block on Ottawa (Jordan Verdone) 10 yards.,38,14
01:13,1,Incomplete Pass,0,Thomas DeMarco incomplete pass intended for Wallace Miles.,38,14
01:09,2,Sack,-3,Sack at Ott27 for a loss of 3 yards by David Lee.,38,14
01:04,3,Punt,4,Brett Maher punts for 49 yards to Ssk34. Tristan Jackson return for 4 yards to Ssk38. Tackled by Antoine Pruneau.,38,14
00:43,1,Rush,4,Will Ford rush for 4 yards to the Ssk42. Tackled by Jasper Simmons.,38,14
00:26,2,Rush,2,Will Ford rush for 2 yards to the Ssk44. Tackled by Brandon Lang.,38,14
