Time,Down,Type,Yards,Details,Ottawa,Hamilton
07:22,2,Pass,6,Henry Burris pass to Marcus Henry for 6 yards to the Ham38. Tackled by Simoni Lawrence.,3,7
06:40,1,Sack,-5,Sack at Ham43 for a loss of 5 yards by Taylor Reed.,3,7
05:48,2,Pass,12,Henry Burris pass to Matt Carter for 12 yards to the Ham31. Tackled by Erik Harris.,3,7
05:09,3,Missed Field Goal,31,31 yard field goal attempt by Brett Maher is NO GOOD.,3,7
04:55,1,Rush,14,Delone Carter rush for 14 yards to the Ham39. Tackled by Jovon Johnson.,3,7
04:41,1,Rush,1,Delone Carter rush for 1 yard to the Ham40. Tackled by Antoine Pruneau.,3,7
04:00,2,Sack,-5,Sack at Ham35 for a loss of 5 yards by Kalonji Kashama.,3,7
03:15,3,Punt,10,Justin Medlock punts for 35 yards to Ott40. Roy Finch return for 10 yards to Ott50. Tackled by Arnaud Gascon-Nadon.,3,7
02:52,0,Holding,-10,Penalty: Holding on Ottawa (Jon Gott) -10 yards.,3,7
02:37,0,Pass Interference,49,Penalty: Pass Interference on Hamilton (Courtney Stephen) 49 yards.,3,7
02:04,1,Rush,1,Jeremiah Johnson rush for 1 yard to the Ham20. Tackled by Craig Butler.,3,7
01:30,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Wallace Miles.,3,7
00:50,3,Missed Field Goal,28,Brett Maher 28 yard field goal attempt is GOOD.,6,7
00:50,1,Rush,3,Sam Ojuri rush for 3 yards to the Ham38. Tackled by Antoine Pruneau.,6,7
00:17,2,Pass,20,Zach Collaros pass to Brandon Banks for 20 yards to the Ott52. Tackled by Jerrell Gavins.,6,7
00:01,1,Rush,43,Terrell Sinkfield rush for 43 yards to the Ott9. Tackled by Jasper Simmons.,6,7
15:00,1,Rush,2,Delone Carter rush for 2 yards to the Ott7. Tackled by Jerrell Gavins.,6,7
14:00,2,Pass,7,Zach Collaros pass to Bakari Grant for 7 yards for a TOUCHDOWN.,6,13
13:43,0,Made Extra Point,0,Justin Medlock extra point is good.,6,14
13:41,0,Kick Off Single,94,Justin Medlock kicks off to the Ott0 (Single).,6,15
13:41,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Matt Carter.,6,15
13:23,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Carlton Mitchell.,6,15
12:55,3,Punt,2,Brett Maher punts for 42 yards to Ham33. Brandon Banks return for 2 yards to Ham35. Tackled by Eric Fraser.,6,15
12:35,1,Rush,15,Zach Collaros rush for 15 yards to the Ham50. Tackled by Damaso Munoz.,6,15
11:59,1,Pass,7,Zach Collaros pass to Luke Tasker for 7 yards to the Ott53. Tackled by Antoine Pruneau.,6,15
11:21,2,Incomplete Pass,0,Zach Collaros incomplete pass intended for Luke Tasker.,6,15
11:02,3,Punt,9,Justin Medlock punts for 41 yards to Ott12. Jovon Johnson return for 9 yards to Ott21. Tackled by  .,6,15
10:34,1,Rush,3,Jeremiah Johnson rush for 3 yards to the Ott24. Tackled by Ted Laurent.,6,15
10:07,2,Illegal Procedure,-5,Penalty: Illegal Procedure on Ottawa (Jeraill McCuller) -5 yards.,6,15
09:51,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Carlton Mitchell.,6,15
09:41,3,Punt,3,Brett Maher punts for 43 yards to Ham48. Luke Tasker return for 3 yards to Ham51. Tackled by Jason Pottinger.,6,15
09:29,1,Incomplete Pass,0,Zach Collaros incomplete pass intended for Luke Tasker.,6,15
09:10,2,Pass,4,Zach Collaros pass to Bakari Grant for 4 yards to the Ham55. Tackled by Jerrell Gavins.,6,15
08:10,3,Punt Single,0,Justin Medlock punts for 75 yards to Ott0. No return (Single).,6,16
08:10,1,Pass,16,Henry Burris pass to Marcus Henry for 16 yards to the Ott51. Tackled by Rico Murray.,6,16
07:40,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Marcus Henry defensed by Erik Harris.,6,16
07:11,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Marcus Henry.,6,16
07:00,3,No Yards,11,Brett Maher punts for 26 yards to Ham33. Penalty: No Yards on Ottawa (Jason Pottinger) -15 yards.,6,16
06:42,1,Pass,6,Zach Collaros pass to Samuel Giguere for 6 yards to the Ham54. Tackled by Brandyn Thompson.,6,16
06:22,2,Rush,27,Terrell Sinkfield rush for 27 yards to the Ott29. Tackled by Brandyn Thompson.,6,16
05:15,1,Incomplete Pass,0,Zach Collaros incomplete pass intended for Bakari Grant.,6,16
04:56,2,Incomplete Pass,0,Zach Collaros incomplete pass intended for Samuel Giguere.,6,16
04:34,3,Missed Field Goal,29,29 yard field goal attempt by Justin Medlock is NO GOOD.,6,16
04:10,1,Pass,8,Henry Burris pass to Roy Finch for 8 yards to the Ott33. Tackled by Taylor Reed.,6,16
03:30,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Carlton Mitchell.,6,16
03:05,3,Illegal Block,13,Brett Maher punts for 35 yards to Ham42. Brandon Banks return for 3 yards to Ham45. Penalty: Illegal Block on Ottawa (Eric Fraser) 10 yards.,6,16
02:48,1,Rush,3,Delone Carter rush for 3 yards to the Ott52. Tackled by Kalonji Kashama.,6,16
02:23,2,Rush,10,Delone Carter rush for 10 yards to the Ott42. Tackled by Damaso Munoz.,6,16
01:54,1,Rush,6,Delone Carter rush for 6 yards to the Ott36. Tackled by Jerrell Gavins.,6,16
01:32,2,Rush,6,Delone Carter rush for 6 yards to the Ott30. Tackled by Damaso Munoz.,6,16
01:02,1,Rush,5,Delone Carter rush for 5 yards to the Ott25. Tackled by Jasper Simmons.,6,16
00:43,2,Rush,4,Sam Ojuri rush for 4 yards to the Ott21. Tackled by Jasper Simmons.,6,16
00:01,3,Rush,1,Zach Collaros rush for 1 yard to the Ott20. Tackled by Keith Shologan.,6,16
