Time,Down,Type,Yards,Details,Ottawa,Calgary
08:33,1,Rush,1,D.J. Harper rush for 1 yard to the Ott52. Tackled by Charleston Hughes.,7,31
07:52,2,Pass,13,Henry Burris pass to Marcus Henry for 13 yards to the Cgy45. Tackled by Deron Mayo.,7,31
07:12,1,Pass,7,Henry Burris pass to Marcus Henry for 7 yards to the Cgy38. Tackled by Josh Bell.,7,31
06:33,2,Rush,6,Henry Burris rush for 6 yards to the Cgy32. Tackled by Deron Mayo.,7,31
05:53,1,Illegal Procedure,-5,Penalty: Illegal Procedure on Ottawa -5 yards.,7,31
05:28,1,Offside,5,Penalty: Offside on Calgary (Adam Thibault) 5 yards.,7,31
04:42,1,Pass,32,Henry Burris pass to Wallace Miles for 32 yards for a TOUCHDOWN.,13,31
04:29,0,Made Extra Point,0,Brett Maher extra point is good.,14,31
04:29,0,Holding,4,Brett Maher kicks off to the Cgy11. Anthony Parker return for 14 yards to Cgy25. Tackled by Travis Brown. Penalty: Holding on Calgary (Yannick Carter) -10 yards.,14,31
04:21,0,Pass Interference,41,Penalty: Pass Interference on Ottawa (Jermaine Robinson) 41 yards.,14,31
03:52,1,Pass,16,Bo Levi Mitchell pass to Jeff Fuller for 16 yards to the Ott38. Tackled by Reggie Jones.,14,31
03:01,1,Rush,4,Anthony Parker rush for 4 yards to the Ott34. Tackled by Antoine Pruneau.,14,31
02:21,2,Sack,-5,Sack at Ott39 for a loss of 5 yards by Justin Capicciotti.,14,31
01:42,3,Illegal Procedure,-5,Penalty: Illegal Procedure on Calgary (Stanley Bryant) -5 yards.,14,31
01:12,3,Punt Single,0,Rob Maver punts for 53 yards to Ott0. No return (Single).,14,32
01:12,1,Pass,12,Henry Burris pass to Marcus Henry for 12 yards to the Ott47. Tackled by Buddy Jackson.,14,32
00:52,1,Pass,32,Henry Burris pass to Wallace Miles for 32 yards to the Cgy31. Tackled by Brandon Smith.,14,32
00:06,1,Rush,-3,Chevon Walker rush for a loss of 3 yards to the Cgy34. Tackled by  .,14,32
15:00,2,Pass,10,Henry Burris pass to Chevon Walker for 10 yards to the Cgy24. Tackled by Fred Bennett.,14,32
14:03,3,Missed Field Goal,32,Brett Maher 32 yard field goal attempt is GOOD.,17,32
14:03,1,Rush,5,Bo Levi Mitchell rush for 5 yards to the Cgy40. Tackled by Zack Evans.,17,32
13:30,2,Pass,8,Bo Levi Mitchell pass to Jock Sanders for 8 yards to the Cgy48. Tackled by Jasper Simmons.,17,32
12:40,1,Pass,2,Bo Levi Mitchell pass to Anthony Parker for 2 yards to the Cgy50. Tackled by Jermaine Robinson.,17,32
12:10,2,Pass,18,Bo Levi Mitchell pass to Marquay McDaniel for 18 yards to the Ott42. Tackled by Antoine Pruneau.,17,32
11:29,1,Rush,3,Jock Sanders rush for 3 yards to the Ott39. Tackled by Jerrell Gavins.,17,32
10:52,2,Pass,6,Bo Levi Mitchell pass to Jock Sanders for 6 yards to the Ott33. Tackled by Jeremiah Green.,17,32
09:35,3,Missed Field Goal,40,Rene Paredes 40 yard field goal attempt is GOOD.,17,35
09:35,1,Sack,-1,Sack at Ott34 for a loss of 1 yard by Charleston Hughes.,17,35
