Time,Down,Type,Yards,Details,Hamilton,Ottawa
01:50,1,Delay of Game,33,"Zach Collaros pass to Terrell Sinkfield for 19 yards to the Ott19. FUMBLE, recovered by Ott ( ) and returned for 4 yards. Tackled by Brian Simmons. Penalty: Delay of Game on Hamilton 10 yards.",24,22
01:20,1,Rush,2,Jeremiah Johnson rush for 2 yards to the Ott35. Tackled by Simoni Lawrence.,24,22
00:50,2,Unnecessary Roughness,-21,Sack at Ott29 for a loss of 6 yards by Erik Harris. Penalty: Unnecessary Roughness on Ottawa (Colin Kelly) -15 yards.,24,22
00:16,3,Punt,1,Brett Maher punts for 41 yards to Ott55. Brandon Banks return for 1 yard to Ott54. Tackled by Jordan Verdone.,24,22
15:00,1,Rush,5,Mossis Madu rush for 5 yards to the Ott49. Tackled by David Hinds.,24,22
14:44,2,Pass,6,Zach Collaros pass to Luke Tasker for 6 yards to the Ott43. Tackled by Jermaine Robinson.,24,22
13:55,1,Pass,17,Zach Collaros pass to Terrell Sinkfield for 17 yards to the Ott26. Tackled by Antoine Pruneau.,24,22
13:15,1,Offside,5,Penalty: Offside on Ottawa (Justin Capicciotti) 5 yards.,24,22
12:37,1,Incomplete Pass,0,Zach Collaros incomplete pass intended for Luke Tasker.,24,22
12:15,2,Incomplete Pass,0,Zach Collaros incomplete pass intended for Terrell Sinkfield.,24,22
11:29,3,Missed Field Goal,28,Justin Medlock 28 yard field goal attempt is GOOD.,27,22
11:29,1,Pass,11,Henry Burris pass to Dobson Collins for 11 yards to the Ott46. Tackled by Brandon Stewart.,27,22
11:16,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Wallace Miles.,27,22
10:56,2,Pass,19,Henry Burris pass to Wallace Miles for 19 yards to the Ham45. Tackled by Taylor Reed.,27,22
10:27,1,Rush,8,Jeremiah Johnson rush for 8 yards to the Ham37. Tackled by Brandon Stewart.,27,22
09:46,2,Pass,12,Henry Burris pass to Wallace Miles for 12 yards to the Ham25. Tackled by Taylor Reed.,27,22
09:10,1,Rush,2,Jeremiah Johnson rush for 2 yards to the Ham23. Tackled by Justin Hickman.,27,22
08:29,2,Sack,-12,Sack at Ham35 for a loss of 12 yards by Ted Laurent.,27,22
07:21,3,Missed Field Goal,42,Brett Maher 42 yard field goal attempt is GOOD.,27,25
07:21,1,Pass,16,Zach Collaros pass to Nic Grigsby for 16 yards to the Ham51. Tackled by Marlon Smith.,27,25
07:03,1,Rush,-1,Nic Grigsby rush for a loss of 1 yard to the Ham50. Tackled by Marlon Smith.,27,25
06:40,2,Incomplete Pass,0,Zach Collaros incomplete pass intended for Terrell Sinkfield.,27,25
06:02,3,Illegal Block,-6,Justin Medlock punts for 46 yards to Ott14. Jamill Smith return for 2 yards to Ott16. Penalty: Illegal Block on Ottawa (Jovon Johnson) -8 yards.,27,25
05:34,1,Sack,-2,Sack at Ott6 for a loss of 2 yards by Ted Laurent.,27,25
04:30,2,Interception,27,Henry Burris pass intended for Khalil Paden INTERCEPTED and returned for 27 yards for a TOUCHDOWN.,33,25
04:09,0,Made Extra Point,0,Justin Medlock extra point is good.,34,25
04:09,0,Kickoff,11,Justin Medlock kicks off to the Ott20. Roy Finch return for 11 yards to Ott31. Tackled by Neil King.,34,25
04:03,0,Roughing Passer,15,Penalty: Roughing Passer on Hamilton (Craig Butler) 15 yards.,34,25
03:40,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Matt Carter.,34,25
03:24,2,Pass,16,Henry Burris pass to Khalil Paden for 16 yards to the Ham48. Tackled by Rico Murray.,34,25
02:58,1,Pass,12,Henry Burris pass to Patrick Lavoie for 12 yards to the Ham36. Tackled by Erik Harris.,34,25
02:42,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Matt Carter.,34,25
02:28,2,Pass,14,Henry Burris pass to Wallace Miles for 14 yards to the Ham22. Tackled by Rico Murray.,34,25
02:19,1,Pass,7,Henry Burris pass to Matt Carter for 7 yards to the Ham15. Tackled by Erik Harris.,34,25
02:06,2,Rush,-4,Patrick Lavoie rush for a loss of 4 yards to the Ham19. Tackled by Ted Laurent.,34,25
01:47,3,Interception,49,Henry Burris pass intended for Marcus Henry INTERCEPTED and returned for 49 yards. Tackled by Nolan MacMillan.,34,25
01:32,1,Rush,1,Nic Grigsby rush for 1 yard to the Ham45. Tackled by Brandon McDonald.,34,25
01:27,2,Pass,13,Zach Collaros pass to Luke Tasker for 13 yards to the Ott52. Tackled by Brandyn Thompson.,34,25
01:03,1,Rush,7,Nic Grigsby rush for 7 yards to the Ott45. Tackled by Antoine Pruneau.,34,25
00:40,2,Rush,40,Nic Grigsby rush for 40 yards to the Ott5. Tackled by Jasper Simmons.,34,25
