Time,Down,Type,Yards,Details,Ottawa,Hamilton
03:30,2,Incomplete Pass,0,Dan LeFevour incomplete pass intended for C.J. Gable.,7,14
03:00,3,Punt,5,Justin Medlock punts for 49 yards to Ott48. Tim Maypray return for 5 yards to Ott53. Tackled by Mossis Madu.,7,14
02:44,1,Pass,8,Henry Burris pass to Matt Carter for 8 yards to the Ham49. Tackled by Emanuel Davis.,7,14
02:24,2,Rush,2,Chevon Walker rush for 2 yards to the Ham47. Tackled by Brandon Boudreaux.,7,14
01:32,3,Rush,1,Henry Burris rush for 1 yard to the Ham46. Tackled by Taylor Reed.,7,14
01:06,1,Rush,10,Chevon Walker rush for 10 yards to the Ham36. Tackled by Taylor Reed.,7,14
00:44,2,Rush,1,Henry Burris rush for 1 yard to the Ham35. Tackled by Brian Bulcke.,7,14
00:11,1,Pass,6,Henry Burris pass to Matt Carter for 6 yards to the Ham29. Tackled by Courtney Stephen.,7,14
00:01,2,Rush,4,Chevon Walker rush for 4 yards to the Ham25. Tackled by Frederic Plesius.,7,14
15:00,3,Rush,1,Henry Burris rush for 1 yard to the Ham24. Tackled by Ted Laurent.,7,14
14:43,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Matt Carter defensed by Courtney Stephen.,7,14
14:01,2,Offside,5,Penalty: Offside on Hamilton (Terrence Moore) 5 yards.,7,14
13:17,2,Pass,19,Henry Burris pass to Marcus Henry for 19 yards for a TOUCHDOWN.,13,14
12:58,0,Made Extra Point,0,Brett Maher extra point is good.,14,14
12:58,0,Illegal Block,8,Brett Maher kicks off to the Ham12. Mossis Madu return for 18 yards to Ham30. Penalty: Illegal Block on Hamilton (Delvin Breaux) -10 yards.,14,14
12:47,0,Illegal Contact,10,Penalty: Illegal Contact on Ottawa (T.J. Hill) 10 yards.,14,14
12:26,1,Rush,10,Dan LeFevour rush for 10 yards to the Ham40. Tackled by Jonathan Williams.,14,14
11:54,1,Sack,-4,Sack at Ham36 for a loss of 4 yards by Jovon Johnson.,14,14
11:16,2,Incomplete Pass,0,Dan LeFevour incomplete pass intended for Brandon Banks.,14,14
10:38,3,Punt,8,Justin Medlock punts for 45 yards to Ott29. Tim Maypray return for 8 yards to Ott37. Tackled by Brandon Stewart.,14,14
10:21,1,Unnecessary Roughness,25,Henry Burris pass to Marcus Henry for 10 yards to the Ott47. Tackled by Marcellus Bowman. Penalty: Unnecessary Roughness on Hamilton (Marcellus Bowman) 15 yards.,14,14
10:07,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Kierrie Johnson.,14,14
09:42,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Paris Jackson.,14,14
09:18,3,Pass,25,Brett Maher pass to Patrick Lavoie for 25 yards to the Ham23. Tackled by Neil King.,14,14
08:52,1,Rush,2,Henry Burris rush for 2 yards to the Ham21. Tackled by Craig Butler.,14,14
08:25,2,Pass,18,Henry Burris pass to Chevon Walker for 18 yards to the Ham3. Tackled by Emanuel Davis.,14,14
07:51,1,Rush,0,Chevon Walker rush for no gain to the Ham3. Tackled by Marcellus Bowman.,14,14
07:23,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Kierrie Johnson defensed by Delvin Breaux.,14,14
06:36,3,Missed Field Goal,10,Brett Maher 10 yard field goal attempt is GOOD.,17,14
06:36,1,Illegal Procedure,-5,Penalty: Illegal Procedure on Hamilton (Brian Simmons) -5 yards.,17,14
06:26,1,Rush,6,Dan LeFevour rush for 6 yards to the Ham36. Tackled by Justin Capicciotti.,17,14
06:13,2,Pass,11,Dan LeFevour pass to Bakari Grant for 11 yards to the Ham47. Tackled by Travis Brown.,17,14
05:37,1,Rush,3,Dan LeFevour rush for 3 yards to the Ham50. Tackled by Jasper Simmons.,17,14
04:47,2,Pass,5,Dan LeFevour pass to Luke Tasker for 5 yards to the Ham55. Tackled by T.J. Hill.,17,14
04:12,3,Rush,2,Dan LeFevour rush for 2 yards to the Ott53. Tackled by Eric Fraser.,17,14
03:41,1,Rush,19,Brandon Banks rush for 19 yards to the Ott34. Tackled by Jerrell Gavins.,17,14
03:08,1,Pass,10,Dan LeFevour pass to Cary Koch for 10 yards to the Ott24. Tackled by Jovon Johnson.,17,14
02:46,1,Rush,8,Brandon Banks rush for 8 yards to the Ott16. Tackled by Jasper Simmons.,17,14
02:34,2,Unnecessary Roughness,11,C.J. Gable rush for 6 yards to the Ott10. Tackled by Brandon Lang. Penalty: Unnecessary Roughness on Ottawa (Brandon Lang) 5 yards.,17,14
02:28,1,Rush,1,C.J. Gable rush for 1 yard to the Ott4. Tackled by Jasper Simmons.,17,14
02:22,2,Incomplete Pass,0,Dan LeFevour incomplete pass intended for Bakari Grant.,17,14
01:56,3,Missed Field Goal,12,Justin Medlock 12 yard field goal attempt is GOOD.,17,17
01:56,1,Pass,12,Henry Burris pass to Marcus Henry for 12 yards to the Ott47. Tackled by Brandon Stewart.,17,17
01:50,1,Offside,5,Penalty: Offside on Hamilton (Ted Laurent) 5 yards.,17,17
01:30,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Marcus Henry.,17,17
01:25,2,Interception,18,Henry Burris pass intended for Dobson Collins INTERCEPTED and returned for 18 yards. Tackled by D.J. Harper.,17,17
01:12,1,Pass,5,Dan LeFevour pass to Samuel Giguere for 5 yards to the Ham50. Tackled by Brandyn Thompson.,17,17
01:03,2,Pass,7,Dan LeFevour pass to Andy Fantuz for 7 yards to the Ott53. Tackled by Jerrell Gavins.,17,17
00:43,1,Pass,5,Dan LeFevour pass to Andy Fantuz for 5 yards to the Ott48. Tackled by Travis Brown.,17,17
00:35,2,Pass,11,Dan LeFevour pass to Luke Tasker for 11 yards to the Ott37. Tackled by Jerrell Gavins.,17,17
00:26,1,Illegal Procedure,-5,Penalty: Illegal Procedure on Hamilton (Jeremy Lewis) -5 yards.,17,17
00:21,1,Pass,4,Dan LeFevour pass to Cary Koch for 4 yards to the Ott38. Tackled by Jovon Johnson.,17,17
00:15,2,Pass,9,Dan LeFevour pass to Andy Fantuz for 9 yards to the Ott29. Tackled by T.J. Hill.,17,17
00:00,3,Missed Field Goal,36,Justin Medlock 36 yard field goal attempt is GOOD.,17,20
15:00,0,Kickoff,22,Justin Medlock kicks off to the Ott13. Chevon Walker return for 22 yards to Ott35. Tackled by Mossis Madu.,17,20
14:54,1,Pass,4,Henry Burris pass to Paris Jackson for 4 yards to the Ott39. Tackled by Courtney Stephen.,17,20
14:31,2,Pass,11,Henry Burris pass to Marcus Henry for 11 yards to the Ott50. Tackled by Emanuel Davis.,17,20
14:08,1,Rush,0,Henry Burris rush for no gain to the Ott50. Tackled by Frederic Plesius.,17,20
13:26,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Dobson Collins.,17,20
13:06,3,Punt,6,Brett Maher punts for 49 yards to Ham11. Brandon Banks return for 6 yards to Ham17. Tackled by John Delahunt.,17,20
12:37,1,Incomplete Pass,0,Dan LeFevour incomplete pass intended for Cary Koch.,17,20
12:22,2,Pass,8,Dan LeFevour pass to Bakari Grant for 8 yards to the Ham25. Tackled by Mossis Madu.,17,20
11:56,3,Punt,8,Justin Medlock punts for 48 yards to Ott37. Tim Maypray return for 8 yards to Ott45. Tackled by Marcellus Bowman.,17,20
11:37,1,Rush,1,Henry Burris rush for 1 yard to the Ott46. Tackled by Marcellus Bowman.,17,20
11:20,2,Roughing Passer,27,Henry Burris pass to Kierrie Johnson for 12 yards to the Ham52. Tackled by Emanuel Davis. Penalty: Roughing Passer on Hamilton (Taylor Reed) 15 yards.,17,20
10:43,0,Holding,-10,Penalty: Holding on Ottawa (Nolan MacMillan) -10 yards.,17,20
10:19,1,Pass,17,Henry Burris pass to Wallace Miles for 17 yards to the Ham30. Tackled by Brandon Stewart.,17,20
09:53,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Wallace Miles.,17,20
09:10,3,Missed Field Goal,38,Brett Maher 38 yard field goal attempt is GOOD.,20,20
09:10,1,Pass,4,Dan LeFevour pass to C.J. Gable for 4 yards to the Ham39. Tackled by Jerrell Gavins.,20,20
08:56,2,Pass,12,Dan LeFevour pass to Luke Tasker for 12 yards to the Ham51. Tackled by Brandyn Thompson.,20,20
08:13,1,Pass,49,Dan LeFevour pass to Cary Koch for 49 yards to the Ott10. Tackled by Brandyn Thompson.,20,20
07:39,1,Incomplete Pass,0,Dan LeFevour incomplete pass intended for Andy Fantuz.,20,20
06:52,2,Incomplete Pass,0,Dan LeFevour incomplete pass intended for Andy Fantuz.,20,20
06:09,3,Missed Field Goal,18,Justin Medlock 18 yard field goal attempt is GOOD.,20,23
06:09,1,Rush,1,Chevon Walker rush for 1 yard to the Ott36. Tackled by Ted Laurent.,20,23
05:52,2,Pass,5,Henry Burris pass to Wallace Miles for 5 yards to the Ott41. Tackled by Frederic Plesius.,20,23
05:18,2,Punt,3,Brett Maher punts for 50 yards to Ham19. Brandon Banks return for 3 yards to Ham22. Tackled by  .,20,23
04:59,1,Rush,2,C.J. Gable rush for 2 yards to the Ham24. Tackled by Travis Brown.,20,23
04:20,2,Rush,26,Dan LeFevour rush for 26 yards to the Ham50. Tackled by Eric Fraser.,20,23
04:00,1,Pass,13,Dan LeFevour pass to Luke Tasker for 13 yards to the Ott47. Tackled by Seth Williams.,20,23
03:32,1,Pass,19,Dan LeFevour pass to C.J. Gable for 19 yards to the Ott28. Tackled by Seth Williams.,20,23
02:54,1,Rush,6,C.J. Gable rush for 6 yards to the Ott22. Tackled by Chris McCoy.,20,23
02:20,2,Interception,0,Dan LeFevour pass intended for Cary Koch INTERCEPTED. No return. Tackled by Luke Tasker.,20,23
01:52,0,Illegal Participation,-7,Penalty: Illegal Participation on Ottawa -7 yards.,20,23
01:35,1,Pass,10,Henry Burris pass to John Delahunt for 10 yards to the Ott17. Tackled by Marcellus Bowman.,20,23
01:34,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Tim Maypray.,20,23
01:15,3,Punt,0,Brett Maher punts for 38 yards to Ott55. No return.,20,23
00:59,1,Incomplete Pass,0,Dan LeFevour incomplete pass intended for C.J. Gable.,20,23
00:37,2,Pass,5,Dan LeFevour pass to Andy Fantuz for 5 yards to the Ott50. Tackled by Seth Williams.,20,23
00:13,3,Punt,2,Justin Medlock punts for 37 yards to Ott13. Tim Maypray return for 2 yards to Ott15. Tackled by Erik Harris.,20,23
15:00,1,Pass,5,Henry Burris pass to Patrick Lavoie for 5 yards to the Ott20. Tackled by David Caldwell.,20,23
14:44,2,Pass,24,Henry Burris pass to Marcus Henry for 24 yards to the Ott44. Tackled by Brandon Stewart.,20,23
14:02,1,Pass,17,Henry Burris pass to Marcus Henry for 17 yards to the Ham49. Tackled by Emanuel Davis.,20,23
13:16,1,Pass,21,Henry Burris pass to Patrick Lavoie for 21 yards to the Ham28. Tackled by Brandon Stewart.,20,23
13:05,0,Illegal Contact,10,Penalty: Illegal Contact on Hamilton (Craig Butler) 10 yards.,20,23
12:28,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Marcus Henry.,20,23
12:01,2,Pass,14,Henry Burris pass to Marcus Henry for 14 yards to the Ham4. Tackled by Brandon Stewart.,20,23
11:39,1,Sack,-13,Sack at Ham17 for a loss of 13 yards by Erik Harris.,20,23
11:13,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Chevon Walker.,20,23
10:19,3,Missed Field Goal,24,Brett Maher 24 yard field goal attempt is GOOD.,23,23
10:19,1,Rush,6,Dan LeFevour rush for 6 yards to the Ham41. Tackled by Chris McCoy.,23,23
10:00,2,Rush,-1,Brandon Banks rush for a loss of 1 yard to the Ham40. Tackled by Jerrell Gavins.,23,23
09:26,3,Punt,6,Justin Medlock punts for 48 yards to Ott22. Tim Maypray return for 6 yards to Ott28. Tackled by Mossis Madu.,23,23
09:18,1,Rush,10,Chevon Walker rush for 10 yards to the Ott38. Tackled by Marcellus Bowman.,23,23
09:04,1,Rush,4,Henry Burris rush for 4 yards to the Ott42. Tackled by Brandon Boudreaux.,23,23
08:18,2,Pass,4,Henry Burris pass to Tim Maypray for 4 yards to the Ott46. Tackled by Taylor Reed.,23,23
07:39,3,Illegal Block,50,Brett Maher punts for 40 yards to Ham24. Penalty: Illegal Block on Hamilton (Brandon Stewart) 10 yards.,23,23
07:10,1,Pass,12,Dan LeFevour pass to Luke Tasker for 12 yards to the Ham26. Tackled by Jovon Johnson.,23,23
06:52,1,Unnecessary Roughness,83,Dan LeFevour pass to C.J. Gable for 82 yards to the Ott2. Tackled by Jerrell Gavins. Penalty: Unnecessary Roughness on Ottawa (Jerrell Gavins) 1 yards.,23,23
06:10,1,Rush,0,Dan LeFevour rush for no gain to the Ott1. Tackled by T.J. Hill.,23,23
05:16,2,Rush,1,Dan LeFevour rush for 1 yard for a TOUCHDOWN.,23,29
05:04,0,Made Extra Point,0,Justin Medlock extra point is good.,23,30
05:04,0,Kickoff,17,Justin Medlock kicks off to the Ott18. D.J. Harper return for 17 yards to Ott35. Tackled by Taylor Reed.,23,30
04:59,1,Pass,0,Henry Burris pass to Paris Jackson for no gain to the Ott35. Tackled by Erik Harris.,23,30
04:33,2,Pass,12,Henry Burris pass to Marcus Henry for 12 yards to the Ott47. Tackled by Brandon Stewart.,23,30
03:59,1,Rush,5,Chevon Walker rush for 5 yards to the Ott52. Tackled by Terrence Moore.,23,30
03:18,2,Pass,3,Henry Burris pass to Marcus Henry for 3 yards to the Ott55. Tackled by Frederic Plesius.,23,30
02:46,3,Incomplete Pass,0,Henry Burris incomplete pass intended for Paris Jackson.,23,30
02:31,1,Pass,13,Dan LeFevour pass to Andy Fantuz for 13 yards to the Ott42. Tackled by Brandyn Thompson.,23,30
02:24,1,Rush,7,Dan LeFevour rush for 7 yards to the Ott35. Tackled by Jasper Simmons.,23,30
02:19,2,Rush,7,Dan LeFevour rush for 7 yards to the Ott28. Tackled by Jasper Simmons.,23,30
02:07,1,Rush,3,Dan LeFevour rush for 3 yards to the Ott25. Tackled by Travis Brown.,23,30
01:43,2,Rush,0,C.J. Gable rush for no gain to the Ott25. Tackled by Jonathan Williams.,23,30
00:55,3,Missed Field Goal,32,Justin Medlock 32 yard field goal attempt is GOOD.,23,33
00:55,1,Pass,5,Henry Burris pass to Dobson Collins for 5 yards to the Ott40. Tackled by Taylor Reed.,23,33
00:48,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Matt Carter.,23,33
00:39,3,Incomplete Pass,0,Henry Burris incomplete pass intended for Chevon Walker.,23,33
