Time,Down,Type,Yards,Details,BC,Montreal
02:35,1,Pass,10,Travis Lulay pass to Courtney Taylor for 10 yards to the BC42. Tackled by Chip Cox.,28,24
02:14,1,Rush,3,Shawn Gore rush for 3 yards to the BC45. Tackled by Shea Emry.,28,24
01:51,2,Incomplete Pass,0,Travis Lulay incomplete pass intended for Marco Iannuzzi.,28,24
01:27,3,Punt,10,Paul McCallum punts for 38 yards to Mtl27. Tyron Carrier return for 10 yards to Mtl37. Tackled by Keynan Parker.,28,24
01:17,1,Incomplete Pass,0,Tanner Marsh incomplete pass intended for S.J. Green.,28,24
00:57,2,Pass,35,Tanner Marsh pass to Arland Bruce for 35 yards to the BC38. Tackled by Josh Bell.,28,24
00:01,1,Incomplete Pass,0,Tanner Marsh incomplete pass intended for S.J. Green.,28,24
15:00,2,Pass,12,Tanner Marsh pass to Arland Bruce for 12 yards to the BC26. Tackled by J.R. LaRose.,28,24
14:42,1,Rush,3,Steven Lumbala rush for 3 yards to the BC23. Tackled by Solomon Elimimian.,28,24
14:00,2,Incomplete Pass,0,Tanner Marsh incomplete pass intended for S.J. Green.,28,24
13:08,3,Missed Field Goal,30,Sean Whyte 30 yard field goal attempt is GOOD.,28,27
13:08,0,Illegal Block,1,Sean Whyte kicks off to the BC16. Tim Brown return for 11 yards to BC27. Penalty: Illegal Block on BC (Tim Cronk) -10 yards.,28,27
13:02,1,Sack,-2,Sack at BC15 for a loss of 2 yards by Chip Cox.,28,27
12:33,2,Pass,16,Travis Lulay pass to Emmanuel Arceneaux for 16 yards to the BC31. Tackled by Geoff Tisdale.,28,27
12:04,1,Pass,10,Travis Lulay pass to Emmanuel Arceneaux for 10 yards to the BC41.,28,27
11:27,1,Incomplete Pass,0,Travis Lulay incomplete pass intended for Nick Moore.,28,27
11:04,2,Time Count,-5,Penalty: Time Count on BC (Travis Lulay) -5 yards.,28,27
10:42,0,Roughing Passer,15,Penalty: Roughing Passer on Montreal (Alan-Michael Cash) 15 yards.,28,27
10:37,2,Pass,38,Travis Lulay pass to Nick Moore for 38 yards to the Mtl21. Tackled by Billy Parker.,28,27
10:10,1,Incomplete Pass,0,Travis Lulay incomplete pass intended for Shawn Gore.,28,27
09:50,2,Time Count,-5,Penalty: Time Count on BC (Travis Lulay) -5 yards.,28,27
09:25,2,Incomplete Pass,0,Travis Lulay incomplete pass intended for Shawn Gore.,28,27
09:02,3,Missed Field Goal,33,Paul McCallum 33 yard field goal attempt is GOOD.,31,27
09:02,1,Sack,-9,Sack at Mtl26 for a loss of 9 yards by Khreem Smith.,31,27
08:46,2,Interception,11,Tanner Marsh pass intended for Duron Carter INTERCEPTED by Korey Banks and returned for 11 yards.,31,27
07:42,1,Pass,29,Travis Lulay pass to Shawn Gore for 29 yards for a TOUCHDOWN.,37,27
07:24,0,Made Extra Point,0,Paul McCallum extra point is good.,38,27
07:11,0,Kickoff,90,Paul McCallum kicks off to the Mtl20. Tyron Carrier return for 90 yards to BC0 for a TOUCHDOWN.,38,33
07:11,0,Fumble,40,"Sack at BC20 for a loss of 15 yards by Jabar Westerman. FUMBLE, recovered by BC (Adam Bighill) and returned for 55 yards.",38,33
06:37,0,Kickoff,23,Sean Whyte kicks off to the BC12. Tim Brown return for 23 yards to BC35. Tackled by Steven Lumbala.,38,33
06:31,1,Sack,-9,Sack at BC26 for a loss of 9 yards by Aaron Lavarias.,38,33
06:01,2,Pass,4,Travis Lulay pass to Andrew Harris for 4 yards to the BC30. Tackled by Shea Emry.,38,33
05:17,3,Punt,37,Paul McCallum punts for 38 yards to Mtl42. Tyron Carrier return for 37 yards to BC31. Tackled by Paul McCallum.,38,33
05:00,1,Rush,0,Jerome Messam rush for no gain to the BC31. Tackled by Jabar Westerman.,38,33
04:35,2,Rush,4,Tanner Marsh rush for 4 yards to the BC27. Tackled by Adam Bighill.,38,33
03:41,3,Missed Field Goal,34,Sean Whyte 34 yard field goal attempt is GOOD.,38,36
03:41,1,Rush,-2,Andrew Harris rush for a loss of 2 yards to the BC33. Tackled by Aaron Lavarias.,38,36
03:13,2,Incomplete Pass,0,Travis Lulay incomplete pass intended for Emmanuel Arceneaux.,38,36
03:08,3,Punt,3,Paul McCallum punts for 33 yards to Mtl44. Tyron Carrier return for 3 yards to Mtl47. Tackled by Jordan Matechuk.,38,36
02:54,1,Interception,0,Tanner Marsh pass intended for D.L. Moore INTERCEPTED by Josh Bell. No return.,38,36
02:42,1,Rush,5,Andrew Harris rush for 5 yards to the BC22. Tackled by Aaron Lavarias.,38,36
02:36,2,Incomplete Pass,0,Travis Lulay incomplete pass intended for Nick Moore.,38,36
02:14,3,Punt,7,Paul McCallum punts for 46 yards to Mtl42. Tyron Carrier return for 7 yards to Mtl49. Tackled by Lin-J Shell.,38,36
02:12,1,Incomplete Pass,0,Tanner Marsh incomplete pass intended for Jerome Messam.,38,36
02:02,2,Interception,5,Tanner Marsh pass intended for S.J. Green INTERCEPTED by Korey Banks and returned for 5 yards. Tackled by Arland Bruce.,38,36
01:54,1,Rush,5,Andrew Harris rush for 5 yards to the Mtl47. Tackled by Chip Cox.,38,36
01:48,2,Offside,5,Penalty: Offside on Montreal (Jerald Brown) 5 yards.,38,36
01:24,1,Rush,-6,Emmanuel Arceneaux rush for a loss of 6 yards to the Mtl48. Tackled by Chip Cox.,38,36
01:17,2,Rush,3,Travis Lulay rush for 3 yards to the Mtl45. Tackled by Chip Cox.,38,36
00:53,3,Holding,40,Paul McCallum punts for 35 yards to Mtl10. Penalty: Holding on Montreal (Nicolas Boulay) 5 yards.,38,36
00:48,1,Pass,5,Tanner Marsh pass to Jerome Messam for 5 yards to the Mtl10. Tackled by Adam Bighill.,38,36
00:38,2,Incomplete Pass,0,Tanner Marsh incomplete pass intended for S.J. Green defensed by Adam Bighill.,38,36
00:33,3,Pass,21,Tanner Marsh pass to Eric Deslauriers for 21 yards to the Mtl31. Tackled by Lin-J Shell.,38,36
00:28,1,Incomplete Pass,0,Tanner Marsh incomplete pass intended for Eric Deslauriers.,38,36
00:22,2,Pass,15,Tanner Marsh pass to Arland Bruce for 15 yards to the Mtl46. Tackled by Lin-J Shell.,38,36
00:15,1,Incomplete Pass,0,Tanner Marsh incomplete pass intended for D.L. Moore.,38,36
00:09,2,Pass,57,Tanner Marsh pass to Eric Deslauriers for 57 yards to the BC7. Tackled by Dante Marsh.,38,36
00:00,1,Missed Field Goal,14,Sean Whyte 14 yard field goal attempt is GOOD.,38,39
