Time,Down,Type,Yards,Details,Toronto,Montreal
09:25,3,Punt Single,0,Noel Prefontaine punts for 44 yards to Mtl0. No return (Single).,29,30
09:25,1,Interception,0,S.J. Green pass intended for Patrick Lavoie INTERCEPTED by Jamie Robinson. No return. Tackled by Patrick Lavoie.,29,30
08:58,1,Pass,12,Zach Collaros pass to Andre Durie for 12 yards to the Mtl50. Tackled by Jerald Brown.,29,30
08:31,1,Pass,7,Zach Collaros pass to Spencer Watt for 7 yards to the Mtl43. Tackled by Michael Carter.,29,30
08:05,2,Pass,19,Zach Collaros pass to Andre Durie for 19 yards to the Mtl24. Tackled by Mike Edem.,29,30
07:37,1,Pass,0,Zach Collaros pass to   for no gain to the Mtl24. Tackled by Billy Parker.,29,30
06:54,2,Rush,2,Zach Collaros rush for 2 yards to the Mtl22. Tackled by Marc-Olivier Brouillette.,29,30
06:17,3,Field Goal Single,-5,30 yard field goal attempt by Noel Prefontaine is NO GOOD.  Missed field goal returned by Tyron Carrier to the Mtl0. Tackled by Ivan Brown (Single).,30,30
06:17,1,Incomplete Pass,0,Tanner Marsh incomplete pass intended for S.J. Green.,30,30
06:00,2,Sack,-7,Sack at Mtl28 for no gain by Pat Watkins Recovered by Mtl (Jerome Messam),30,30
05:16,3,Time Count,-5,Penalty: Time Count on Montreal (Sean Whyte) -5 yards.,30,30
05:01,3,Holding,47,Sean Whyte punts for 37 yards to Tor50. Penalty: Holding on Toronto 10 yards.,30,30
04:50,1,Roughing Passer,25,Zach Collaros pass to Andre Durie for 10 yards to the Tor50. Tackled by Aaron Lavarias. Penalty: Roughing Passer on Montreal (John Bowman) 15 yards.,30,30
04:26,1,Pass,10,Zach Collaros pass to Jason Barnes for 10 yards to the Mtl35. Tackled by Michael Carter.,30,30
03:33,1,Rush,5,rush for 5 yards to the Mtl30. Tackled by Shea Emry.,30,30
03:10,2,Pass,8,Zach Collaros pass to Andre Durie for 8 yards to the Mtl22. Tackled by Chip Cox.,30,30
02:46,1,Rush,-1,rush for a loss of 1 yard to the Mtl23. Tackled by Aaron Lavarias.,30,30
02:20,2,Rush,12,Zach Collaros rush for 12 yards to the Mtl11. Tackled by Jerald Brown.,30,30
02:01,1,Rush,6,Zach Collaros rush for 6 yards to the Mtl5. Tackled by Shea Emry.,30,30
01:17,2,Pass,5,Zach Collaros pass to Dontrelle Inman for 5 yards for a TOUCHDOWN.,36,30
01:17,0,Made Extra Point,0,Noel Prefontaine extra point is good.,37,30
01:17,0,Kickoff,19,Noel Prefontaine kicks off to the Mtl22. Tyron Carrier return for 19 yards to Mtl41. Tackled by Jason Pottinger.,37,30
01:11,1,Pass,12,Tanner Marsh pass to S.J. Green for 12 yards to the Mtl53. Tackled by Jermaine Gabriel.,37,30
01:06,1,Illegal Participation,44,Tanner Marsh pass to Jerome Messam for 34 yards to the Tor23. Tackled by Jason Pottinger. Penalty: Illegal Participation on Toronto (Marcus Ball) 10 yards.,37,30
00:51,1,Pass,2,Tanner Marsh pass to Brandon London for 2 yards to the Tor11. Tackled by Ricardo Colclough.,37,30
00:48,2,Sack,-4,Sack at Tor15 for a loss of 4 yards by Ivan Brown.,37,30
00:38,3,Face Mask,15,Tanner Marsh pass intended for Patrick Lavoie INTERCEPTED by Alonzo Lawrence. No return. Penalty: Face Mask on Montreal 15 yards.,37,30
