Time,Down,Type,Yards,Details,Montreal,Winnipeg
01:53,1,Rush,5,Noel Devine rush for 5 yards to the Wpg46. Tackled by Cauchy Muamba.,20,13
01:28,2,Pass,14,Anthony Calvillo pass to Brandon London for 14 yards to the Wpg32. Tackled by Jovon Johnson.,20,13
01:23,1,Rush,4,Chris Jennings rush for 4 yards to the Wpg28. Tackled by Terrell Parker.,20,13
00:56,2,Pass,6,Anthony Calvillo pass to Arland Bruce for 6 yards to the Wpg22. Tackled by Alex Suber.,20,13
00:35,1,Rush,-3,Noel Devine rush for a loss of 3 yards to the Wpg25. Tackled by Alex Hall.,20,13
00:18,2,Pass,20,Anthony Calvillo pass to Jamel Richardson for 20 yards to the Wpg5. Tackled by Cauchy Muamba.,20,13
00:12,1,Rush,3,Chris Jennings rush for 3 yards to the Wpg2. Tackled by Cauchy Muamba.,20,13
00:00,2,Missed Field Goal,9,Sean Whyte 9 yard field goal attempt is GOOD.,23,13
15:00,0,Kickoff,19,Sean Whyte kicks off to the Wpg18. Will Ford return for 19 yards to Wpg37. Tackled by Aaron Lavarias.,23,13
14:48,1,Pass,65,Buck Pierce pass to Jade Etienne for 65 yards to the Mtl8. Tackled by Byron Parker.,23,13
13:49,1,Pass,8,Buck Pierce pass to Clarence Denmark for 8 yards for a TOUCHDOWN.,23,19
13:28,0,Made Extra Point,0,Justin Palardy extra point is good.,23,20
13:28,0,Kickoff,18,Justin Palardy kicks off to the Mtl11. Noel Devine return for 18 yards to Mtl29. Tackled by Marty Markett.,23,20
13:19,1,Rush,2,Chris Jennings rush for 2 yards to the Mtl31. Tackled by Henoc Muamba.,23,20
12:37,2,Incomplete Pass,0,Anthony Calvillo incomplete pass intended for Jamel Richardson defensed by Desia Dunn.,23,20
11:53,3,Punt,80,Sean Whyte punts for 49 yards to Wpg30. Demond Washington return for 80 yards to Mtl0 for a TOUCHDOWN.,23,26
11:32,0,Made Extra Point,0,Justin Palardy extra point is good.,23,27
11:32,0,Kickoff,25,Justin Palardy kicks off to the Mtl10. Noel Devine return for 25 yards to Mtl35. Tackled by Henoc Muamba.,23,27
11:26,1,Pass,5,Anthony Calvillo pass to Eric Deslauriers for 5 yards to the Mtl40. Tackled by Jovon Johnson.,23,27
11:11,2,Time Count,-5,Penalty: Time Count on Montreal (Anthony Calvillo) -5 yards.,23,27
10:39,2,Sack,-9,Sack at Mtl26 for a loss of 9 yards by Alex Hall.,23,27
10:31,3,Punt,0,Sean Whyte punts for 30 yards to Wpg54. No return.,23,27
10:18,1,Pass,17,Buck Pierce pass to Terrence Edwards for 17 yards to the Mtl39. Tackled by Byron Parker.,23,27
