Time,Down,Type,Yards,Details,Montreal,Saskatchewan
10:23,3,Punt Single,63,Ricky Schmitt punts for 63 yards to Mtl0 (Single).,10,9
10:23,1,Interception,0,Josh Neiswander pass intended for S.J. Green INTERCEPTED by Tyron Brackenridge. No return. Tackled by S.J. Green.,10,9
10:11,1,Rush,-2,Kory Sheets rush for a loss of 2 yards to the Ssk39. Tackled by Chip Cox.,10,9
09:23,2,Offside,-5,Penalty: Offside on Saskatchewan (Chris Getzlaf) -5 yards.,10,9
09:17,2,Fumble,1,"Darian Durant rush for 1 yard to the Ssk35. FUMBLE, recovered by Ssk (Kory Sheets).",10,9
08:29,0,Fumble,-2,", recovered by Ssk (Byron Parker). Ricky Schmitt punts for 45 yards to Mtl30. Tyron Carrier return for a loss of 2 yards to Mtl28. FUMBLE",10,9
07:57,1,Rush,1,Jerome Messam rush for 1 yard to the Mtl29. Tackled by Keith Shologan.,10,9
07:30,2,Pass,22,Josh Neiswander pass to S.J. Green for 22 yards to the Mtl51. Tackled by Weldon Brown.,10,9
06:56,1,Pass,19,Josh Neiswander pass to Tyrell Sutton for 19 yards to the Ssk40. Tackled by Renauld Williams.,10,9
06:26,1,Incomplete Pass,0,Josh Neiswander incomplete pass intended for S.J. Green.,10,9
06:04,2,Incomplete Pass,0,Josh Neiswander incomplete pass intended for S.J. Green.,10,9
05:22,3,Punt Single,44,Sean Whyte punts for 44 yards to Ssk0 (Single).,11,9
05:22,0,Holding,-10,Penalty: Holding on Saskatchewan (Brendon LaBatte) -10 yards.,11,9
05:06,0,Roughing Passer,15,Penalty: Roughing Passer on Montreal (Ed Gainey) 15 yards.,11,9
04:45,1,Rush,-1,Kory Sheets rush for a loss of 1 yard to the Ssk39. Tackled by Aaron Lavarias.,11,9
04:19,2,Incomplete Pass,0,Darian Durant incomplete pass intended for Geroy Simon.,11,9
03:55,3,Punt,6,Ricky Schmitt punts for 66 yards to Mtl5. Tyron Carrier return for 6 yards to Mtl11. Tackled by Kevin Regimbald-Gagne.,11,9
03:37,1,Incomplete Pass,0,Josh Neiswander incomplete pass intended for S.J. Green.,11,9
03:19,2,Rush,0,Josh Neiswander rush for no gain to the Mtl11. Tackled by Renauld Williams.,11,9
02:28,3,Safety,-11,Safety,11,11
02:28,0,Kickoff,25,Sean Whyte kicks off to the Ssk15. Weldon Brown return for 25 yards to Ssk40. Tackled by Daryl Townsend.,11,11
02:14,1,Rush,5,Kory Sheets rush for 5 yards to the Ssk45. Tackled by Mike Edem.,11,11
01:52,2,Pass,7,Darian Durant pass to Weston Dressler for 7 yards to the Ssk52. Tackled by Billy Parker.,11,11
01:21,1,Pass,32,Darian Durant pass to Chris Getzlaf for 32 yards to the Mtl26. Tackled by Billy Parker.,11,11
00:37,0,Pass Interference,21,Penalty: Pass Interference on Montreal (Mike Edem) 21 yards.,11,11
00:16,0,Holding,-10,Penalty: Holding on Saskatchewan (Dominic Picard) -10 yards.,11,11
00:01,1,Rush,-3,Kory Sheets rush for a loss of 3 yards to the Mtl18. Tackled by Ed Gainey.,11,11
15:00,2,Incomplete Pass,0,Darian Durant incomplete pass intended for Taj Smith defensed by Geoff Tisdale.,11,11
14:28,3,Missed Field Goal,26,Chris Milo 26 yard field goal attempt is GOOD.,11,14
14:28,0,Kickoff,20,Ricky Schmitt kicks off to the Mtl9. Tyron Carrier return for 20 yards to Mtl29. Tackled by Graig Newman.,11,14
14:22,1,Rush,8,Jerome Messam rush for 8 yards to the Mtl37. Tackled by Keith Shologan.,11,14
13:35,2,Pass,27,Josh Neiswander pass to S.J. Green for 27 yards to the Ssk46. Tackled by Weldon Brown.,11,14
12:54,1,Rush,2,Josh Neiswander rush for 2 yards to the Ssk44. Tackled by Craig Butler.,11,14
12:30,2,Pass,9,Josh Neiswander pass to S.J. Green for 9 yards to the Ssk35.,11,14
12:00,1,Rush,4,Jerome Messam rush for 4 yards to the Ssk31. Tackled by Tearrius George.,11,14
11:20,2,Incomplete Pass,0,Josh Neiswander incomplete pass intended for Arland Bruce defensed by Prince Miller.,11,14
10:37,3,Missed Field Goal,38,Sean Whyte 38 yard field goal attempt is GOOD.,14,14
10:37,1,Rush,1,Weston Dressler rush for 1 yard to the Ssk36. Tackled by Chip Cox.,14,14
10:02,2,Pass,11,Darian Durant pass to Weston Dressler for 11 yards to the Ssk47. Tackled by Chip Cox.,14,14
