Time,Down,Type,Yards,Details,Montreal,Toronto
14:42,1,Time Count,-5,Penalty: Time Count on Toronto (Mitchell Gale) -5 yards.,15,19
14:22,1,Rush,9,Mitchell Gale rush for 9 yards to the Tor55. Tackled by Aaron Lavarias.,15,19
14:09,2,Rush,3,Mitchell Gale rush for 3 yards to the Mtl52. Tackled by Marc-Olivier Brouillette.,15,19
13:30,3,Punt,19,Quinn Sharp punts for 37 yards to Mtl15. Arland Bruce return for 19 yards to Mtl34. Tackled by Curtis Steele.,15,19
12:48,1,Pass,0,Troy Smith pass to Duron Carter for no gain to the Tor34. Tackled by Aaron Maybin.,15,19
12:33,2,Incomplete Pass,0,Troy Smith incomplete pass intended for Patrick Lavoie.,15,19
11:51,3,Punt,11,Burke Dales punts for 37 yards to Tor0. Trent Guy return for 11 yards to Tor8. Tackled by Walter Spencer.,15,19
11:26,0,Pass Interference,10,Penalty: Pass Interference on Montreal (Billy Parker) 10 yards.,15,19
11:14,1,Rush,13,Jerious Norwood rush for 13 yards to the Mtl37. Tackled by Mike Edem.,15,19
10:49,1,Rush,4,Anthony Woodson rush for 4 yards to the Mtl33. Tackled by Marc-Olivier Brouillette.,15,19
10:14,2,Incomplete Pass,0,Mitchell Gale incomplete pass intended for John Chiles.,15,19
09:05,3,Field Goal Single,3,49 yard field goal attempt by Quinn Sharp is NO GOOD.  Missed field goal returned by Duron Carter to the Mtl0 (Single).,15,20
09:08,1,Rush,15,Jerome Messam rush for 15 yards to the Mtl50. Tackled by Major Culbert.,15,20
08:55,1,Rush,2,Jerome Messam rush for 2 yards to the Mtl52. Tackled by Ivan Brown.,15,20
08:08,2,Incomplete Pass,0,Troy Smith incomplete pass intended for Arland Bruce defensed by  .,15,20
07:36,3,Holding,52,Burke Dales punts for 47 yards to Tor11. Penalty: Holding on Toronto (Curtis Steele) 5 yards.,15,20
07:15,1,Pass,5,Mitchell Gale pass to John Chiles for 5 yards to the Tor11. Tackled by Geoff Tisdale.,15,20
07:06,2,Pass,24,Mitchell Gale pass to Zander Robinson for 24 yards to the Tor35. Tackled by Mike Edem.,15,20
06:43,1,Rush,1,Anthony Woodson rush for 1 yard to the Mtl34. Tackled by Alan-Michael Cash.,15,20
06:06,2,Sack,-3,Sack at Mtl39 for a loss of 3 yards by Moton Hopkins.,15,20
05:31,0,Too Many Men on Field,-10,Penalty: Too Many Men on Field on Montreal -10 yards.,15,20
04:32,3,No Yards,28,Quinn Sharp punts for 43 yards to Mtl24. Penalty: No Yards on Toronto (Lance Milton) -15 yards.,15,20
04:04,1,Roughing Passer,31,Troy Smith pass to Arland Bruce for 16 yards to the Mtl55. Tackled by Major Culbert. Penalty: Roughing Passer on Toronto (Kiante Tripp) 15 yards.,15,20
03:37,1,Rush,3,Jerome Messam rush for 3 yards to the Tor37. Tackled by Jamie Robinson.,15,20
02:47,2,Pass,37,Troy Smith pass to Arland Bruce for 37 yards for a TOUCHDOWN.,21,20
02:47,0,Offside,3,Penalty: Offside on Toronto (Jonathan Williams) 3 yards.,21,20
02:47,0,Two Point Conversion,2,Troy Smith 2 pt rush attempt. Successful.,23,20
02:47,0,Kickoff,24,Sean Whyte kicks off to the Tor19. Branden Smith return for 24 yards to Tor43. Tackled by Nicolas Boulay.,23,20
02:40,1,Pass,7,Mitchell Gale pass to Jerious Norwood for 7 yards to the Tor50. Tackled by Alan-Michael Cash.,23,20
02:33,2,Rush,3,Jerious Norwood rush for 3 yards to the Tor53. Tackled by Alan-Michael Cash.,23,20
02:15,1,Incomplete Pass,0,Mitchell Gale incomplete pass intended for Julian Feoli-Gudino defensed by Marc-Olivier Brouillette.,23,20
01:59,2,Incomplete Pass,0,Mitchell Gale incomplete pass intended for Darvin Adams.,23,20
01:52,3,Incomplete Pass,0,Mitchell Gale incomplete pass intended for John Chiles.,23,20
01:46,1,Rush,3,Jerome Messam rush for 3 yards to the Tor50. Tackled by Ivan Brown.,23,20
01:40,2,Rush,2,Jerome Messam rush for 2 yards to the Tor48. Tackled by Orhian Johnson.,23,20
01:33,0,Roughing Kicker,0,Penalty: No Yards on Montreal (Walter Spencer) -15 yards. Penalty: Roughing Kicker on Toronto (Hugo Lopez) 15 yards.,23,20
01:04,1,Rush,10,Jerome Messam rush for 10 yards to the Tor38. Tackled by Ivan Brown.,23,20
