Time,Down,Type,Yards,Details,Saskatchewan,Winnipeg
15:00,0,Kickoff,18,Sandro DeAngelis kicks off to the Ssk16. Tristan Jackson return for 18 yards to Ssk34. Tackled by James Green.,12,10
14:53,1,Rush,4,Kory Sheets rush for 4 yards to the Ssk38. Tackled by Demond Washington.,12,10
14:15,2,Incomplete Pass,0,Darian Durant incomplete pass intended for Chris Getzlaf.,12,10
13:58,3,Punt,8,Ricky Schmitt punts for 37 yards to Wpg35. Jovon Johnson return for 8 yards to Wpg43. Tackled by Neal Hughes.,12,10
13:32,1,Sack,-2,Sack at Wpg41 for a loss of 2 yards by Jermaine McElveen.,12,10
12:53,0,Rush,33,"FUMBLE Justin Goltz rush for 33 yards to the Ssk36., recovered by Wpg (Justin Goltz).",12,10
12:10,1,Incomplete Pass,0,Justin Goltz incomplete pass intended for Cory Watson.,12,10
11:48,0,Roughing Passer,15,Penalty: Roughing Passer on Saskatchewan (Ricky Foley) 15 yards.,12,10
11:30,1,Rush,4,Will Ford rush for 4 yards to the Ssk17. Tackled by  .,12,10
10:50,0,Pass Interference,14,Penalty: Pass Interference on Saskatchewan (Macho Harris) 14 yards.,12,10
10:13,1,Rush,3,Justin Goltz rush for 3 yards for a TOUCHDOWN.,12,16
09:54,0,Made Extra Point,0,Sandro DeAngelis extra point is good.,12,17
09:54,0,Kickoff,44,Sandro DeAngelis kicks off to the Ssk16. Tristan Jackson return for 44 yards to Wpg50. Tackled by Demond Washington.,12,17
09:45,1,Rush,14,Darian Durant rush for 14 yards to the Wpg36. Tackled by Demond Washington.,12,17
09:08,1,Incomplete Pass,0,Darian Durant incomplete pass intended for Chris Getzlaf.,12,17
08:39,2,Sack,-8,Sack at Wpg44 for a loss of 8 yards by Ian Wild.,12,17
07:38,3,Punt Single,0,Ricky Schmitt punts for 64 yards to Wpg0. No return (Single).,13,17
07:38,1,Incomplete Pass,0,Justin Goltz incomplete pass intended for Rory Kohlert.,13,17
07:23,2,Incomplete Pass,0,Justin Goltz incomplete pass intended for Terrence Edwards.,13,17
07:02,3,Punt,9,Mike Renaud punts for 39 yards to Ssk36. Tristan Jackson return for 9 yards to Ssk45. Tackled by Cauchy Muamba.,13,17
06:38,1,Objectionable Conduct,-2,Darian Durant pass to Taj Smith for 8 yards to the Ssk53. Tackled by Jovon Johnson. Penalty: Objectionable Conduct on Saskatchewan (Taj Smith) -10 yards.,13,17
06:14,2,Pass,5,Darian Durant pass to Kory Sheets for 5 yards to the Ssk48. Tackled by Ian Wild.,13,17
05:52,3,Punt,5,Ricky Schmitt punts for 47 yards to Wpg15. Jovon Johnson return for 5 yards to Wpg20. Tackled by Brian Peters.,13,17
05:35,1,Rush,2,Will Ford rush for 2 yards to the Wpg22. Tackled by Weldon Brown.,13,17
05:01,2,Rush,13,Justin Goltz rush for 13 yards to the Wpg35. Tackled by Renauld Williams.,13,17
04:22,1,Pass,6,Justin Goltz pass to Terrence Edwards for 6 yards to the Wpg41. Tackled by Macho Harris.,13,17
03:45,2,Pass,16,Justin Goltz pass to Clarence Denmark for 16 yards to the Ssk53. Tackled by  .,13,17
03:21,1,Rush,-2,Will Ford rush for a loss of 2 yards to the Wpg55. Tackled by Renauld Williams.,13,17
03:01,2,Incomplete Pass,0,Justin Goltz incomplete pass intended for Rory Kohlert.,13,17
02:39,3,Punt,7,Mike Renaud punts for 41 yards to Ssk14. Tristan Jackson return for 7 yards to Ssk21. Tackled by Henoc Muamba.,13,17
02:21,1,Rush,16,Kory Sheets rush for 16 yards to the Ssk37. Tackled by Pierre-Luc Labbe.,13,17
01:35,1,Fumble,29,"Darian Durant rush for 27 yards to the Wpg46. FUMBLE, recovered by Wpg (Demond Washington) and returned for 2 yards. Tackled by Chris Getzlaf.",13,17
01:19,1,Pass,17,Justin Goltz pass to Clarence Denmark for 17 yards to the Ssk45. Tackled by Tyron Brackenridge.,13,17
00:35,1,Rush,8,Will Ford rush for 8 yards to the Ssk37. Tackled by  .,13,17
00:01,2,Rush,4,Will Ford rush for 4 yards to the Ssk33. Tackled by Mike McCullough.,13,17
15:00,1,Rush,2,Justin Goltz rush for 2 yards to the Ssk31. Tackled by Prince Miller.,13,17
14:21,2,Pass,28,Justin Goltz pass to Aaron Kelly for 28 yards to the Ssk3. Tackled by Macho Harris.,13,17
13:07,1,Rush,3,Justin Goltz rush for 3 yards for a TOUCHDOWN.,13,23
12:56,0,Made Extra Point,0,Sandro DeAngelis extra point is good.,13,24
12:56,0,Unnecessary Roughness,48,Sandro DeAngelis kicks off to the Ssk10. Tristan Jackson return for 33 yards to Ssk43. Tackled by Demond Washington. Penalty: Unnecessary Roughness on Winnipeg (Demond Washington) 15 yards.,13,24
12:45,1,Rush,2,Kory Sheets rush for 2 yards to the Wpg50. Tackled by Alex Hall.,13,24
12:15,2,Incomplete Pass,0,Darian Durant incomplete pass intended for Weston Dressler.,13,24
11:59,3,Punt,10,Ricky Schmitt punts for 42 yards to Wpg8. Jovon Johnson return for 10 yards to Wpg18. Tackled by Tristan Black.,13,24
11:32,1,Rush,5,Will Ford rush for 5 yards to the Wpg23. Tackled by Prince Miller.,13,24
11:03,2,Sack,-6,Sack at Wpg17 for a loss of 6 yards by Jermaine McElveen.,13,24
10:29,3,Illegal Block,-3,Mike Renaud punts for 45 yards to Ssk48. Tristan Jackson return for 7 yards to Ssk55. Penalty: Illegal Block on Saskatchewan (Mike McCullough) -10 yards.,13,24
10:10,1,Incomplete Pass,0,Darian Durant incomplete pass intended for Geroy Simon.,13,24
09:56,2,Sack,-5,Sack at Ssk40 for a loss of 5 yards by Zach Anderson.,13,24
09:26,3,Illegal Block,37,Ricky Schmitt punts for 42 yards to Wpg28. Penalty: No Yards on Saskatchewan (Tristan Black) -15 yards. Penalty: Illegal Block on Winnipeg (Aaron Kelly) 10 yards.,13,24
09:06,1,Pass,45,Justin Goltz pass to Aaron Kelly for 45 yards to the Ssk32. Tackled by Macho Harris.,13,24
08:16,1,Pass,5,Justin Goltz pass to Aaron Kelly for 5 yards to the Ssk27. Tackled by Macho Harris.,13,24
07:56,2,Sack,-6,Sack at Ssk33 for a loss of 6 yards by Mike McCullough.,13,24
07:18,3,Field Goal Single,49,49 yard field goal attempt by Sandro DeAngelis is NO GOOD (Single).,13,25
07:18,1,Pass,11,Darian Durant pass to Kory Sheets for 11 yards to the Ssk46. Tackled by Henoc Muamba.,13,25
06:40,1,Pass,19,Darian Durant pass to Kory Sheets for 19 yards to the Wpg45. Tackled by Henoc Muamba.,13,25
06:11,1,Rush,4,Darian Durant rush for 4 yards to the Wpg41.,13,25
05:55,2,Sack,-9,Sack at Wpg50 for a loss of 9 yards by Bryant Turner.,13,25
05:26,3,Punt,0,Ricky Schmitt punts for 37 yards to Wpg13. No return.,13,25
05:09,1,Rush,-1,Will Ford rush for a loss of 1 yard to the Wpg12. Tackled by Keith Shologan.,13,25
04:27,2,Sack,-4,Sack at Wpg8 for a loss of 4 yards by Ricky Foley.,13,25
04:02,3,Punt,14,Mike Renaud punts for 46 yards to Wpg54. Tristan Jackson return for 14 yards to Wpg40. Tackled by James Green.,13,25
03:37,1,Incomplete Pass,0,Darian Durant incomplete pass intended for Taj Smith defensed by Alex Suber.,13,25
03:19,2,Incomplete Pass,0,Darian Durant incomplete pass intended for Taj Smith.,13,25
03:00,3,Incomplete Pass,0,Darian Durant incomplete pass intended for Weston Dressler.,13,25
02:38,1,Rush,0,Will Ford rush for no gain to the Wpg40. Tackled by Tyron Brackenridge.,13,25
02:31,2,Rush,2,Justin Goltz rush for 2 yards to the Wpg42. Tackled by Tearrius George.,13,25
02:11,3,Face Mask,26,Mike Renaud punts for 43 yards to Ssk25. Tristan Jackson return for 11 yards to Ssk36. Tackled by Greg Peach. Penalty: Face Mask on Winnipeg (Mike Renaud) 15 yards.,13,25
02:02,1,Incomplete Pass,0,Darian Durant incomplete pass intended for Chris Getzlaf.,13,25
01:56,2,Unnecessary Roughness,6,Sack at Ssk42 for a loss of 9 yards by Bryant Turner. Penalty: Unnecessary Roughness on Winnipeg (Zach Anderson) 15 yards.,13,25
01:51,1,Sack,-12,Sack at Ssk45 for a loss of 12 yards by  .,13,25
01:45,2,Pass,8,Darian Durant pass to Kory Sheets for 8 yards to the Ssk53. Tackled by Henoc Muamba.,13,25
01:29,3,Incomplete Pass,0,Darian Durant incomplete pass intended for Weston Dressler.,13,25
01:16,1,Rush,1,Will Ford rush for 1 yard to the Ssk52. Tackled by Jermaine McElveen.,13,25
01:12,2,Sack,11,Sack at Wpg48 for no gain by Craig Butler Recovered by Ssk (Ricky Foley) and returned for 21 yards. Tackled by Justin Goltz,13,25
00:41,1,Incomplete Pass,0,Darian Durant incomplete pass intended for Geroy Simon.,13,25
00:35,2,Unnecessary Roughness,-24,Sack at Wpg35 for a loss of 9 yards by Demond Washington. Penalty: Unnecessary Roughness on Saskatchewan (Dominic Picard) -15 yards.,13,25
00:31,3,Pass,17,Darian Durant pass to Weston Dressler for 17 yards to the Wpg33.,13,25
