Time,Down,Type,Yards,Details,Toronto,Winnipeg
13:57,3,Rush,0,Jason Boltus rush for no gain to the Wpg54. Tackled by Jason Pottinger.,23,3
13:34,1,Pass,2,Ricky Ray pass to Chad Owens for 2 yards to the Wpg52. Tackled by Jovon Johnson.,23,3
12:58,2,Pass,7,Ricky Ray pass to Dontrelle Inman for 7 yards to the Wpg45. Tackled by Alex Suber.,23,3
12:18,3,Illegal Punt,9,Swayze Waters punts for 19 yards to Wpg26. Penalty: Illegal Punt on Toronto (Swayze Waters) -10 yards.,23,3
11:58,1,Pass,6,Max Hall pass to Rory Kohlert for 6 yards to the Wpg42. Tackled by Demetrice Morley.,23,3
11:23,2,Pass,31,Max Hall pass to   for 31 yards to the Tor37. Tackled by Jamie Robinson.,23,3
10:40,1,Pass,36,Max Hall pass to Clarence Denmark for 36 yards to the Tor1. Tackled by Alonzo Lawrence.,23,3
09:24,1,Rush,1,Will Ford rush for 1 yard for a TOUCHDOWN.,23,9
09:10,0,Made Extra Point,0,Sandro DeAngelis extra point is good.,23,10
09:10,0,Kickoff,24,Sandro DeAngelis kicks off to the Tor12. Chad Owens return for 24 yards to Tor36.,23,10
09:05,1,Pass,11,Ricky Ray pass to Andre Durie for 11 yards to the Tor47. Tackled by Cauchy Muamba.,23,10
08:24,1,Pass,-1,Ricky Ray pass to Chad Owens for a loss of 1 yard to the Tor46. Tackled by Henoc Muamba.,23,10
07:49,2,Incomplete Pass,0,Ricky Ray incomplete pass intended for Andre Durie.,23,10
07:30,3,Punt,6,Swayze Waters punts for 47 yards to Wpg17. Demond Washington return for 6 yards to Wpg23. Tackled by James Yurichuk.,23,10
06:59,1,Rush,10,Will Ford rush for 10 yards to the Wpg33. Tackled by Jalil Carter.,23,10
06:34,1,Incomplete Pass,0,Max Hall incomplete pass intended for Will Ford.,23,10
06:14,2,Incomplete Pass,0,Max Hall incomplete pass intended for  .,23,10
05:54,3,Punt,0,Mike Renaud punts for 48 yards to Tor29. No return.,23,10
05:36,1,Pass,7,Ricky Ray pass to Chad Owens for 7 yards to the Tor36. Tackled by Johnny Sears.,23,10
04:56,2,Incomplete Pass,0,Ricky Ray incomplete pass intended for Dontrelle Inman.,23,10
04:34,3,Punt,-3,Swayze Waters punts for 44 yards to Wpg30. Jovon Johnson return for a loss of 3 yards to Wpg27. Tackled by Jermaine Gabriel.,23,10
04:15,1,Rush,13,Will Ford rush for 13 yards to the Wpg40. Tackled by Jamie Robinson.,23,10
03:59,1,Rush,7,Will Ford rush for 7 yards to the Wpg47. Tackled by Khalif Mitchell.,23,10
03:20,2,Pass,4,Max Hall pass to Michel-Pierre Pontbriand for 4 yards to the Wpg51. Tackled by Jalil Carter.,23,10
02:40,1,Pass,5,Max Hall pass to Rory Kohlert for 5 yards to the Tor54. Tackled by Demetrice Morley.,23,10
02:02,2,Incomplete Pass,0,Max Hall incomplete pass intended for  .,23,10
01:41,3,Illegal Block,39,Mike Renaud punts for 44 yards to Tor10. Penalty: No Yards on Winnipeg (Brandon Stewart) -15 yards. Penalty: Illegal Block on Toronto (Alonzo Lawrence) 10 yards.,23,10
01:18,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for Andre Durie defensed by Michael McAdoo.,23,10
00:56,2,Pass,21,Ricky Ray pass to Chad Owens for 21 yards to the Tor36. Tackled by Henoc Muamba.,23,10
00:01,1,Rush,-2,Jerious Norwood rush for a loss of 2 yards to the Tor34. Tackled by Henoc Muamba.,23,10
15:00,2,Incomplete Pass,0,Ricky Ray incomplete pass intended for Spencer Watt defensed by Jovon Johnson.,23,10
14:45,3,Illegal Block,-9,Swayze Waters punts for 51 yards to Wpg25. Demond Washington return for 1 yard to Wpg26. Penalty: Illegal Block on Winnipeg (Kito Poblah) -10 yards.,23,10
14:21,1,Pass,8,Max Hall pass to Clarence Denmark for 8 yards to the Wpg24. Tackled by Robert McCune.,23,10
13:50,2,Rush,9,Will Ford rush for 9 yards to the Wpg33. Tackled by Jalil Carter.,23,10
13:29,1,Incomplete Pass,0,Max Hall incomplete pass intended for Rory Kohlert defensed by Alonzo Lawrence.,23,10
13:04,2,Pass,10,Max Hall pass to   for 10 yards to the Wpg43.,23,10
12:38,3,Rush,1,Jason Boltus rush for 1 yard to the Wpg44. Tackled by Jason Pottinger.,23,10
11:51,1,Rush,-1,Will Ford rush for a loss of 1 yard to the Wpg43. Tackled by Demetrice Morley.,23,10
11:10,2,Pass,40,Max Hall pass to   for 40 yards to the Tor27. Tackled by Ivan Brown.,23,10
10:40,1,Incomplete Pass,0,Max Hall incomplete pass intended for Akeem Foster defensed by Khalif Mitchell.,23,10
09:58,2,Pass,27,Max Hall pass to Rory Kohlert for 27 yards for a TOUCHDOWN.,23,16
09:42,0,Made Extra Point,0,Sandro DeAngelis extra point is good.,23,17
09:42,0,Kickoff,14,Sandro DeAngelis kicks off to the Wpg49. Onside kick recovered by kicking team by Sandro DeAngelis. Tackled by Herve Tonye-Tonye.,23,17
09:39,1,Pass,3,Max Hall pass to Michel-Pierre Pontbriand for 3 yards to the Wpg52. Tackled by Robert McCune.,23,17
09:00,2,Pass,11,Max Hall pass to Clarence Denmark for 11 yards to the Tor47.,23,17
08:32,1,Rush,-3,Will Ford rush for a loss of 3 yards to the Tor50. Tackled by Alonzo Lawrence.,23,17
08:09,2,Incomplete Pass,0,Max Hall incomplete pass intended for Clarence Denmark.,23,17
07:42,3,Punt,5,Mike Renaud punts for 41 yards to Tor9. Chad Owens return for 5 yards to Tor14. Tackled by James Green.,23,17
07:23,1,Pass,8,Ricky Ray pass to Dontrelle Inman for 8 yards to the Tor22. Tackled by Henoc Muamba.,23,17
06:52,2,Incomplete Pass,0,Ricky Ray incomplete pass intended for Andre Durie.,23,17
06:32,3,Punt,-3,Swayze Waters punts for 50 yards to Wpg38. Jovon Johnson return for a loss of 3 yards to Wpg35. Tackled by Shane Horton.,23,17
06:05,1,Incomplete Pass,0,Max Hall incomplete pass intended for Rory Kohlert.,23,17
05:42,2,Pass,15,Max Hall pass to Cory Watson for 15 yards to the Wpg50. Tackled by Jamie Robinson.,23,17
04:59,1,Incomplete Pass,0,Max Hall incomplete pass intended for Akeem Foster.,23,17
04:42,2,Pass,13,Max Hall pass to   for 13 yards to the Tor47. Tackled by Pat Watkins.,23,17
04:17,1,Pass,10,Max Hall pass to Rory Kohlert for 10 yards to the Tor37. Tackled by Ricardo Colclough.,23,17
03:52,2,Rush,1,Jason Boltus rush for 1 yard to the Tor36. Tackled by Shane Horton.,23,17
03:08,1,Objectionable Conduct,10,Max Hall incomplete pass intended for Clarence Denmark. Penalty: Objectionable Conduct on Toronto (Shane Horton) 10 yards.,23,17
02:47,1,Pass,13,Max Hall pass to   for 13 yards to the Tor13. Tackled by Pat Watkins.,23,17
02:30,1,Incomplete Pass,0,Max Hall incomplete pass intended for Akeem Foster. Tackled by Shane Horton.,23,17
02:07,2,Time Count,0,Penalty: Time Count on Winnipeg (Max Hall) 0 yards.,23,17
02:05,3,Missed Field Goal,20,Sandro DeAngelis 20 yard field goal attempt is GOOD.,23,20
02:05,1,Rush,-1,Jerious Norwood rush for a loss of 1 yard to the Tor34. Tackled by Kenny Mainor.,23,20
01:57,2,Roughing Passer,46,Ricky Ray pass to Jason Barnes for 31 yards to the Wpg45. Tackled by Cauchy Muamba. Penalty: Roughing Passer on Winnipeg (Greg Peach) 15 yards.,23,20
01:37,1,Rush,4,Jerious Norwood rush for 4 yards to the Wpg26. Tackled by Brandon Stewart.,23,20
01:30,2,Incomplete Pass,0,Ricky Ray incomplete pass intended for Jason Barnes defensed by Henoc Muamba.,23,20
01:06,3,Missed Field Goal,33,Swayze Waters 33 yard field goal attempt is GOOD.,26,20
01:06,1,Pass,8,Max Hall pass to Akeem Foster for 8 yards to the Wpg43. Tackled by Demetrice Morley.,26,20
01:01,2,Pass,11,Max Hall pass to Cory Watson for 11 yards to the Wpg54. Tackled by Alonzo Lawrence.,26,20
00:50,1,Incomplete Pass,0,Max Hall incomplete pass intended for Cory Watson.,26,20
00:36,2,Pass,7,Max Hall pass to Akeem Foster for 7 yards to the Tor49. Tackled by Alonzo Lawrence.,26,20
00:33,3,Incomplete Pass,0,Max Hall incomplete pass intended for Cory Watson.,26,20
00:22,2,Rush,4,Jerious Norwood rush for 4 yards to the Tor51. Tackled by Demond Washington.,26,20
