Time,Down,Type,Yards,Details,Winnipeg,Saskatchewan
05:40,1,Rush,9,Chad Simpson rush for 9 yards to the Wpg44. Tackled by Ricky Foley.,18,24
05:10,2,Rush,2,Jason Boltus rush for 2 yards to the Wpg46. Tackled by Renauld Williams.,18,24
04:26,1,Incomplete Pass,0,Justin Goltz incomplete pass intended for Kito Poblah.,18,24
04:05,2,Incomplete Pass,0,Justin Goltz incomplete pass intended for Kito Poblah.,18,24
03:40,3,Punt,8,Mike Renaud punts for 54 yards to Ssk10. Tristan Jackson return for 8 yards to Ssk18. Tackled by Ian Wild.,18,24
03:12,1,Incomplete Pass,0,Darian Durant incomplete pass intended for Rob Bagg.,18,24
02:57,2,Pass,12,Darian Durant pass to Chris Getzlaf for 12 yards to the Ssk30. Tackled by Demond Washington.,18,24
02:34,1,Rush,4,Kory Sheets rush for 4 yards to the Ssk34. Tackled by Zach Anderson.,18,24
02:06,2,Pass,5,Darian Durant pass to Geroy Simon for 5 yards to the Ssk39. Tackled by Alex Suber.,18,24
01:27,3,Rush,3,Drew Willy rush for 3 yards to the Ssk42. Tackled by Demond Washington.,18,24
01:00,1,Pass,8,Darian Durant pass to Weston Dressler for 8 yards to the Ssk50. Tackled by Cauchy Muamba.,18,24
00:01,2,Rush,1,Kory Sheets rush for 1 yard to the Ssk51. Tackled by Demond Washington.,18,24
15:00,3,Rush,1,Drew Willy rush for 1 yard to the Ssk52. Tackled by Henoc Muamba.,18,24
14:37,1,Illegal Procedure,-5,Penalty: Illegal Procedure on Saskatchewan (Xavier Fulton) -5 yards.,18,24
14:05,1,Face Mask,52,Darian Durant pass to Weston Dressler for 40 yards to the Wpg23. Tackled by Alex Suber. Penalty: Face Mask on Winnipeg (Alex Suber) 12 yards.,18,24
13:22,1,Pass,11,Darian Durant pass to Taj Smith for 11 yards for a TOUCHDOWN.,18,30
13:05,0,Made Extra Point,0,Chris Milo extra point is good.,18,31
13:05,0,Kickoff,18,Ricky Schmitt kicks off to the Wpg15. Aaron Woods return for 18 yards to Wpg33. Tackled by Tristan Black.,18,31
12:59,1,Pass,24,Justin Goltz pass to Cory Watson for 24 yards to the Ssk53. Tackled by Weldon Brown.,18,31
12:20,1,Pass,7,Justin Goltz pass to Terrence Edwards for 7 yards to the Ssk46. Tackled by Macho Harris.,18,31
11:15,2,Rush,46,Justin Goltz rush for 46 yards for a TOUCHDOWN.,24,31
11:02,0,Made Extra Point,0,Sandro DeAngelis extra point is good.,25,31
11:02,0,Kickoff,28,Sandro DeAngelis kicks off to the Ssk7. Tristan Jackson return for 28 yards to Ssk35. Tackled by Demond Washington.,25,31
10:52,1,Pass,8,Darian Durant pass to Geroy Simon for 8 yards to the Ssk43. Tackled by Henoc Muamba.,25,31
10:17,2,Rush,5,Kory Sheets rush for 5 yards to the Ssk48. Tackled by Desia Dunn.,25,31
09:47,1,Incomplete Pass,0,Darian Durant incomplete pass intended for Geroy Simon.,25,31
09:21,2,Incomplete Pass,0,Darian Durant incomplete pass intended for Chris Getzlaf.,25,31
08:56,3,Punt,16,Ricky Schmitt punts for 48 yards to Wpg14. Aaron Woods return for 16 yards to Wpg30. Tackled by Kevin Regimbald-Gagne.,25,31
08:40,1,Rush,3,Chad Simpson rush for 3 yards to the Wpg33. Tackled by Renauld Williams.,25,31
08:11,0,Lateral,9,Justin Goltz pass intended for Clarence Denmark INTERCEPTED by Dwight Anderson and returned for 9 yards Lateral. Tackled by Cory Watson,25,31
07:35,1,Rush,22,Kory Sheets rush for 22 yards to the Wpg21. Tackled by Cauchy Muamba.,25,31
07:21,1,Rush,11,Kory Sheets rush for 11 yards to the Wpg10. Tackled by Jovon Johnson.,25,31
