Time,Down,Type,Yards,Details,Winnipeg,Montreal
04:10,0,Fumble,0,"FUMBLE, recovered by Mtl (Kyries Hebert). . Tackled by Justin Goltz",8,3
03:29,0,Pass Interference,16,Penalty: Pass Interference on Winnipeg (Jovon Johnson) 16 yards.,8,3
02:39,1,Pass,1,Anthony Calvillo pass to Arland Bruce for 1 yard to the Wpg42. Tackled by Freddie Harris.,8,3
02:30,2,Incomplete Pass,0,Anthony Calvillo incomplete pass intended for Arland Bruce.,8,3
01:53,3,Punt Single,0,Sean Whyte punts for 56 yards to Wpg0. No return (Single).,8,4
01:53,1,Rush,-10,Chad Simpson rush for a loss of 10 yards to the Wpg25. Tackled by Chip Cox.,8,4
01:15,2,Pass,6,Buck Pierce pass to Will Ford for 6 yards to the Wpg31. Tackled by Kyries Hebert.,8,4
00:33,3,Punt,9,Mike Renaud punts for 49 yards to Mtl30. Noel Devine return for 9 yards to Mtl39. Tackled by James Green.,8,4
00:13,1,Pass,0,Anthony Calvillo pass to Noel Devine for no gain to the Mtl39. Tackled by Alex Hall.,8,4
15:00,2,Sack,-5,Sack at Mtl34 for a loss of 5 yards by Freddie Harris.,8,4
14:33,3,Punt,19,Sean Whyte punts for 48 yards to Wpg28. Jovon Johnson return for 19 yards to Wpg47. Tackled by Steven Lumbala.,8,4
14:15,1,Pass,4,Buck Pierce pass to Rory Kohlert for 4 yards to the Wpg51. Tackled by Kyries Hebert.,8,4
13:52,2,Pass,12,Buck Pierce pass to Cory Watson for 12 yards to the Mtl47. Tackled by Chip Cox.,8,4
13:00,1,Incomplete Pass,0,Buck Pierce incomplete pass intended for Chris Matthews.,8,4
12:43,2,Pass,2,Buck Pierce pass to Chad Simpson for 2 yards to the Mtl45. Tackled by Geoff Tisdale.,8,4
11:49,3,Punt Single,0,Mike Renaud punts for 57 yards to Mtl0. No return (Single).,9,4
11:49,1,Rush,10,Brandon Whitaker rush for 10 yards to the Mtl45. Tackled by Desia Dunn.,9,4
11:36,1,Rush,2,Brandon Whitaker rush for 2 yards to the Mtl47. Tackled by Henoc Muamba.,9,4
11:00,2,Sack,-1,Sack at Mtl46 for a loss of 1 yard by Kenny Mainor.,9,4
10:20,3,Unnecessary Roughness,-8,Sean Whyte punts for 36 yards to Wpg28. Jovon Johnson return for 7 yards to Wpg35. Penalty: Unnecessary Roughness on Winnipeg (Chris Matthews) -15 yards.,9,4
09:59,1,Incomplete Pass,0,Buck Pierce incomplete pass intended for Chris Matthews.,9,4
09:47,2,Incomplete Pass,0,Buck Pierce incomplete pass intended for Chad Simpson.,9,4
