Time,Down,Type,Yards,Details,Winnipeg,Calgary
10:04,3,Punt,6,Rob Maver punts for 45 yards to Wpg21. Johnny Sears return for 6 yards to Wpg27. Tackled by Deron Mayo.,11,38
09:36,1,Incomplete Pass,0,Max Hall incomplete pass intended for Will Ford.,11,38
09:22,2,Incomplete Pass,0,Max Hall incomplete pass intended for Clarence Denmark.,11,38
08:58,3,Punt,0,Mike Renaud punts for 50 yards to Cgy33. Larry Taylor return for no gain to Cgy33. Tackled by James Green.,11,38
08:37,1,Incomplete Pass,0,Drew Tate incomplete pass intended for Jabari Arthur.,11,38
08:16,2,Pass,6,Drew Tate pass to Brad Sinopoli for 6 yards to the Cgy39. Tackled by Alex Suber.,11,38
07:44,3,Punt,13,Rob Maver punts for 56 yards to Wpg15. Jovon Johnson return for 13 yards to Wpg28. Tackled by Tim St. Pierre.,11,38
07:17,1,Pass,9,Max Hall pass to Clarence Denmark for 9 yards to the Wpg37. Tackled by Juwan Simpson.,11,38
06:35,2,Rush,4,Will Ford rush for 4 yards to the Wpg41. Tackled by Cordarro Law.,11,38
06:09,1,Incomplete Pass,0,Max Hall incomplete pass intended for Wallace Miles.,11,38
05:49,2,Pass,7,Max Hall pass to Clarence Denmark for 7 yards to the Wpg48. Tackled by Derrius Brooks.,11,38
05:09,3,Illegal Procedure,-5,Penalty: Illegal Procedure on Winnipeg (James Green) -5 yards.,11,38
04:51,3,Punt,0,Mike Renaud punts for 30 yards to Cgy37. No return.,11,38
04:40,1,Pass,10,Drew Tate pass to Jabari Arthur for 10 yards to the Cgy47. Tackled by Johnny Sears.,11,38
03:50,1,Pass,25,Drew Tate pass to Joe West for 25 yards to the Wpg38. Tackled by Cauchy Muamba.,11,38
03:35,1,Rush,7,Matt Walter rush for 7 yards to the Wpg31. Tackled by Jovon Johnson.,11,38
02:40,2,Rush,3,Matt Walter rush for 3 yards to the Wpg28. Tackled by Ian Wild.,11,38
02:35,1,Rush,4,Matt Walter rush for 4 yards to the Wpg24. Tackled by Zach Anderson.,11,38
02:13,2,Rush,14,Matt Walter rush for 14 yards to the Wpg10. Tackled by Ian Wild.,11,38
01:39,1,Rush,3,rush for 3 yards to the Wpg7. Tackled by Henoc Muamba.,11,38
01:11,2,Rush,2,rush for 2 yards to the Wpg5. Tackled by Zach Anderson.,11,38
00:52,3,Rush,0,rush for no gain to the Wpg5. Tackled by Greg Peach.,11,38
00:31,1,Rush,3,Will Ford rush for 3 yards to the Wpg8. Tackled by Demonte' Bolden.,11,38
00:26,2,Pass,8,Max Hall pass to Aaron Kelly for 8 yards to the Wpg16. Tackled by Fred Bennett.,11,38
00:05,1,Rush,8,Will Ford rush for 8 yards to the Wpg24. Tackled by Fred Bennett.,11,38
