Time,Down,Type,Yards,Details,Winnipeg,Montreal
01:36,2,Incomplete Pass,0,Josh Neiswander incomplete pass intended for Brandon London.,3,0
01:15,0,Fumble,-13,"FUMBLE, recovered by Mtl (Sean Whyte). . Tackled by Carl Fitzgerald",3,0
00:28,1,Pass,17,Max Hall pass to Will Ford for 17 yards for a TOUCHDOWN.,9,0
00:12,0,Made Extra Point,0,Sandro DeAngelis extra point is good.,10,0
00:12,0,Kickoff,16,Sandro DeAngelis kicks off to the Mtl20. Tyron Carrier return for 16 yards to Mtl36. Tackled by Brandon Stewart.,10,0
00:05,1,Rush,9,Jerome Messam rush for 9 yards to the Mtl45. Tackled by Kenny Mainor.,10,0
15:00,2,Offside,5,Penalty: Offside on Winnipeg (Kenny Mainor) 5 yards.,10,0
14:50,1,Pass,0,Josh Neiswander pass to Duron Carter for no gain to the Mtl50. Tackled by Ian Wild.,10,0
14:26,0,Pass Interference,21,Penalty: Pass Interference on Winnipeg (Alex Suber) 21 yards.,10,0
13:50,1,Pass,3,Josh Neiswander pass to S.J. Green for 3 yards to the Wpg36. Tackled by Demond Washington.,10,0
13:40,2,Interception,0,Josh Neiswander pass intended for Arland Bruce INTERCEPTED by Alex Suber. No return. Tackled by Arland Bruce.,10,0
13:17,1,Rush,-1,Will Ford rush for a loss of 1 yard to the Wpg26. Tackled by Jerald Brown.,10,0
12:27,2,Pass,3,Max Hall pass to Cory Watson for 3 yards to the Wpg29. Tackled by Jerald Brown.,10,0
12:06,3,Punt,6,Mike Renaud punts for 37 yards to Mtl44. Tyron Carrier return for 6 yards to Mtl50. Tackled by Ian Wild.,10,0
11:30,1,Rush,5,Arland Bruce rush for 5 yards to the Mtl55. Tackled by Desia Dunn.,10,0
11:08,2,Pass,7,Troy Smith pass to S.J. Green for 7 yards to the Wpg48. Tackled by Desia Dunn.,10,0
10:25,1,Rush,3,Jerome Messam rush for 3 yards to the Wpg45. Tackled by Pierre-Luc Labbe.,10,0
09:52,0,Illegal Contact,10,Penalty: Illegal Contact on Winnipeg (Demond Washington) 10 yards.,10,0
09:22,1,Rush,7,Jerome Messam rush for 7 yards to the Wpg28. Tackled by Kenny Mainor.,10,0
09:03,2,Pass,16,Troy Smith pass to Duron Carter for 16 yards to the Wpg12. Tackled by Brandon Stewart.,10,0
08:18,1,Incomplete Pass,0,Troy Smith incomplete pass intended for Arland Bruce.,10,0
07:17,2,Pass,12,Troy Smith pass to S.J. Green for 12 yards for a TOUCHDOWN.,10,6
07:00,0,Made Extra Point,0,Sean Whyte extra point is good.,10,7
07:00,0,Kickoff,29,Sean Whyte kicks off to the Wpg15. Johnny Sears return for 29 yards to Wpg44. Tackled by Marc-Olivier Brouillette.,10,7
06:51,1,Pass,10,Max Hall pass to Terrence Edwards for 10 yards to the Wpg54. Tackled by Chip Cox.,10,7
06:35,2,Incomplete Pass,0,Jason Boltus incomplete pass intended for Aaron Kelly defensed by Geoff Tisdale.,10,7
06:15,3,Rush,0,Jason Boltus rush for no gain to the Wpg54. Tackled by Kyries Hebert.,10,7
05:44,1,Interception,11,Troy Smith pass intended for Duron Carter INTERCEPTED by Cauchy Muamba and returned for 11 yards. Tackled by Arland Bruce.,10,7
05:13,1,Pass,3,Max Hall pass to Will Ford for 3 yards to the Wpg39. Tackled by Kyries Hebert.,10,7
04:42,2,Pass,26,Max Hall pass to Terrence Edwards for 26 yards to the Mtl45. Tackled by Aaron Lavarias.,10,7
04:02,0,Fumble,0,"FUMBLE, recovered by Mtl (Mike Edem). . Tackled by Max Hall",10,7
03:46,1,Pass,9,Josh Neiswander pass to S.J. Green for 9 yards to the Wpg46. Tackled by Henoc Muamba.,10,7
03:09,2,Rush,4,Jerome Messam rush for 4 yards to the Wpg42. Tackled by J.D. Griggs.,10,7
02:49,1,Pass,9,Josh Neiswander pass to Arland Bruce for 9 yards to the Wpg33. Tackled by Brandon Stewart.,10,7
02:35,2,Rush,2,Jerome Messam rush for 2 yards to the Wpg31. Tackled by Ian Wild.,10,7
02:31,0,Pass Interference,-10,Penalty: Pass Interference on Montreal (Duron Carter) -10 yards.,10,7
02:20,1,Pass,40,Josh Neiswander pass to Duron Carter for 40 yards to the Wpg1. Tackled by Johnny Sears.,10,7
02:09,1,Rush,1,Tyrell Sutton rush for 1 yard for a TOUCHDOWN.,10,13
02:09,0,Made Extra Point,0,Sean Whyte extra point is good.,10,14
02:09,0,Kickoff,20,Sean Whyte kicks off to the Wpg13. Johnny Sears return for 20 yards to Wpg33. Tackled by Michael Klassen.,10,14
02:01,1,Incomplete Pass,0,Max Hall incomplete pass intended for Will Ford.,10,14
01:57,2,Incomplete Pass,0,Max Hall incomplete pass intended for Aaron Kelly.,10,14
01:52,3,Punt,34,Mike Renaud punts for 13 yards to Wpg46. Shea Emry return for 34 yards to Wpg12. Tackled by Brandon Stewart.,10,14
01:41,1,Incomplete Pass,0,Josh Neiswander incomplete pass intended for Eric Deslauriers.,10,14
01:37,2,Incomplete Pass,0,Josh Neiswander incomplete pass intended for Brandon London defensed by Alex Suber.,10,14
01:29,3,Missed Field Goal,19,Sean Whyte 19 yard field goal attempt is GOOD.,10,17
01:29,0,Kickoff,19,Sean Whyte kicks off to the Wpg14. Will Ford return for 19 yards to Wpg33. Tackled by Tyrell Sutton.,10,17
01:23,1,Pass,23,Max Hall pass to Cory Watson for 23 yards to the Mtl54. Tackled by Geoff Tisdale.,10,17
01:15,1,Pass,7,Max Hall pass to Akeem Foster for 7 yards to the Mtl47. Tackled by  .,10,17
00:55,2,Pass,7,Max Hall pass to Terrence Edwards for 7 yards to the Mtl40. Tackled by Geoff Tisdale.,10,17
00:26,1,Incomplete Pass,0,Max Hall incomplete pass intended for Cory Watson.,10,17
00:09,2,Pass,40,Max Hall pass to Clarence Denmark for 40 yards for a TOUCHDOWN.,16,17
00:09,0,Made Extra Point,0,Sandro DeAngelis extra point is good.,17,17
00:09,0,Kickoff,8,Sandro DeAngelis kicks off to the Mtl39. Michael Klassen return for 8 yards to Mtl47. Tackled by Henoc Muamba.,17,17
00:05,1,Incomplete Pass,0,Josh Neiswander incomplete pass intended for Eric Deslauriers.,17,17
00:01,2,Incomplete Pass,0,Troy Smith incomplete pass intended for Arland Bruce defensed by Brandon Stewart.,17,17
15:00,0,Kickoff,13,Sandro DeAngelis kicks off to the Mtl22. Tyron Carrier return for 13 yards to Mtl35. Tackled by Henoc Muamba.,17,17
14:52,0,Pass Interference,23,Penalty: Pass Interference on Winnipeg (Brandon Stewart) 23 yards.,17,17
14:26,1,Rush,1,Jerome Messam rush for 1 yard to the Wpg51. Tackled by Bryant Turner.,17,17
14:00,2,Pass,9,Josh Neiswander pass to S.J. Green for 9 yards to the Wpg42. Tackled by Demond Washington.,17,17
13:19,3,Rush,2,Troy Smith rush for 2 yards to the Wpg40. Tackled by Henoc Muamba.,17,17
13:02,1,Pass,22,Josh Neiswander pass to Jerome Messam for 22 yards to the Wpg18. Tackled by Ian Wild.,17,17
12:20,1,Rush,2,Jerome Messam rush for 2 yards to the Wpg16. Tackled by Kenny Mainor.,17,17
12:01,0,Roughing Passer,8,Penalty: Roughing Passer on Winnipeg (Greg Peach) 8 yards.,17,17
11:24,1,Pass,6,Josh Neiswander pass to S.J. Green for 6 yards to the Wpg2. Tackled by Johnny Sears.,17,17
11:09,2,Rush,-2,Jerome Messam rush for a loss of 2 yards to the Wpg4. Tackled by Henoc Muamba.,17,17
10:20,3,Missed Field Goal,11,Sean Whyte 11 yard field goal attempt is GOOD.,17,20
10:20,0,Kickoff,20,Sean Whyte kicks off to the Wpg12. Will Ford return for 20 yards to Wpg32. Tackled by Bear Woods.,17,20
10:12,1,Pass,3,Max Hall pass to Clarence Denmark for 3 yards to the Wpg35. Tackled by Geoff Tisdale.,17,20
09:43,0,Pass Interference,10,Penalty: Pass Interference on Montreal (Billy Parker) 10 yards.,17,20
09:07,1,Incomplete Pass,0,Max Hall incomplete pass intended for Will Ford.,17,20
08:45,2,Pass,34,Max Hall pass to Clarence Denmark for 34 yards to the Mtl31. Tackled by Jerald Brown.,17,20
08:18,1,Rush,1,Will Ford rush for 1 yard to the Mtl30. Tackled by John Bowman.,17,20
07:35,2,Offside,-5,Penalty: Offside on Winnipeg (Rory Kohlert) -5 yards.,17,20
07:08,2,Pass,25,Max Hall pass to Clarence Denmark for 25 yards to the Mtl10. Tackled by Shea Emry.,17,20
06:58,0,Pass Interference,9,Penalty: Pass Interference on Montreal (Kyries Hebert) 9 yards.,17,20
06:28,1,Rush,0,Jason Boltus rush for no gain to the Mtl1. Tackled by Mike Edem.,17,20
05:46,2,Rush,1,Jason Boltus rush for 1 yard for a TOUCHDOWN.,23,20
05:26,0,Made Extra Point,0,Sandro DeAngelis extra point is good.,24,20
05:26,0,Kickoff,26,Sandro DeAngelis kicks off to the Mtl17. Tyrell Sutton return for 26 yards to Mtl43. Tackled by Philippe Dubuisson-Lebon.,24,20
05:19,1,Pass,12,Josh Neiswander pass to Jerome Messam for 12 yards to the Mtl55. Tackled by Johnny Sears.,24,20
04:50,1,Incomplete Pass,0,Josh Neiswander incomplete pass intended for Arland Bruce.,24,20
04:17,2,Pass,12,Josh Neiswander pass to Arland Bruce for 12 yards to the Wpg43. Tackled by Alex Suber.,24,20
03:54,1,Rush,2,Jerome Messam rush for 2 yards to the Wpg41. Tackled by Ian Wild.,24,20
03:07,2,Pass,0,Josh Neiswander pass to Jerome Messam for no gain to the Wpg41. Tackled by Ian Wild.,24,20
01:54,3,Missed Field Goal,48,Sean Whyte 48 yard field goal attempt is GOOD.,24,23
01:54,0,Kickoff,26,Sean Whyte kicks off to the Wpg13. Will Ford return for 26 yards to Wpg39. Tackled by Michael Carter.,24,23
01:47,1,Pass,0,Max Hall pass to Clarence Denmark for no gain to the Wpg39. Tackled by Ben Wells.,24,23
01:17,0,Illegal Contact,10,Penalty: Illegal Contact on Montreal (Kyries Hebert) 10 yards.,24,23
00:47,2,Rush,0,Jason Boltus rush for no gain to the Wpg49. Tackled by Kyries Hebert.,24,23
00:20,1,Incomplete Pass,0,Max Hall incomplete pass intended for Terrence Edwards.,24,23
15:00,2,Rush,4,Max Hall rush for 4 yards to the Wpg53.,24,23
14:41,3,Punt,1,Mike Renaud punts for 45 yards to Mtl12. Tyron Carrier return for 1 yard to Mtl13. Tackled by Brandon Stewart.,24,23
14:14,1,Rush,20,Tyrell Sutton rush for 20 yards to the Mtl33. Tackled by Cauchy Muamba.,24,23
13:46,1,Rush,2,Tyrell Sutton rush for 2 yards to the Mtl35. Tackled by Johnny Sears.,24,23
12:55,2,Unnecessary Roughness,21,Josh Neiswander pass to Duron Carter for 6 yards to the Mtl41. Tackled by Johnny Sears. Penalty: Unnecessary Roughness on Winnipeg ( ) 15 yards.,24,23
12:16,0,Pass Interference,39,Penalty: Pass Interference on Winnipeg (Brandon Stewart) 39 yards.,24,23
12:02,1,Incomplete Pass,0,Josh Neiswander incomplete pass intended for Eric Deslauriers.,24,23
11:45,2,Incomplete Pass,0,Josh Neiswander incomplete pass intended for S.J. Green.,24,23
11:05,3,Missed Field Goal,22,Sean Whyte 22 yard field goal attempt is GOOD.,24,26
11:05,0,Kickoff,10,Sean Whyte kicks off to the Wpg22. Johnny Sears return for 10 yards to Wpg32. Tackled by Curtis Dublanko.,24,26
11:01,1,Rush,8,Will Ford rush for 8 yards to the Wpg40. Tackled by Kyries Hebert.,24,26
10:35,2,Rush,69,Will Ford rush for 69 yards to the Mtl1. Tackled by Chip Cox.,24,26
09:47,1,Rush,0,Jason Boltus rush for no gain to the Mtl1. Tackled by Mike Edem.,24,26
08:22,2,Rush,1,Will Ford rush for 1 yard for a TOUCHDOWN.,30,26
08:02,0,Made Extra Point,0,Sandro DeAngelis extra point is good.,31,26
08:02,0,Kickoff,28,Sandro DeAngelis kicks off to the Mtl14. Tyron Carrier return for 28 yards to Mtl42. Tackled by Alex Suber.,31,26
07:52,1,Pass,3,Josh Neiswander pass to Duron Carter for 3 yards to the Mtl45. Tackled by Ian Wild.,31,26
07:25,2,Incomplete Pass,0,Josh Neiswander incomplete pass intended for S.J. Green.,31,26
06:47,3,Punt,0,Sean Whyte punts for 32 yards to Wpg33. No return.,31,26
06:29,1,Incomplete Pass,0,Max Hall incomplete pass intended for Clarence Denmark.,31,26
06:15,2,Pass,3,Max Hall pass to Akeem Foster for 3 yards to the Wpg36. Tackled by  .,31,26
05:48,3,Punt,4,Mike Renaud punts for 29 yards to Mtl45. Tyron Carrier return for 4 yards to Mtl49. Tackled by Ian Wild.,31,26
05:08,1,Pass,6,Josh Neiswander pass to Jerome Messam for 6 yards to the Mtl55. Tackled by Kenny Mainor.,31,26
04:36,2,Pass,17,Josh Neiswander pass to Duron Carter for 17 yards to the Wpg38. Tackled by Johnny Sears.,31,26
04:01,1,Pass,8,Josh Neiswander pass to S.J. Green for 8 yards to the Wpg30. Tackled by Ian Wild.,31,26
03:43,2,Rush,4,Tyrell Sutton rush for 4 yards to the Wpg26. Tackled by Ian Wild.,31,26
03:00,1,Incomplete Pass,0,Josh Neiswander incomplete pass intended for Duron Carter.,31,26
02:47,2,Incomplete Pass,0,Josh Neiswander incomplete pass intended for S.J. Green defensed by Cauchy Muamba.,31,26
02:37,3,Field Goal Single,46,46 yard field goal attempt by Sean Whyte is NO GOOD (Single).,31,27
02:37,1,Rush,3,Will Ford rush for 3 yards to the Wpg38. Tackled by Shea Emry.,31,27
02:32,2,Pass,16,Max Hall pass to Cory Watson for 16 yards to the Wpg54. Tackled by Kyries Hebert.,31,27
02:09,1,Rush,2,Will Ford rush for 2 yards to the Mtl54. Tackled by Aaron Lavarias.,31,27
01:46,2,Incomplete Pass,0,Max Hall incomplete pass intended for Cory Watson.,31,27
01:25,3,Punt,11,Mike Renaud punts for 34 yards to Mtl20. Tyron Carrier return for 11 yards to Mtl31. Tackled by Brandon Stewart.,31,27
01:16,1,Incomplete Pass,0,Josh Neiswander incomplete pass intended for Duron Carter.,31,27
01:10,2,Incomplete Pass,0,Josh Neiswander incomplete pass intended for Brandon London.,31,27
01:03,3,Incomplete Pass,0,Josh Neiswander incomplete pass intended for Eric Deslauriers defensed by Cauchy Muamba.,31,27
00:56,1,Rush,1,Will Ford rush for 1 yard to the Mtl30. Tackled by John Bowman.,31,27
00:51,2,Rush,4,Will Ford rush for 4 yards to the Mtl26. Tackled by Chip Cox.,31,27
00:23,3,Missed Field Goal,35,Sandro DeAngelis 35 yard field goal attempt is GOOD.,34,27
00:23,1,Interception,1,Josh Neiswander pass intended for Duron Carter INTERCEPTED by Demond Washington and returned for 1 yard. Tackled by Duron Carter.,34,27
