Time,Down,Type,Yards,Details,Calgary,Winnipeg
05:13,2,Rush,2,Bo Levi Mitchell rush for 2 yards to the Wpg45. Tackled by Freddie Harris.,24,14
04:33,1,Pass,11,Bo Levi Mitchell pass to Nik Lewis for 11 yards to the Wpg34. Tackled by Jovon Johnson.,24,14
03:57,1,Pass,9,Bo Levi Mitchell pass to Marquay McDaniel for 9 yards to the Wpg25. Tackled by Jovon Johnson.,24,14
03:37,2,Rush,-1,Matt Walter rush for a loss of 1 yard to the Wpg26. Tackled by Bryant Turner.,24,14
02:45,3,Missed Field Goal,33,Rene Paredes 33 yard field goal attempt is GOOD.,27,14
02:45,1,Rush,5,Chad Simpson rush for 5 yards to the Wpg40. Tackled by Karl McCartney.,27,14
02:15,2,Rush,5,Chad Simpson rush for 5 yards to the Wpg45. Tackled by Cordarro Law.,27,14
01:43,1,Rush,15,Chad Simpson rush for 15 yards to the Cgy50. Tackled by Quincy Butler.,27,14
01:22,1,Incomplete Pass,0,Justin Goltz incomplete pass intended for Jade Etienne.,27,14
01:13,2,Pass,16,Justin Goltz pass to Isaac Anderson for 16 yards to the Cgy34. Tackled by Demetrice Morley.,27,14
00:26,1,Incomplete Pass,0,Justin Goltz incomplete pass intended for Isaac Anderson defensed by Chris Randle.,27,14
00:01,2,Incomplete Pass,0,Justin Goltz incomplete pass intended for Clarence Denmark.,27,14
14:46,3,Missed Field Goal,41,Justin Palardy 41 yard field goal attempt is GOOD.,27,17
14:46,0,Kickoff,61,Justin Palardy kicks off to the Cgy12. Keon Raymond return for 61 yards to Wpg37. Tackled by Freddie Harris.,27,17
14:35,1,Pass,20,Bo Levi Mitchell pass to Nik Lewis for 20 yards to the Wpg17. Tackled by Marty Markett.,27,17
13:58,1,Pass,7,Bo Levi Mitchell pass to Larry Taylor for 7 yards to the Wpg10. Tackled by Demond Washington.,27,17
12:51,2,Pass,10,Bo Levi Mitchell pass to Marquay McDaniel for 10 yards for a TOUCHDOWN.,33,17
12:36,0,Made Extra Point,0,Rene Paredes extra point is good.,34,17
12:36,0,Kickoff,18,Rene Paredes kicks off to the Wpg19.   return for 18 yards to Wpg37. Tackled by Cordarro Law.,34,17
12:28,1,Pass,3,Justin Goltz pass to   for 3 yards to the Wpg40. Tackled by Fred Bennett.,34,17
12:09,2,Pass,4,Justin Goltz pass to Chad Simpson for 4 yards to the Wpg44. Tackled by Deron Mayo.,34,17
11:42,3,Illegal Block,-7,Mike Renaud punts for 49 yards to Cgy17. Larry Taylor return for 2 yards to Cgy19. Penalty: Illegal Block on Calgary (Karl McCartney) -9 yards.,34,17
11:18,1,Rush,6,Jon Cornish rush for 6 yards to the Cgy15. Tackled by Ian Wild.,34,17
10:50,2,Rush,1,Jon Cornish rush for 1 yard to the Cgy16. Tackled by Henoc Muamba.,34,17
10:19,3,No Yards,29,Rob Maver punts for 34 yards to Cgy50. Penalty: No Yards on Calgary (Juwan Simpson) -5 yards.,34,17
09:53,1,Interception,6,Justin Goltz pass intended for Jade Etienne INTERCEPTED by Demetrice Morley and returned for 6 yards. Tackled by Jade Etienne.,34,17
09:44,1,Time Count,-5,Penalty: Time Count on Calgary (Bo Levi Mitchell) -5 yards.,34,17
09:21,1,Pass,7,Bo Levi Mitchell pass to Jon Cornish for 7 yards to the Cgy38. Tackled by Henoc Muamba.,34,17
08:59,2,Pass,25,Bo Levi Mitchell pass to Anthony Parker for 25 yards to the Wpg47. Tackled by Cauchy Muamba.,34,17
08:20,1,Rush,1,Jon Cornish rush for 1 yard to the Wpg46. Tackled by Alex Hall.,34,17
07:41,2,Pass,12,Bo Levi Mitchell pass to Jon Cornish for 12 yards to the Wpg34. Tackled by Alex Hall.,34,17
06:51,1,Rush,-1,Anthony Parker rush for a loss of 1 yard to the Wpg35. Tackled by Henoc Muamba.,34,17
06:10,2,Pass,12,Bo Levi Mitchell pass to Nik Lewis for 12 yards to the Wpg23. Tackled by Brandon Stewart.,34,17
05:44,1,Rush,5,Jon Cornish rush for 5 yards to the Wpg18. Tackled by Ian Wild.,34,17
05:07,2,Rush,2,Bo Levi Mitchell rush for 2 yards to the Wpg16. Tackled by Freddie Harris.,34,17
04:16,3,Missed Field Goal,23,Rene Paredes 23 yard field goal attempt is GOOD.,37,17
04:16,1,Rush,0,Chad Simpson rush for no gain to the Wpg35. Tackled by Junior Turner.,37,17
03:40,2,Pass,8,Justin Goltz pass to Rory Kohlert for 8 yards to the Wpg43. Tackled by Juwan Simpson.,37,17
03:10,3,Rush,6,Chad Simpson rush for 6 yards to the Wpg49. Tackled by Shawn Lemon.,37,17
02:49,1,Incomplete Pass,0,Justin Goltz incomplete pass intended for  .,37,17
02:42,2,Pass,10,Justin Goltz pass to Clarence Denmark for 10 yards to the Cgy51. Tackled by Demetrice Morley.,37,17
02:37,1,Illegal Procedure,0,Justin Goltz rush for 5 yards to the Cgy46. Tackled by Karl McCartney. Penalty: Illegal Procedure on Winnipeg -5 yards.,37,17
02:31,0,Roughing Passer,15,Penalty: Roughing Passer on Calgary (Junior Turner) 15 yards.,37,17
02:28,1,Incomplete Pass,0,Justin Goltz incomplete pass intended for Isaac Anderson.,37,17
02:23,2,Pass,16,Justin Goltz pass to Rory Kohlert for 16 yards to the Cgy25. Tackled by Karl McCartney.,37,17
02:16,1,Pass,11,Justin Goltz pass to Clarence Denmark for 11 yards to the Cgy14. Tackled by Demetrice Morley.,37,17
02:07,1,Offside,5,Penalty: Offside on Calgary (Cordarro Law) 5 yards.,37,17
01:59,1,Incomplete Pass,0,Justin Goltz incomplete pass intended for   defensed by Brandon Smith.,37,17
01:56,2,Pass,7,Justin Goltz pass to   for 7 yards to the Cgy2. Tackled by Brandon Smith.,37,17
01:52,0,Pass Interference,1,Penalty: Pass Interference on Calgary (Brandon Smith) 1 yards.,37,17
01:42,1,Offside,0,Penalty: Offside on Calgary (Alvin Bowen) 0 yards.,37,17
01:39,1,Rush,-1,Chad Simpson rush for a loss of 1 yard to the Cgy2. Tackled by Karl McCartney.,37,17
01:19,2,Rush,2,Chad Simpson rush for 2 yards for a TOUCHDOWN.,37,23
01:19,0,Made Extra Point,0,Justin Palardy extra point is good.,37,24
01:19,0,Kickoff,0,Justin Palardy kicks off to the Wpg45. Rob Cote - no return. Tackled by Brandon Stewart.,37,24
01:18,1,Rush,1,Matt Walter rush for 1 yard to the Wpg44. Tackled by Alex Hall.,37,24
01:13,2,Rush,0,Matt Walter rush for no gain to the Wpg44. Tackled by Zach Anderson.,37,24
00:52,3,Punt,11,Rob Maver punts for 34 yards to Wpg10.   return for 11 yards to Wpg21. Tackled by Karl McCartney.,37,24
00:22,1,Incomplete Pass,0,Justin Goltz incomplete pass intended for Rory Kohlert defensed by Karl McCartney.,37,24
00:17,2,Sack,-7,Sack at Wpg14 for no gain by Cordarro Law Recovered by Cgy (Shawn Lemon). Tackled by Paul Swiston,37,24
