Time,Down,Type,Yards,Details,Edmonton,Winnipeg
07:51,3,Rush,4,Hugh Charles rush for 4 yards to the Wpg38. Tackled by Pierre-Luc Labbe.,17,27
07:28,1,Pass,18,Mike Reilly pass to Adarius Bowman for 18 yards to the Wpg20. Tackled by Marty Markett.,17,27
06:52,1,Offside,-5,Penalty: Offside on Edmonton (Adarius Bowman) -5 yards.,17,27
06:22,1,Roughing Passer,24,Mike Reilly pass to Calvin McCarty for 23 yards to the Wpg2. Tackled by Alex Suber. Penalty: Roughing Passer on Winnipeg (Kenny Mainor) 1 yards.,17,27
05:48,1,Rush,1,Kerry Joseph rush for 1 yard for a TOUCHDOWN.,23,27
05:35,0,Made Extra Point,0,Hugh O'Neill extra point is good.,24,27
05:35,0,Kickoff,15,Grant Shaw kicks off to the Wpg19. Will Ford return for 15 yards to Wpg34. Tackled by Mike Miller.,24,27
05:31,1,Rush,9,Will Ford rush for 9 yards to the Wpg43.,24,27
05:08,2,Rush,3,Jason Boltus rush for 3 yards to the Wpg46. Tackled by Damaso Munoz.,24,27
04:40,0,Pass Interference,19,Penalty: Pass Interference on Edmonton (Joe Burnett) 19 yards.,24,27
04:14,1,Rush,5,Will Ford rush for 5 yards to the Edm40. Tackled by Marcus Howard.,24,27
03:47,2,Pass,12,Max Hall pass to Rory Kohlert for 12 yards to the Edm28. Tackled by Joe Burnett.,24,27
03:08,1,Rush,1,Will Ford rush for 1 yard to the Edm27. Tackled by Ted Laurent.,24,27
02:43,2,Incomplete Pass,0,Max Hall incomplete pass intended for Aaron Kelly.,24,27
02:33,3,Missed Field Goal,13,39 yard field goal attempt by Sandro DeAngelis is NO GOOD.  Missed field goal returned by Joe Burnett to the Edm1.,24,27
02:23,1,Pass,7,Mike Reilly pass to Fred Stamps for 7 yards to the Edm8. Tackled by Demond Washington.,24,27
02:19,2,Pass,15,Mike Reilly pass to Shamawd Chambers for 15 yards to the Edm23.,24,27
02:13,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Marcus Henry defensed by Alex Suber.,24,27
02:08,2,Incomplete Pass,0,Mike Reilly incomplete pass intended for Marcus Henry.,24,27
02:02,3,Punt,3,Grant Shaw punts for 40 yards to Wpg47. Jovon Johnson return for 3 yards to Wpg50. Tackled by Mike Miller.,24,27
01:58,1,Rush,3,Will Ford rush for 3 yards to the Wpg53. Tackled by Almondo Sewell.,24,27
01:50,2,Rush,5,Justin Goltz rush for 5 yards to the Edm52. Tackled by Damaso Munoz.,24,27
01:24,3,Punt,25,Mike Renaud punts for 48 yards to Edm4. Jamal Miles return for 25 yards to Edm29. Tackled by Cauchy Muamba.,24,27
01:15,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Nate Coehoorn defensed by Marty Markett.,24,27
01:10,2,Incomplete Pass,0,Mike Reilly incomplete pass intended for Fred Stamps defensed by Jovon Johnson.,24,27
01:02,3,Illegal Block,41,Mike Reilly pass to Fred Stamps for 51 yards to the Wpg30. Tackled by Demond Washington. Penalty: Illegal Block on Edmonton (Marcus Henry) -10 yards.,24,27
00:50,1,Pass,30,Mike Reilly pass to Shamawd Chambers for 30 yards to the Wpg10. Tackled by Bo Smith.,24,27
00:44,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Fred Stamps.,24,27
00:31,2,Incomplete Pass,0,Mike Reilly incomplete pass intended for Shamawd Chambers.,24,27
00:23,3,Missed Field Goal,17,Hugh O'Neill 17 yard field goal attempt is GOOD.,27,27
00:23,0,Kickoff,0,Grant Shaw kicks off to the Wpg30. Will Ford - no return. Tackled by Corbin Sharun.,27,27
00:00,1,Face Mask,26,Hugh Charles rush for 16 yards to the Wpg19. Tackled by Cauchy Muamba. Penalty: Face Mask on Winnipeg (Cauchy Muamba) 10 yards.,27,27
15:00,1,Rush,9,Hugh Charles rush for 9 yards for a TOUCHDOWN.,33,27
14:59,0,Two Point Conversion,5,Mike Reilly 2 pt conversion pass to Shamawd Chambers is GOOD.,35,27
00:00,1,Incomplete Pass,0,Justin Goltz incomplete pass intended for Aaron Kelly.,35,27
00:00,2,Fumble,-19,"Sack at Edm54 for a loss of 19 yards by Marcus Howard. FUMBLE, recovered by Wpg (Chris Greaves).",35,27
00:00,3,Incomplete Pass,0,Justin Goltz incomplete pass intended for  .,35,27
